,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,62443217.0,63043588.0,57713583.0,56857142.0
Share Issued,62443217.0,63043588.0,57713583.0,56857142.0
Total Debt,1401100000.0,162200000.0,199700000.0,531690000.0
Tangible Book Value,9207100000.0,7648500000.0,4960852000.0,1258820000.0
Invested Capital,19265700000.0,16725600000.0,6560940000.0,3120260000.0
Working Capital,10035300000.0,7659400000.0,4147398000.0,578160000.0
Net Tangible Assets,9207100000.0,7648500000.0,4960852000.0,1258820000.0
Capital Lease Obligations,339600000.0,162200000.0,159970000.0,115080000.0
Common Stock Equity,18204200000.0,16725600000.0,6521210000.0,2703650000.0
Total Capitalization,18641000000.0,16725600000.0,6555301000.0,2740770000.0
Total Equity Gross Minority Interest,18283900000.0,16746200000.0,6494568000.0,2681940000.0
Minority Interest,79700000.0,20600000.0,-26642000.0,-21710000.0
Stockholders Equity,18204200000.0,16725600000.0,6521210000.0,2703650000.0
Other Equity Interest,17579800000.0,188700000.0,0.0,0.0
Retained Earnings,7300900000.0,4792200000.0,3441704000.0,2118970000.0
Additional Paid In Capital,9650500000.0,10999000000.0,2404829000.0,0.0
Capital Stock,624400000.0,628700000.0,577136000.0,500000000.0
Common Stock,624400000.0,628700000.0,577136000.0,500000000.0
Total Liabilities Net Minority Interest,10569400000.0,9841100000.0,3726313000.0,3583540000.0
Total Non Current Liabilities Net Minority Interest,2737800000.0,813900000.0,176232000.0,120760000.0
Non Current Pension And Other Postretirement Benefit Plans,41500000.0,38400000.0,27396000.0,22320000.0
Non Current Deferred Taxes Liabilities,565500000.0,651200000.0,2972000.0,5080000.0
Long Term Debt And Capital Lease Obligation,705900000.0,123000000.0,145864000.0,93360000.0
Long Term Capital Lease Obligation,269100000.0,123000000.0,111773000.0,56240000.0
Long Term Debt,436800000.0,0.0,34091000.0,37120000.0
Long Term Provisions,41500000.0,38400000.0,27396000.0,0.0
Current Liabilities,7831600000.0,9027200000.0,3550081000.0,3462780000.0
Other Current Liabilities,249900000.0,225100000.0,220029000.0,36240000.0
Current Deferred Taxes Liabilities,0.0,281900000.0,408278000.0,243830000.0
Current Debt And Capital Lease Obligation,695200000.0,39200000.0,53836000.0,438330000.0
Current Capital Lease Obligation,70500000.0,39200000.0,48197000.0,58840000.0
Current Debt,624700000.0,0.0,5639000.0,379490000.0
Pensionand Other Post Retirement Benefit Plans Current,12900000.0,9900000.0,5096000.0,8250000.0
Current Provisions,12900000.0,9900000.0,5096000.0,0.0
Payables,5144300000.0,7675700000.0,3070306000.0,2609840000.0
Other Payable,1851500000.0,3824300000.0,277141000.0,553370000.0
Dividends Payable,300000.0,100000.0,0.0,0.0
Total Tax Payable,474200000.0,281900000.0,408278000.0,243830000.0
Accounts Payable,4670100000.0,3851300000.0,2384887000.0,1812640000.0
Total Assets,28853300000.0,26587300000.0,10220881000.0,6265480000.0
Total Non Current Assets,10986400000.0,9900700000.0,2523402000.0,2224540000.0
Other Non Current Assets,732100000.0,-100000.0,77856000.0,850000.0
Non Current Prepaid Assets,772200000.0,54300000.0,295474000.0,236540000.0
Non Current Deferred Taxes Assets,84100000.0,55300000.0,46497000.0,38300000.0
Other Investments,63700000.0,0.0,0.0,0.0
Investmentin Financial Assets,89700000.0,11000000.0,25062000.0,560000.0
Available For Sale Securities,89700000.0,11000000.0,25062000.0,560000.0
Goodwill And Other Intangible Assets,8997100000.0,9077100000.0,1560358000.0,1444830000.0
Other Intangible Assets,3795000000.0,4066300000.0,657857000.0,590330000.0
Goodwill,5202100000.0,5010800000.0,902501000.0,854500000.0
Net PPE,679200000.0,445700000.0,378562000.0,320610000.0
Accumulated Depreciation,-748800000.0,-572500000.0,-460631000.0,-450700000.0
Gross PPE,679200000.0,1018200000.0,839193000.0,771310000.0
Construction In Progress,10900000.0,0.0,10549000.0,0.0
Other Properties,668300000.0,445700000.0,368013000.0,0.0
Machinery Furniture Equipment,743900000.0,581200000.0,444897000.0,416510000.0
Buildings And Improvements,673200000.0,437000000.0,383747000.0,354800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,17866900000.0,16686600000.0,7697479000.0,4040940000.0
Other Current Assets,1688300000.0,964100000.0,474370000.0,95560000.0
Restricted Cash,0.0,0.0,0.0,220130000.0
Prepaid Assets,1739600000.0,849500000.0,348679000.0,508460000.0
Other Receivables,174300000.0,414300000.0,190451000.0,78980000.0
Taxes Receivable,0.0,156800000.0,180758000.0,175550000.0
Accounts Receivable,7015400000.0,4870500000.0,2173029000.0,2036990000.0
Allowance For Doubtful Accounts Receivable,-43100000.0,-29500000.0,-33240000.0,-25500000.0
Gross Accounts Receivable,7058500000.0,4900000000.0,2206269000.0,2062490000.0
Cash Cash Equivalents And Short Term Investments,9163200000.0,10395500000.0,4804562000.0,925270000.0
Other Short Term Investments,4327100000.0,6322200000.0,128018000.0,118980000.0
Cash And Cash Equivalents,4836100000.0,4073300000.0,4676544000.0,806290000.0
Cash Equivalents,3074800000.0,3266500000.0,4114204000.0,416630000.0
Cash Financial,1761300000.0,806800000.0,562340000.0,389660000.0
