,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,140212408.0,140212407.0,140212407.0,140212407.0
Share Issued,140212408.0,140212407.0,140212407.0,140212407.0
Net Debt,761800000.0,0.0,0.0,0.0
Total Debt,5905000000.0,1594100000.0,1850100000.0,1871800000.0
Tangible Book Value,-3008100000.0,7955800000.0,6818700000.0,4901200000.0
Invested Capital,17942300000.0,11372000000.0,9952000000.0,7556700000.0
Working Capital,2517500000.0,6502900000.0,5298100000.0,3495600000.0
Net Tangible Assets,-3008100000.0,7955800000.0,6818700000.0,4901200000.0
Capital Lease Obligations,969200000.0,1214100000.0,952800000.0,1011800000.0
Common Stock Equity,13006500000.0,10992000000.0,9054700000.0,6696700000.0
Total Capitalization,16057100000.0,10992000000.0,9054700000.0,6696700000.0
Total Equity Gross Minority Interest,13006500000.0,10992000000.0,9054700000.0,6696700000.0
Stockholders Equity,13006500000.0,10992000000.0,9054700000.0,6696700000.0
Other Equity Interest,12867800000.0,26500000.0,23100000.0,28400000.0
Retained Earnings,11322000000.0,9124200000.0,7230200000.0,5206200000.0
Additional Paid In Capital,693800000.0,728400000.0,728400000.0,728000000.0
Capital Stock,138700000.0,103900000.0,103900000.0,103900000.0
Common Stock,138700000.0,103900000.0,103900000.0,103900000.0
Total Liabilities Net Minority Interest,30562300000.0,14559900000.0,10414500000.0,9467900000.0
Total Non Current Liabilities Net Minority Interest,8929000000.0,1660000000.0,1020700000.0,1067600000.0
Tradeand Other Payables Non Current,4359700000.0,742700000.0,301800000.0,252300000.0
Non Current Deferred Taxes Liabilities,706900000.0,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,3725700000.0,917300000.0,718900000.0,800900000.0
Long Term Capital Lease Obligation,675100000.0,917300000.0,718900000.0,800900000.0
Long Term Debt,3050600000.0,0.0,0.0,0.0
Current Liabilities,21633300000.0,12899900000.0,9393800000.0,8400300000.0
Other Current Liabilities,1051500000.0,32100000.0,175300000.0,155700000.0
Current Deferred Taxes Liabilities,921400000.0,582500000.0,443000000.0,359300000.0
Current Debt And Capital Lease Obligation,2179300000.0,676800000.0,1131200000.0,1070900000.0
Current Capital Lease Obligation,294100000.0,296800000.0,233900000.0,210900000.0
Current Debt,1885200000.0,380000000.0,897300000.0,860000000.0
Pensionand Other Post Retirement Benefit Plans Current,0.0,345300000.0,360000000.0,307100000.0
Current Provisions,310600000.0,285000000.0,271500000.0,0.0
Payables,13870100000.0,10959200000.0,6893100000.0,6488400000.0
Other Payable,4590900000.0,364100000.0,336700000.0,473000000.0
Dividends Payable,44900000.0,47800000.0,46700000.0,37500000.0
Total Tax Payable,921400000.0,582500000.0,443000000.0,359300000.0
Accounts Payable,12948700000.0,10547300000.0,6509700000.0,5618600000.0
Total Assets,43568800000.0,25551900000.0,19469200000.0,16164600000.0
Total Non Current Assets,19418000000.0,6149100000.0,4777300000.0,4268700000.0
Other Non Current Assets,34800000.0,1100500000.0,1049800000.0,100000.0
Non Current Prepaid Assets,195800000.0,1260600000.0,1025300000.0,724900000.0
Non Current Deferred Taxes Assets,0.0,261300000.0,189400000.0,243900000.0
Investmentin Financial Assets,558800000.0,138500000.0,105500000.0,87300000.0
Available For Sale Securities,558800000.0,113600000.0,104900000.0,87000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,16300000.0,24900000.0,600000.0,300000.0
Goodwill And Other Intangible Assets,16014600000.0,3036200000.0,2236000000.0,1795500000.0
Other Intangible Assets,5030900000.0,829000000.0,476900000.0,237700000.0
Goodwill,10983700000.0,2207200000.0,1759100000.0,1557800000.0
Net PPE,1316300000.0,1233100000.0,1001500000.0,1185900000.0
Accumulated Depreciation,-325700000.0,-398700000.0,-466500000.0,-326200000.0
Gross PPE,1316300000.0,1631800000.0,1468000000.0,1512100000.0
Construction In Progress,8200000.0,100000.0,1200000.0,0.0
Other Properties,1308100000.0,1233000000.0,1000300000.0,972900000.0
Machinery Furniture Equipment,670800000.0,450300000.0,493500000.0,395000000.0
Buildings And Improvements,944100000.0,1161100000.0,951700000.0,1094200000.0
Land And Improvements,19000000.0,20300000.0,21600000.0,22900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,24150800000.0,19402800000.0,14691900000.0,11895900000.0
Other Current Assets,1745900000.0,296300000.0,382800000.0,0.0
Hedging Assets Current,32500000.0,309300000.0,270100000.0,0.0
Assets Held For Sale Current,253300000.0,0.0,0.0,0.0
Restricted Cash,59300000.0,186800000.0,212900000.0,100600000.0
Prepaid Assets,220900000.0,138600000.0,74400000.0,100100000.0
Inventory,288200000.0,0.0,0.0,0.0
Finished Goods,288200000.0,0.0,0.0,0.0
Other Receivables,2229800000.0,811300000.0,677100000.0,658600000.0
Taxes Receivable,291400000.0,74100000.0,87300000.0,124800000.0
Accounts Receivable,12362200000.0,8925600000.0,6157900000.0,7000000000.0
Allowance For Doubtful Accounts Receivable,-230700000.0,-158300000.0,-252900000.0,-178500000.0
Gross Accounts Receivable,11704800000.0,9083900000.0,6410800000.0,7178500000.0
Cash Cash Equivalents And Short Term Investments,9501200000.0,8957100000.0,7212200000.0,3911800000.0
Other Short Term Investments,5327200000.0,1620200000.0,805600000.0,189800000.0
Cash And Cash Equivalents,4174000000.0,7336900000.0,6406600000.0,3722000000.0
Cash Equivalents,1537100000.0,0.0,0.0,0.0
Cash Financial,2636900000.0,7336900000.0,6406600000.0,3722000000.0
