,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,2092741018.0,2092741018.0,2092741018.0,1809722151.0
Share Issued,2092741018.0,2092741018.0,2092741018.0,1809722151.0
Total Debt,69938500000.0,34196892000.0,42137620000.0,64345393000.0
Tangible Book Value,66747300000.0,58542497000.0,58092432000.0,54773477000.0
Invested Capital,136685800000.0,92739389000.0,100230052000.0,119118870000.0
Net Tangible Assets,66747300000.0,58542497000.0,58092432000.0,54773477000.0
Common Stock Equity,66747300000.0,58542497000.0,58092432000.0,54773477000.0
Total Capitalization,136685800000.0,92739389000.0,100230052000.0,119118870000.0
Total Equity Gross Minority Interest,66747300000.0,58542497000.0,58092432000.0,54773477000.0
Stockholders Equity,66747300000.0,58542497000.0,58092432000.0,54773477000.0
Other Equity Interest,1100000.0,12905000.0,20824000.0,25472000.0
Fixed Assets Revaluation Reserve,0.0,0.0,3169907000.0,3210934000.0
Retained Earnings,2245333000.0,-380422000.0,46278000.0,1259535000.0
Additional Paid In Capital,17668966000.0,17668966000.0,17668966000.0,15551985000.0
Capital Stock,2092700000.0,2092741000.0,2092741000.0,1809722000.0
Common Stock,2092700000.0,2092741000.0,2092741000.0,1809722000.0
Total Liabilities Net Minority Interest,1010224300000.0,941976186000.0,883399302000.0,915555529000.0
Long Term Debt And Capital Lease Obligation,69938500000.0,34196892000.0,42137620000.0,64345393000.0
Payables,2041463000.0,1801206000.0,1864137000.0,2027138000.0
Accounts Payable,2041463000.0,1801206000.0,1864137000.0,2027138000.0
Total Assets,1076971600000.0,1000518683000.0,941491734000.0,970329006000.0
Defined Pension Benefit,0.0,245714000.0,0.0,0.0
Investments And Advances,246413000000.0,214445128000.0,203210845000.0,206252745000.0
Investmentin Financial Assets,246413000000.0,214445128000.0,203210845000.0,206252745000.0
Available For Sale Securities,7482103000.0,13523768000.0,4884559000.0,7645912000.0
Trading Securities,0.0,0.0,4250000000.0,13944000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,8779300000.0,8110697000.0,7951667000.0,8000419000.0
Accumulated Depreciation,-7139727000.0,-6649566000.0,-5976175000.0,-5428414000.0
Gross PPE,15918989000.0,14760263000.0,13927842000.0,13428833000.0
Construction In Progress,1239985000.0,590470000.0,405046000.0,242360000.0
Other Properties,8246607000.0,8222551000.0,7575854000.0,7239505000.0
Properties,6432397000.0,5947242000.0,5946942000.0,5946968000.0
Prepaid Assets,2676503000.0,3073835000.0,2672209000.0,4317815000.0
Receivables,92651431000.0,61196854000.0,38324235000.0,54927749000.0
Cash And Cash Equivalents,70804900000.0,113943176000.0,100076663000.0,80667617000.0
Cash Equivalents,0.0,0.0,0.0,0.0
Cash Financial,46392200000.0,5723146000.0,4229122000.0,4621363000.0
