,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-73735200000.0,42496731000.0,57271345000.0,5723826000.0
Issuance Of Capital Stock,0.0,0.0,2400000000.0,866000.0
Capital Expenditure,-1127000000.0,-1018864000.0,-812710000.0,-836126000.0
End Cash Position,70804900000.0,112034276000.0,87678781000.0,41897617000.0
Beginning Cash Position,112034300000.0,87678781000.0,41897617000.0,48227548000.0
Changes In Cash,-41229400000.0,24355495000.0,45781164000.0,-6329931000.0
Financing Cash Flow,35239300000.0,-1754131000.0,-1380939000.0,2885031000.0
Interest Paid Cff,-1754300000.0,-1754131000.0,-1780939000.0,-1570418000.0
Cash Dividends Paid,0.0,0.0,0.0,-545417000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-545417000.0
Net Common Stock Issuance,0.0,0.0,2400000000.0,866000.0
Common Stock Issuance,0.0,0.0,2400000000.0,866000.0
Net Issuance Payments Of Debt,36993600000.0,0.0,-2000000000.0,5000000000.0
Net Long Term Debt Issuance,36993600000.0,0.0,-2000000000.0,5000000000.0
Investing Cash Flow,-3860500000.0,-17405969000.0,-10921952000.0,-15774914000.0
Net Investment Purchase And Sale,-2771100000.0,-17035646000.0,-10165556000.0,-14965089000.0
Net PPE Purchase And Sale,-1089400000.0,-370323000.0,-756396000.0,-809825000.0
Sale Of PPE,37600000.0,648541000.0,56314000.0,26301000.0
Purchase Of PPE,-1127000000.0,-1018864000.0,-812710000.0,-836126000.0
Operating Cash Flow,-72608200000.0,43515595000.0,58084055000.0,6559952000.0
Taxes Refund Paid,-2189300000.0,-395738000.0,979006000.0,-1285039000.0
Change In Working Capital,-95595800000.0,23635534000.0,37197917000.0,-11376462000.0
Change In Other Current Liabilities,7021600000.0,-68617000.0,259187000.0,-1198796000.0
Change In Other Current Assets,11930800000.0,-2147654000.0,5502643000.0,-19248754000.0
Other Non Cash Items,4878400000.0,4319608000.0,2909232000.0,1982460000.0
Stock Based Compensation,1100000.0,1983000.0,-4647000.0,9783000.0
Provisionand Write Offof Assets,5366500000.0,12104411000.0,14312293000.0,12229407000.0
Depreciation And Amortization,874900000.0,840205000.0,826506000.0,777015000.0
Depreciation,874900000.0,840205000.0,826506000.0,777015000.0
Pension And Employee Benefit Expense,0.0,0.0,0.0,0.0
Gain Loss On Sale Of PPE,1200000.0,-1476000.0,-3081000.0,-4160000.0
Net Income From Continuing Operations,11085000000.0,448081000.0,619106000.0,1045896000.0
