,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,4227576000.0,4118438000.0,3985460000.0,2333514000.0
Capital Expenditure,-641008000.0,-711882000.0,-388397000.0,-231076000.0
End Cash Position,1338917000.0,1511051000.0,1004173000.0,2284245000.0
Beginning Cash Position,1511051000.0,1004173000.0,2284245000.0,537104000.0
Effect Of Exchange Rate Changes,9602000.0,20499000.0,-11985000.0,36792000.0
Changes In Cash,-181736000.0,486379000.0,-1268087000.0,1710349000.0
Financing Cash Flow,-3031211000.0,-3260998000.0,-1264618000.0,-1244084000.0
Interest Paid Cff,-3617000.0,-819000.0,0.0,0.0
Cash Dividends Paid,-2646749000.0,-2989269000.0,-1027561000.0,-1020504000.0
Common Stock Dividend Paid,0.0,0.0,-1027561000.0,-1020504000.0
Investing Cash Flow,-2019109000.0,-1082943000.0,-4377326000.0,389843000.0
Interest Received Cfi,313126000.0,284818000.0,255014000.0,348731000.0
Net Investment Purchase And Sale,-1695000000.0,-655960000.0,-4244003000.0,269997000.0
Net PPE Purchase And Sale,-637235000.0,-711801000.0,-388337000.0,-228885000.0
Sale Of PPE,3773000.0,81000.0,60000.0,2191000.0
Purchase Of PPE,-641008000.0,-711882000.0,-388397000.0,-231076000.0
Capital Expenditure Reported,0.0,0.0,-388397000.0,-231076000.0
Operating Cash Flow,4868584000.0,4830320000.0,4373857000.0,2564590000.0
Taxes Refund Paid,-1848462000.0,-2062289000.0,-1237383000.0,-896777000.0
Change In Working Capital,-3096917000.0,-1001854000.0,121569000.0,-190146000.0
Change In Other Current Liabilities,324542000.0,1009719000.0,67675000.0,120796000.0
Change In Other Current Assets,-672523000.0,-308042000.0,20887000.0,88426000.0
Change In Payable,154558000.0,292801000.0,87828000.0,-89027000.0
Change In Inventory,1813000.0,-5046000.0,16491000.0,-497000.0
Change In Receivables,-3003149000.0,-1962071000.0,-126941000.0,-568332000.0
Other Non Cash Items,-381165000.0,-209909000.0,-230823000.0,-275488000.0
Provisionand Write Offof Assets,-10636000.0,74837000.0,49851000.0,22777000.0
Deferred Tax,1823071000.0,1958175000.0,1437448000.0,963403000.0
Depreciation And Amortization,813898000.0,553355000.0,443809000.0,434134000.0
Depreciation,813898000.0,553355000.0,443809000.0,434134000.0
Gain Loss On Investment Securities,22506000.0,-8512000.0,-38530000.0,62852000.0
Net Foreign Currency Exchange Gain Loss,-11621000.0,-2766000.0,79766000.0,-120274000.0
Gain Loss On Sale Of PPE,0.0,0.0,0.0,-272000.0
Net Income From Continuing Operations,7551932000.0,5496715000.0,3681219000.0,2561001000.0
