,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,12217771654.0,12211769370.0,12029451060.0,12041269990.0
Share Issued,12217771654.0,12211769370.0,12029451060.0,12041269990.0
Net Debt,658878000000.0,532165600000.0,751349000000.0,1017641800000.0
Total Debt,848930500000.0,755539100000.0,885014100000.0,1163282000000.0
Tangible Book Value,834747800000.0,1084146400000.0,678388800000.0,679110600000.0
Invested Capital,1810998000000.0,1832642800000.0,1549057500000.0,1828824400000.0
Working Capital,-106295900000.0,19611700000.0,-106552300000.0,-29281900000.0
Net Tangible Assets,834747800000.0,1084146400000.0,678388800000.0,679110600000.0
Capital Lease Obligations,68753500000.0,67326700000.0,78344300000.0,70220600000.0
Common Stock Equity,1030821000000.0,1144430400000.0,742387700000.0,735763000000.0
Total Capitalization,1545284300000.0,1591996700000.0,1399367800000.0,1617847500000.0
Total Equity Gross Minority Interest,1051752100000.0,1170984600000.0,775084500000.0,761629000000.0
Minority Interest,20931100000.0,26554200000.0,32696800000.0,25866000000.0
Stockholders Equity,1030821000000.0,1144430400000.0,742387700000.0,735763000000.0
Other Equity Interest,1018608600000.0,1132218300000.0,7787800000.0,22750000000.0
Retained Earnings,481663200000.0,556477900000.0,164767000000.0,181278200000.0
Additional Paid In Capital,314211900000.0,314198400000.0,0.0,279112300000.0
Capital Stock,12212400000.0,12212100000.0,11976100000.0,11449500000.0
Common Stock,12212400000.0,12212100000.0,11976100000.0,11449500000.0
Total Liabilities Net Minority Interest,1828465300000.0,1683471400000.0,1679787600000.0,1742565500000.0
Total Non Current Liabilities Net Minority Interest,855514000000.0,777517000000.0,971116300000.0,1125956400000.0
Other Non Current Liabilities,44672700000.0,6963600000.0,5763700000.0,0.0
Derivative Product Liabilities,0.0,103500000.0,714100000.0,1279200000.0
Non Current Pension And Other Postretirement Benefit Plans,29313700000.0,34137100000.0,34997900000.0,35981800000.0
Tradeand Other Payables Non Current,17279700000.0,13370700000.0,9804800000.0,7264200000.0
Non Current Deferred Revenue,1323600000.0,36997900000.0,51187500000.0,1540300000.0
Non Current Deferred Taxes Liabilities,141156400000.0,123257800000.0,92414200000.0,92613800000.0
Long Term Debt And Capital Lease Obligation,572574100000.0,504530900000.0,724087900000.0,941049700000.0
Long Term Capital Lease Obligation,58110800000.0,56964600000.0,67107800000.0,58965200000.0
Long Term Debt,514463300000.0,447566300000.0,656980100000.0,882084500000.0
Long Term Provisions,47758400000.0,48259800000.0,46919200000.0,42350700000.0
Current Liabilities,972951300000.0,905954400000.0,708671300000.0,616609100000.0
Other Current Liabilities,145451000000.0,121573700000.0,85315300000.0,60466700000.0
Current Debt And Capital Lease Obligation,276356400000.0,251008200000.0,160926200000.0,222232300000.0
