,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,75405900000.0,338587900000.0,373480900000.0,97707200000.0
Repayment Of Debt,-46056800000.0,-263596000000.0,-291682500000.0,-79373700000.0
Issuance Of Debt,167686500000.0,9066600000.0,98006100000.0,89073500000.0
Issuance Of Capital Stock,13700000.0,3257400000.0,32389500000.0,1875300000.0
Capital Expenditure,-141424900000.0,-105222000000.0,-69785900000.0,-103980000000.0
End Cash Position,121299000000.0,156069600000.0,55320800000.0,77323400000.0
Beginning Cash Position,156069600000.0,55320800000.0,77323400000.0,32703000000.0
Effect Of Exchange Rate Changes,5003900000.0,-237900000.0,-1143900000.0,5182900000.0
Changes In Cash,-39774500000.0,100986700000.0,-20858700000.0,39437500000.0
Financing Cash Flow,-69806900000.0,-234010900000.0,-370896700000.0,-16946200000.0
Net Other Financing Charges,21600000.0,-7893000000.0,-17138500000.0,-5636500000.0
Interest Paid Cff,-61197200000.0,-46866700000.0,-68036900000.0,-74192600000.0
Cash Dividends Paid,-62926300000.0,-30201200000.0,-11505300000.0,-15065500000.0
Common Stock Dividend Paid,-62926300000.0,0.0,0.0,-15065500000.0
Net Common Stock Issuance,13700000.0,3257400000.0,32389500000.0,1875300000.0
Common Stock Issuance,13700000.0,3257400000.0,32389500000.0,1875300000.0
Net Issuance Payments Of Debt,65425600000.0,-139206700000.0,-293766300000.0,86363000000.0
Net Short Term Debt Issuance,-56204100000.0,115322700000.0,-100089900000.0,76663200000.0
Net Long Term Debt Issuance,121629700000.0,-254529400000.0,-193676400000.0,9699800000.0
Long Term Debt Payments,-46056800000.0,-263596000000.0,-291682500000.0,-79373700000.0
Long Term Debt Issuance,167686500000.0,9066600000.0,98006100000.0,89073500000.0
Investing Cash Flow,-186798400000.0,-108812300000.0,-93228800000.0,-145303500000.0
Net Other Investing Changes,265800000.0,176800000.0,1010400000.0,-698600000.0
Interest Received Cfi,2480800000.0,1373800000.0,2662800000.0,2025700000.0
Dividends Received Cfi,3169800000.0,1615000000.0,1348800000.0,1020600000.0
Net Investment Purchase And Sale,48642800000.0,-11084500000.0,-34068800000.0,-7067700000.0
Sale Of Investment,51905500000.0,625600000.0,2238000000.0,1212100000.0
Purchase Of Investment,-3262700000.0,-11710100000.0,-36306800000.0,-8279800000.0
Net Business Purchase And Sale,-104025200000.0,-556500000.0,899800000.0,-40542400000.0
Sale Of Business,1664300000.0,12075800000.0,899800000.0,3785000000.0
Purchase Of Business,-105689500000.0,-12632300000.0,0.0,-44327400000.0
Net PPE Purchase And Sale,-138147900000.0,-99527200000.0,-65339600000.0,3857300000.0
Sale Of PPE,3277000000.0,5694800000.0,4446300000.0,3857300000.0
Purchase Of PPE,-141424900000.0,-105222000000.0,-69785900000.0,0.0
Capital Expenditure Reported,0.0,-105222000000.0,-69785900000.0,-103980000000.0
Operating Cash Flow,216830800000.0,443809900000.0,443266800000.0,201687200000.0
Taxes Refund Paid,-55187600000.0,-119017000000.0,-7043200000.0,-21059100000.0
Change In Working Capital,-37065000000.0,-96177000000.0,164913100000.0,41962000000.0
Change In Other Current Liabilities,-30690700000.0,135192200000.0,162672800000.0,-19968600000.0
Change In Other Current Assets,33939400000.0,-62200900000.0,1783500000.0,26342600000.0
Change In Inventory,-40313700000.0,-169168300000.0,456800000.0,15619400000.0
Other Non Cash Items,55461100000.0,58125600000.0,83519300000.0,99605900000.0
Depreciation And Amortization,93352000000.0,91008700000.0,92336400000.0,87076700000.0
Depreciation,93352000000.0,91008700000.0,92336400000.0,87076700000.0
Pension And Employee Benefit Expense,919400000.0,0.0,0.0,0.0
Gain Loss On Investment Securities,-395800000.0,-745700000.0,-389700000.0,-358300000.0
Net Foreign Currency Exchange Gain Loss,-17939600000.0,15791500000.0,-23752300000.0,9820700000.0
Gain Loss On Sale Of PPE,435700000.0,-953300000.0,-1480300000.0,43600000.0
Gain Loss On Sale Of Business,-668600000.0,0.0,0.0,279800000.0
Net Income From Continuing Operations,182351200000.0,502268700000.0,138436900000.0,-13804400000.0
