,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,0.0,0.0,0.0,20585000.0
Ordinary Shares Number,974162725.0,877597850.0,968260067.0,945267364.0
Share Issued,974162725.0,877597850.0,968260067.0,965852364.0
Total Debt,27402000000.0,26184000000.0,29008000000.0,36705000000.0
Tangible Book Value,169911000000.0,158013000000.0,194060000000.0,169194000000.0
Invested Capital,295027000000.0,284674000000.0,265578000000.0,242838000000.0
Working Capital,111117000000.0,119509000000.0,137474000000.0,110162000000.0
Net Tangible Assets,169911000000.0,158013000000.0,194060000000.0,169194000000.0
Capital Lease Obligations,11620000000.0,10367000000.0,12080000000.0,11998000000.0
Common Stock Equity,279245000000.0,268857000000.0,248650000000.0,218131000000.0
Total Capitalization,280533000000.0,270277000000.0,250308000000.0,219918000000.0
Total Equity Gross Minority Interest,283947000000.0,273811000000.0,252445000000.0,222064000000.0
Minority Interest,4702000000.0,4954000000.0,3795000000.0,3933000000.0
Stockholders Equity,279245000000.0,268857000000.0,248650000000.0,218131000000.0
Other Equity Interest,274845000000.0,4088000000.0,4707000000.0,4264000000.0
Retained Earnings,238604000000.0,225204000000.0,202870000000.0,184608000000.0
Additional Paid In Capital,14392000000.0,12943000000.0,10673000000.0,9311000000.0
Capital Stock,4400000000.0,4388000000.0,4370000000.0,4359000000.0
Common Stock,4400000000.0,4388000000.0,4370000000.0,4359000000.0
Total Liabilities Net Minority Interest,177586000000.0,174896000000.0,144335000000.0,151471000000.0
Total Non Current Liabilities Net Minority Interest,44376000000.0,49848000000.0,29256000000.0,29910000000.0
Other Non Current Liabilities,12553000000.0,12304000000.0,761000000.0,12304000000.0
Derivative Product Liabilities,665000000.0,164000000.0,956000000.0,2450000000.0
Non Current Pension And Other Postretirement Benefit Plans,9288000000.0,8811000000.0,7810000000.0,6691000000.0
Tradeand Other Payables Non Current,0.0,0.0,761000000.0,0.0
Non Current Deferred Revenue,9653000000.0,15381000000.0,9213000000.0,10067000000.0
Non Current Deferred Taxes Liabilities,3261000000.0,4552000000.0,761000000.0,356000000.0
Long Term Debt And Capital Lease Obligation,9191000000.0,8620000000.0,9735000000.0,10326000000.0
Long Term Capital Lease Obligation,7903000000.0,7200000000.0,8077000000.0,8539000000.0
Long Term Debt,1288000000.0,1420000000.0,1658000000.0,1787000000.0
Long Term Provisions,9288000000.0,8811000000.0,7810000000.0,0.0
Current Liabilities,133210000000.0,125048000000.0,115079000000.0,121561000000.0
Other Current Liabilities,19818000000.0,8456000000.0,24166000000.0,24295000000.0
Current Debt And Capital Lease Obligation,18211000000.0,17564000000.0,19273000000.0,26379000000.0
Current Capital Lease Obligation,3717000000.0,3167000000.0,4003000000.0,3459000000.0
Current Debt,14494000000.0,14397000000.0,15270000000.0,22920000000.0
Current Provisions,6313000000.0,6716000000.0,5311000000.0,4364000000.0
Payables,59251000000.0,52679000000.0,39968000000.0,45088000000.0
Other Payable,989000000.0,927000000.0,668000000.0,2096000000.0
Dividends Payable,408000000.0,364000000.0,307000000.0,221000000.0
Total Tax Payable,15405000000.0,10441000000.0,11143000000.0,10205000000.0
Accounts Payable,43846000000.0,40947000000.0,27850000000.0,32566000000.0
