,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-6293100000.0,-1346800000.0,751300000.0,-921600000.0
Repayment Of Debt,0.0,0.0,0.0,-11900000.0
Issuance Of Capital Stock,10213300000.0,8487500000.0,57000000.0,28200000.0
Capital Expenditure,-2490000000.0,-1173500000.0,-825200000.0,-927700000.0
End Cash Position,853900000.0,475600000.0,534300000.0,664800000.0
Beginning Cash Position,475600000.0,534300000.0,664800000.0,169000000.0
Effect Of Exchange Rate Changes,5600000.0,-2200000.0,0.0,0.0
Changes In Cash,372700000.0,-56500000.0,-130500000.0,495800000.0
Financing Cash Flow,9988500000.0,8394300000.0,-34400000.0,-223100000.0
Interest Paid Cff,-43600000.0,-30800000.0,-34100000.0,-72800000.0
Cash Dividends Paid,0.0,0.0,0.0,-110800000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-110800000.0
Net Common Stock Issuance,10213300000.0,8487500000.0,57000000.0,28200000.0
Common Stock Issuance,10213300000.0,8487500000.0,57000000.0,28200000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,-11900000.0
Net Long Term Debt Issuance,0.0,0.0,0.0,-11900000.0
Long Term Debt Payments,0.0,0.0,0.0,-11900000.0
Investing Cash Flow,-5812700000.0,-8277500000.0,-1672600000.0,712800000.0
Net Other Investing Changes,3597900000.0,0.0,0.0,0.0
Interest Received Cfi,522200000.0,241600000.0,98300000.0,210000000.0
Net Investment Purchase And Sale,-5041500000.0,-7345700000.0,-945800000.0,1430200000.0
Sale Of Investment,41736800000.0,28834500000.0,8433400000.0,11252400000.0
Purchase Of Investment,-46778300000.0,-36180200000.0,-9379200000.0,-9822200000.0
Net Business Purchase And Sale,-2401800000.0,0.0,0.0,0.0
Purchase Of Business,-2401800000.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-2025200000.0,-866100000.0,-683600000.0,-721400000.0
Purchase Of Intangibles,-2025200000.0,-866100000.0,-683600000.0,-721400000.0
Net PPE Purchase And Sale,500000.0,-307300000.0,-141500000.0,-206000000.0
Sale Of PPE,500000.0,100000.0,100000.0,300000.0
Purchase Of PPE,-466500000.0,-307400000.0,-141600000.0,-206300000.0
Capital Expenditure Reported,-2490000000.0,0.0,0.0,0.0
Operating Cash Flow,-3803100000.0,-173300000.0,1576500000.0,6100000.0
Taxes Refund Paid,112900000.0,292800000.0,-47700000.0,-108700000.0
Change In Working Capital,-4347100000.0,-726500000.0,791100000.0,-135500000.0
Change In Other Current Liabilities,355000000.0,-203400000.0,86000000.0,-333100000.0
Change In Other Current Assets,-1246600000.0,-418700000.0,-78500000.0,-119000000.0
Change In Payable,1770000000.0,187900000.0,177000000.0,-888800000.0
Change In Inventory,-3540000000.0,-643700000.0,383400000.0,-706000000.0
Change In Receivables,-1690600000.0,358300000.0,225200000.0,1945100000.0
Other Non Cash Items,-433600000.0,-235700000.0,-165700000.0,-42200000.0
Stock Based Compensation,598400000.0,112000000.0,80000000.0,112000000.0
Provisionand Write Offof Assets,-329700000.0,877600000.0,148000000.0,200100000.0
Depreciation And Amortization,1225000000.0,767800000.0,521200000.0,770500000.0
Amortization Cash Flow,865500000.0,537200000.0,0.0,0.0
Depreciation,1225000000.0,230600000.0,521200000.0,770500000.0
Gain Loss On Investment Securities,-194600000.0,-90500000.0,-26300000.0,-39800000.0
Net Foreign Currency Exchange Gain Loss,-7800000.0,600000.0,50800000.0,-63800000.0
Gain Loss On Sale Of PPE,-100000.0,-100000.0,-100000.0,-200000.0
Net Income From Continuing Operations,-426500000.0,-1171300000.0,225200000.0,-1385700000.0
