,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,9724517.9063,-1915297663.9035,88495013.9176
Tax Rate For Calcs,0.2637,0.2431,0.2660,0.2897
Normalized EBITDA,51880000000.0,35170000000.0,26250000000.0,25852400000.0
Total Unusual Items,0.0,40000000.0,-7200000000.0,305400000.0
Total Unusual Items Excluding Goodwill,0.0,40000000.0,-7200000000.0,305400000.0
Net Income From Continuing Operation Net Minority Interest,32500000000.0,21730000000.0,9730000000.0,15013900000.0
Reconciled Depreciation,4410000000.0,3990000000.0,3750000000.0,3479600000.0
Reconciled Cost Of Revenue,303550000000.0,216850000000.0,164400000000.0,152066700000.0
EBITDA,51880000000.0,35210000000.0,19050000000.0,26157800000.0
EBIT,47470000000.0,31220000000.0,15300000000.0,22678200000.0
Net Interest Income,-3000000000.0,-1220000000.0,-1420000000.0,-677400000.0
Interest Expense,3000000000.0,2180000000.0,2030000000.0,1661700000.0
Interest Income,1430000000.0,960000000.0,610000000.0,984300000.0
Normalized Income,32500000000.0,21699724517.9063,15014702336.0964,14796995013.9176
Net Income From Continuing And Discontinued Operation,32500000000.0,21730000000.0,9730000000.0,15013900000.0
Total Expenses,334860000000.0,257650000000.0,194800000000.0,188556500000.0
Rent Expense Supplemental,350000000.0,40000000.0,20000000.0,276000000.0
Diluted Average Shares,887786160.0,887786160.0,887786160.0,887786160.0
Basic Average Shares,887786160.0,887786160.0,887786160.0,887786160.0
Diluted EPS,36.61,24.48,10.96,16.91
Basic EPS,36.61,24.48,10.96,16.91
Diluted NI Availto Com Stockholders,32500000000.0,21730000000.0,9730000000.0,15013900000.0
Net Income Common Stockholders,32500000000.0,21730000000.0,9730000000.0,15013900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,32500000000.0,21730000000.0,9730000000.0,15013900000.0
Minority Interests,-240000000.0,-250000000.0,-10000000.0,87300000.0
Net Income Including Noncontrolling Interests,32740000000.0,21980000000.0,9740000000.0,14926600000.0
Net Income Continuous Operations,32740000000.0,21980000000.0,9740000000.0,14926600000.0
Tax Provision,11730000000.0,7060000000.0,3530000000.0,6089900000.0
Pretax Income,44470000000.0,29040000000.0,13270000000.0,21016500000.0
Other Non Operating Income Expenses,3080000000.0,510000000.0,680000000.0,230600000.0
Special Income Charges,0.0,-820000000.0,-160000000.0,-12000000.0
Other Special Charges,-560000000.0,570000000.0,-160000000.0,0.0
Write Off,390000000.0,250000000.0,320000000.0,12000000.0
Net Non Operating Interest Income Expense,-3000000000.0,-1220000000.0,-1420000000.0,-677400000.0
Total Other Finance Cost,50000000.0,0.0,0.0,0.0
Interest Expense Non Operating,3000000000.0,2180000000.0,2030000000.0,1661700000.0
Interest Income Non Operating,1430000000.0,960000000.0,610000000.0,984300000.0
Operating Income,44380000000.0,29710000000.0,21260000000.0,21198200000.0
Operating Expense,31310000000.0,40800000000.0,30400000000.0,36489800000.0
Other Operating Expenses,27280000000.0,6300000000.0,5370000000.0,7728500000.0
Depreciation And Amortization In Income Statement,4410000000.0,3990000000.0,3750000000.0,3479600000.0
Amortization,2620000000.0,2220000000.0,2090000000.0,1881700000.0
Depreciation Income Statement,4410000000.0,1770000000.0,1660000000.0,1597900000.0
Selling General And Administration,9660000000.0,16540000000.0,10060000000.0,12447800000.0
Selling And Marketing Expense,9660000000.0,14830000000.0,8750000000.0,12351200000.0
General And Administrative Expense,2560000000.0,1710000000.0,1310000000.0,96600000.0
Rent And Landing Fees,350000000.0,40000000.0,20000000.0,276000000.0
Gross Profit,75690000000.0,70510000000.0,51660000000.0,57688000000.0
Cost Of Revenue,303550000000.0,216850000000.0,164400000000.0,152066700000.0
Total Revenue,379240000000.0,287360000000.0,216060000000.0,209754700000.0
Operating Revenue,379240000000.0,287360000000.0,216060000000.0,209754700000.0
