,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,158351454.0,158351454.0,158351454.0,158351454.0
Share Issued,158351454.0,158351454.0,158351454.0,158351454.0
Total Debt,5250000000.0,0.0,0.0,0.0
Tangible Book Value,69283400000.0,53357070000.0,45799820000.0,39796460000.0
Invested Capital,74533400000.0,0.0,0.0,0.0
Net Tangible Assets,69283400000.0,53357070000.0,45799820000.0,39796460000.0
Common Stock Equity,69283400000.0,53357070000.0,45799820000.0,39796460000.0
Total Capitalization,74533400000.0,0.0,0.0,0.0
Total Equity Gross Minority Interest,69283400000.0,53357070000.0,45799820000.0,39796460000.0
Stockholders Equity,69283400000.0,53357070000.0,45799820000.0,39796460000.0
Retained Earnings,1232879000.0,2263160000.0,799930000.0,507140000.0
Additional Paid In Capital,7692274000.0,0.0,0.0,0.0
Capital Stock,1583500000.0,1425110000.0,1425110000.0,1425110000.0
Common Stock,1583500000.0,1425110000.0,1425110000.0,1425110000.0
Total Liabilities Net Minority Interest,509670200000.0,475227810000.0,429471870000.0,387791510000.0
Long Term Debt And Capital Lease Obligation,5250000000.0,0.0,0.0,0.0
Payables,4770714000.0,5135730000.0,5072020000.0,3815700000.0
Other Payable,3319645000.0,3695820000.0,2683940000.0,1364190000.0
Accounts Payable,1451069000.0,1439910000.0,2388080000.0,2451510000.0
Total Assets,578953600000.0,528584880000.0,475271690000.0,427587970000.0
Investments And Advances,141560400000.0,130354640000.0,117032090000.0,94673300000.0
Investmentin Financial Assets,141560400000.0,130354640000.0,117032090000.0,94673300000.0
Available For Sale Securities,5791132000.0,0.0,0.0,1966020000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,2456500000.0,2108350000.0,1371760000.0,1284530000.0
Accumulated Depreciation,-4904523000.0,-4365370000.0,-4033510000.0,-3747870000.0
Gross PPE,7361005000.0,6473720000.0,5405270000.0,5032400000.0
Other Properties,6553235000.0,5731250000.0,4663260000.0,4290390000.0
Buildings And Improvements,807770000.0,742470000.0,742010000.0,742010000.0
Prepaid Assets,10731933000.0,10441870000.0,7600630000.0,5493380000.0
Receivables,6188005000.0,7208470000.0,6863460000.0,5751550000.0
Cash And Cash Equivalents,35819800000.0,38520040000.0,27050760000.0,37365500000.0
Cash Equivalents,11983147000.0,0.0,0.0,0.0
Cash Financial,21025700000.0,3628180000.0,2602700000.0,2035180000.0
