,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,9344200000.0,24952236000.0,25985394000.0,-5154087000.0
Repayment Of Debt,0.0,0.0,-7059500000.0,0.0
Issuance Of Capital Stock,4661200000.0,0.0,4255000.0,10020451000.0
Capital Expenditure,-1253600000.0,-514808000.0,-581392000.0,-895277000.0
End Cash Position,23136900000.0,21554709000.0,19334974000.0,13387896000.0
Beginning Cash Position,21631900000.0,19334974000.0,13387896000.0,10776478000.0
Changes In Cash,1505000000.0,2219735000.0,5947078000.0,2611418000.0
Financing Cash Flow,11864300000.0,-14837551000.0,-7055237000.0,7759599000.0
Net Other Financing Charges,0.0,0.0,0.0,-22611000.0
Cash Dividends Paid,-1575900000.0,0.0,0.0,-110000000.0
Preferred Stock Dividend Paid,-110000000.0,0.0,0.0,-110000000.0
Common Stock Dividend Paid,-1575900000.0,0.0,0.0,0.0
Net Common Stock Issuance,4661200000.0,0.0,4255000.0,10020451000.0
Common Stock Issuance,4661200000.0,0.0,4255000.0,10020451000.0
Net Issuance Payments Of Debt,8779000000.0,-14837551000.0,-7059492000.0,-2128241000.0
Net Long Term Debt Issuance,0.0,0.0,-7059500000.0,0.0
Long Term Debt Payments,0.0,0.0,-7059500000.0,0.0
Investing Cash Flow,-20957100000.0,-8409758000.0,-13564471000.0,-889371000.0
Net Other Investing Changes,-1464000000.0,6555582000.0,-6521192000.0,0.0
Net Investment Purchase And Sale,-18248700000.0,-14454303000.0,-6465125000.0,0.0
Net PPE Purchase And Sale,-1244400000.0,-511037000.0,-578154000.0,-889371000.0
Sale Of PPE,9200000.0,3771000.0,3238000.0,5906000.0
Purchase Of PPE,-1253600000.0,-514808000.0,-581392000.0,-895277000.0
Operating Cash Flow,10597800000.0,25467044000.0,26566786000.0,-4258810000.0
Taxes Refund Paid,-2803700000.0,-214562000.0,-2089966000.0,-1115047000.0
Change In Working Capital,-2589900000.0,19255022000.0,18844185000.0,-10583903000.0
Change In Other Current Liabilities,1960900000.0,1300217000.0,1006277000.0,462905000.0
Change In Other Current Assets,-1065200000.0,-618150000.0,272845000.0,-359550000.0
Other Non Cash Items,147000000.0,-23888000.0,213074000.0,45566000.0
Stock Based Compensation,90200000.0,-15277000.0,223041000.0,293933000.0
Provisionand Write Offof Assets,175700000.0,11178459000.0,7989623000.0,1710089000.0
Depreciation And Amortization,902800000.0,804430000.0,768006000.0,726290000.0
Depreciation,902800000.0,804430000.0,768006000.0,726290000.0
Gain Loss On Investment Securities,0.0,-36929000.0,509157000.0,0.0
Gain Loss On Sale Of PPE,6700000.0,19970000.0,7691000.0,1865000.0
Net Income From Continuing Operations,14672400000.0,-5503585000.0,101975000.0,4662397000.0
