,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,1034120060.0,1100058570.0,1177800000.0
Tax Rate For Calcs,0.3159,0.3238,0.3231,0.3
Normalized EBITDA,111269600000.0,116454700000.0,117102400000.0,94745500000.0
Total Unusual Items,1304500000.0,3193700000.0,3404700000.0,3926000000.0
Total Unusual Items Excluding Goodwill,1304500000.0,3193700000.0,3404700000.0,3926000000.0
Net Income From Continuing Operation Net Minority Interest,50639600000.0,71843900000.0,53201900000.0,58148400000.0
Reconciled Depreciation,28879900000.0,27147500000.0,27002300000.0,27021600000.0
Reconciled Cost Of Revenue,97149600000.0,107962900000.0,93094600000.0,84641900000.0
EBITDA,111269600000.0,119648400000.0,120507100000.0,98671500000.0
EBIT,82389700000.0,92500900000.0,93504800000.0,71649900000.0
Net Interest Income,-8227200000.0,-7354500000.0,-13972100000.0,-18207300000.0
Interest Expense,8227200000.0,8856900000.0,14928400000.0,19226900000.0
Interest Income,2724500000.0,1637000000.0,1007600000.0,1097300000.0
Normalized Income,50639600000.0,69684320060.0,50897258570.0,55400200000.0
Net Income From Continuing And Discontinued Operation,50639600000.0,73443100000.0,54631000000.0,58148400000.0
Total Expenses,555081200000.0,428710400000.0,353952600000.0,349167100000.0
Rent Expense Supplemental,1944100000.0,1546100000.0,1273900000.0,1442600000.0
Diluted Average Shares,288480570.0,288547584.0,288552537.0,288502526.0
Basic Average Shares,288326723.0,288424921.0,288448714.0,288417019.0
Diluted EPS,175.54,254.53,189.33,199.49
Basic EPS,175.63,254.64,189.4,199.55
Diluted NI Availto Com Stockholders,50639600000.0,73443100000.0,54631000000.0,58148400000.0
Net Income Common Stockholders,50639600000.0,73443100000.0,54631000000.0,58148400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,50639600000.0,73443100000.0,54631000000.0,58148400000.0
Minority Interests,-94400000.0,100500000.0,12500000.0,43800000.0
Net Income Including Noncontrolling Interests,50734000000.0,73342600000.0,54618500000.0,58104600000.0
Net Income Discontinuous Operations,0.0,1599200000.0,1429100000.0,0.0
Net Income Continuous Operations,50734000000.0,71743400000.0,53189400000.0,58104600000.0
Tax Provision,23428500000.0,11900600000.0,25387000000.0,-5681600000.0
Pretax Income,74162500000.0,83644000000.0,78576400000.0,52423000000.0
Other Non Operating Income Expenses,5030800000.0,523000000.0,311600000.0,510900000.0
Special Income Charges,328300000.0,305500000.0,-2331800000.0,218500000.0
Other Special Charges,-328300000.0,-305500000.0,1364400000.0,-218500000.0
Write Off,0.0,0.0,967400000.0,0.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-8227200000.0,-7354500000.0,-13972100000.0,-18207300000.0
Total Other Finance Cost,62300000.0,134600000.0,51300000.0,77700000.0
Interest Expense Non Operating,8227200000.0,8856900000.0,14928400000.0,19226900000.0
Interest Income Non Operating,2724500000.0,1637000000.0,1007600000.0,1097300000.0
Operating Income,77318600000.0,88368100000.0,88440700000.0,65592300000.0
Operating Expense,457931600000.0,320747500000.0,260858000000.0,264525200000.0
Other Operating Expenses,261570400000.0,145626500000.0,103532200000.0,108254300000.0
Depreciation And Amortization In Income Statement,28879900000.0,27147500000.0,27002300000.0,27021600000.0
Amortization,1949200000.0,1727100000.0,1517800000.0,2163600000.0
Depreciation Income Statement,28879900000.0,25420400000.0,25484500000.0,24858000000.0
Selling General And Administration,140091600000.0,129597600000.0,109777800000.0,107927100000.0
Selling And Marketing Expense,140091600000.0,128310300000.0,108555400000.0,107038900000.0
General And Administrative Expense,1738400000.0,1287300000.0,1222400000.0,888200000.0
Rent And Landing Fees,1944100000.0,1546100000.0,1273900000.0,1442600000.0
Gross Profit,535250200000.0,409115600000.0,349298700000.0,330117500000.0
Cost Of Revenue,97149600000.0,107962900000.0,93094600000.0,84641900000.0
Total Revenue,632399800000.0,517078500000.0,442393300000.0,414759400000.0
Operating Revenue,632399800000.0,517078500000.0,442393300000.0,414759400000.0
