,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6834747466.0,6834747466.0,6406844355.0,3422818852.0
Share Issued,6834747466.0,6834747466.0,6406844355.0,3422818852.0
Total Debt,427366000000.0,397252201000.0,400162646000.0,536232381000.0
Tangible Book Value,786995100000.0,705156663000.0,643334302000.0,338043913000.0
Invested Capital,1214361100000.0,1104823415000.0,1046500389000.0,875086370000.0
Net Tangible Assets,788035100000.0,706196698000.0,644374337000.0,339083948000.0
Common Stock Equity,786995100000.0,707571214000.0,646337743000.0,338853989000.0
Preferred Stock Equity,1040000000.0,1040035000.0,1040035000.0,1040035000.0
Total Capitalization,1215401100000.0,1105863450000.0,1047540424000.0,876126405000.0
Total Equity Gross Minority Interest,788035100000.0,708611249000.0,647377778000.0,339894024000.0
Minority Interest,0.0,0.0,0.0,0.0
Stockholders Equity,788035100000.0,708611249000.0,647377778000.0,339894024000.0
Fixed Assets Revaluation Reserve,61324225000.0,47570740000.0,48984777000.0,31741463000.0
Retained Earnings,5832043000.0,35000.0,35000.0,-116734870000.0
Additional Paid In Capital,184259433000.0,183958235000.0,173785078000.0,252776848000.0
Capital Stock,69387500000.0,69387510000.0,65108479000.0,35268224000.0
Common Stock,68347500000.0,68347475000.0,64068444000.0,34228189000.0
Preferred Stock,1040000000.0,1040035000.0,1040035000.0,1040035000.0
Total Liabilities Net Minority Interest,12095536000000.0,11229044850000.0,10176396169000.0,5215196495000.0
Long Term Debt And Capital Lease Obligation,427366000000.0,397252201000.0,400162646000.0,536232381000.0
Payables,60343341000.0,45494112000.0,31807505000.0,18768475000.0
Accounts Payable,60343341000.0,45494112000.0,31807505000.0,18768475000.0
Total Assets,12883571100000.0,11937656099000.0,10823773947000.0,5555090519000.0
Investments And Advances,3437269600000.0,3518390437000.0,3390585059000.0,1542514859000.0
Investmentin Financial Assets,3437269600000.0,3515701491000.0,3388464299000.0,1541181815000.0
Available For Sale Securities,111088502000.0,100544011000.0,134176368000.0,86698811000.0
Long Term Equity Investment,3502148000.0,2688946000.0,2120760000.0,1333044000.0
Goodwill And Other Intangible Assets,1918889000.0,2414551000.0,3003441000.0,810076000.0
Other Intangible Assets,1918889000.0,2414551000.0,3003441000.0,685134000.0
Goodwill,0.0,0.0,0.0,124942000.0
Net PPE,88479700000.0,69668544000.0,70660761000.0,47069858000.0
Accumulated Depreciation,-88309869000.0,-83511262000.0,-78327684000.0,-34300953000.0
Gross PPE,174870735000.0,153179806000.0,148988445000.0,81370811000.0
Construction In Progress,221629000.0,370133000.0,633276000.0,543115000.0
Other Properties,171014138000.0,150311037000.0,147109486000.0,80085438000.0
Land And Improvements,3634968000.0,2498636000.0,1245683000.0,742258000.0
Properties,0.0,0.0,0.0,49187927000.0
Receivables,124891415000.0,116499843000.0,102833521000.0,53865654000.0
Taxes Receivable,112690993000.0,83808019000.0,78369234000.0,15113899000.0
Cash And Cash Equivalents,1125988700000.0,1197582209000.0,847633374000.0,552487981000.0
Cash Equivalents,313803615000.0,555366787000.0,296998740000.0,200000000000.0
Cash Financial,28416340000.0,37848706000.0,37864974000.0,20049833000.0
