,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,30458800000.0,355893500000.0,198083600000.0,-80751300000.0
Repayment Of Debt,-87525400000.0,-76770400000.0,-209690600000.0,-11996200000.0
Issuance Of Debt,9830000000.0,70000000000.0,37050000000.0,106380900000.0
Issuance Of Capital Stock,0.0,14420900000.0,0.0,117560100000.0
Capital Expenditure,-30655500000.0,-7495300000.0,-7189800000.0,-3938400000.0
End Cash Position,1126544500000.0,1197582200000.0,847633400000.0,552488000000.0
Other Cash Adjustment Outside Changein Cash,100000.0,-100000.0,281202200000.0,-100000.0
Beginning Cash Position,1197582200000.0,847633400000.0,555775300000.0,431630800000.0
Changes In Cash,-71037800000.0,349948900000.0,10655900000.0,120857300000.0
Financing Cash Flow,-106541600000.0,-7862800000.0,-188606600000.0,201442300000.0
Interest Paid Cff,-15860100000.0,-15513300000.0,-15966000000.0,-10502500000.0
Cash Dividends Paid,-12986100000.0,0.0,0.0,0.0
Common Stock Dividend Paid,-12986100000.0,0.0,0.0,0.0
Net Preferred Stock Issuance,0.0,0.0,0.0,0.0
Preferred Stock Issuance,0.0,0.0,0.0,0.0
Net Common Stock Issuance,0.0,14420900000.0,0.0,117560100000.0
Common Stock Issuance,0.0,14420900000.0,0.0,117560100000.0
Net Issuance Payments Of Debt,-77695400000.0,-6770400000.0,-172640600000.0,94384700000.0
Net Long Term Debt Issuance,-77695400000.0,-6770400000.0,-172640600000.0,94384700000.0
Long Term Debt Payments,-87525400000.0,-76770400000.0,-209690600000.0,-11996200000.0
Long Term Debt Issuance,9830000000.0,70000000000.0,37050000000.0,106380900000.0
Investing Cash Flow,-25610500000.0,-5577100000.0,-6010900000.0,-3772100000.0
Net Investment Purchase And Sale,-1783000000.0,-1160600000.0,0.0,0.0
Net Business Purchase And Sale,-1783000000.0,-1160600000.0,0.0,0.0
Net PPE Purchase And Sale,-23827500000.0,-4416500000.0,-6010900000.0,-3772100000.0
Sale Of PPE,6828000000.0,3078800000.0,1178900000.0,166300000.0
Purchase Of PPE,-30655500000.0,-7495300000.0,-7189800000.0,-3938400000.0
Operating Cash Flow,61114300000.0,363388800000.0,205273400000.0,-76812900000.0
Taxes Refund Paid,-32775200000.0,-5438800000.0,-2286400000.0,13189000000.0
Change In Working Capital,-177697500000.0,120285200000.0,-27202700000.0,-196749400000.0
Change In Other Current Liabilities,115160300000.0,-55514600000.0,62659200000.0,9764000000.0
Change In Other Current Assets,-77442700000.0,34511600000.0,-58495700000.0,13488700000.0
Other Non Cash Items,10167300000.0,15513300000.0,15966000000.0,5822000000.0
Provisionand Write Offof Assets,114963100000.0,131061700000.0,164632000000.0,134461200000.0
Depreciation And Amortization,7445700000.0,7380900000.0,9081500000.0,4172000000.0
Depreciation,7445700000.0,7380900000.0,9081500000.0,4172000000.0
Gain Loss On Sale Of PPE,-14900000.0,3500000.0,-205900000.0,39400000.0
Net Income From Continuing Operations,121464700000.0,85663400000.0,23267672000.0,-42312800000.0
