,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,115767000000.0,90644000000.0,127973000000.0,77146000000.0
Repurchase Of Capital Stock,0.0,0.0,-95199000000.0,-105311000000.0
Repayment Of Debt,-178621000000.0,-201540000000.0,-105866000000.0,-139164000000.0
Issuance Of Debt,161034000000.0,260120000000.0,103418000000.0,106342000000.0
Issuance Of Capital Stock,12000000.0,6000000.0,6000000.0,14000000.0
Capital Expenditure,-14834000000.0,-20153000000.0,-19577000000.0,-23497000000.0
End Cash Position,91861000000.0,103833000000.0,169663000000.0,144104000000.0
Beginning Cash Position,103833000000.0,169663000000.0,144104000000.0,158525000000.0
Effect Of Exchange Rate Changes,2373000000.0,1282000000.0,-890000000.0,1922000000.0
Changes In Cash,-14345000000.0,-67112000000.0,26449000000.0,-16343000000.0
Financing Cash Flow,-60881000000.0,46586000000.0,-128840000000.0,-150998000000.0
Cash Flow From Continuing Financing Activities,-60881000000.0,46586000000.0,-128840000000.0,-150998000000.0
Net Other Financing Charges,-1784000000.0,-1444000000.0,-22405000000.0,-1415000000.0
Interest Paid Cff,-8708000000.0,-5089000000.0,-3335000000.0,-4601000000.0
Cash Dividends Paid,-32814000000.0,-5467000000.0,-5459000000.0,-6863000000.0
Common Stock Dividend Paid,0.0,-5467000000.0,-5459000000.0,-6863000000.0
Net Common Stock Issuance,12000000.0,6000000.0,-95193000000.0,-105297000000.0
Common Stock Payments,0.0,0.0,-95199000000.0,-105311000000.0
Common Stock Issuance,12000000.0,6000000.0,6000000.0,14000000.0
Net Issuance Payments Of Debt,-17587000000.0,58580000000.0,-2448000000.0,-32822000000.0
Net Long Term Debt Issuance,-17587000000.0,58580000000.0,-2448000000.0,-32822000000.0
Long Term Debt Payments,-178621000000.0,-201540000000.0,-105866000000.0,-139164000000.0
Long Term Debt Issuance,161034000000.0,260120000000.0,103418000000.0,106342000000.0
Investing Cash Flow,-84065000000.0,-224495000000.0,7739000000.0,34012000000.0
Cash Flow From Continuing Investing Activities,-84076000000.0,-224495000000.0,7739000000.0,34012000000.0
Net Other Investing Changes,11000000.0,-27410000000.0,0.0,0.0
Interest Received Cfi,14112000000.0,12275000000.0,19624000000.0,23837000000.0
Dividends Received Cfi,27413000000.0,-27408000000.0,4000000.0,367000000.0
Net Investment Purchase And Sale,-65747000000.0,-61751000000.0,16808000000.0,34579000000.0
Sale Of Investment,740885000000.0,953735000000.0,1189059000000.0,1212826000000.0
Purchase Of Investment,-806632000000.0,-1015486000000.0,-1172251000000.0,-1178247000000.0
Net Business Purchase And Sale,-45566000000.0,-128194000000.0,-9873000000.0,-2544000000.0
Sale Of Business,0.0,1652000000.0,0.0,7459000000.0
Purchase Of Business,-45566000000.0,-129846000000.0,-9873000000.0,-10003000000.0
Net PPE Purchase And Sale,-14288000000.0,-19417000000.0,-18824000000.0,-22227000000.0
Sale Of PPE,546000000.0,736000000.0,753000000.0,1270000000.0
Purchase Of PPE,-14834000000.0,-20153000000.0,-19577000000.0,-23497000000.0
Operating Cash Flow,130601000000.0,110797000000.0,147550000000.0,100643000000.0
Cash Flow From Continuing Operating Activities,130601000000.0,110797000000.0,147550000000.0,100643000000.0
Taxes Refund Paid,-30218000000.0,-25686000000.0,-24915000000.0,-6384000000.0
Change In Working Capital,-14556000000.0,-36488000000.0,22922000000.0,-23856000000.0
Change In Other Working Capital,-6522000000.0,3832000000.0,3704000000.0,-6572000000.0
Change In Other Current Assets,1055000000.0,-6530000000.0,931000000.0,-80000000.0
Change In Payables And Accrued Expense,-9824000000.0,9695000000.0,5698000000.0,-12401000000.0
Change In Payable,-9824000000.0,9695000000.0,5698000000.0,-12401000000.0
Change In Account Payable,-9824000000.0,9695000000.0,5698000000.0,-12401000000.0
Change In Inventory,162000000.0,-256000000.0,803000000.0,2085000000.0
Change In Receivables,573000000.0,-43229000000.0,11786000000.0,-6888000000.0
Changes In Account Receivables,-985000000.0,-11833000000.0,12848000000.0,-3327000000.0
Other Non Cash Items,-9779000000.0,-9748000000.0,-16614000000.0,0.0
Stock Based Compensation,3969000000.0,4110000000.0,2310000000.0,1262000000.0
Deferred Tax,33992000000.0,28946000000.0,30345000000.0,24799000000.0
Deferred Income Tax,33992000000.0,28946000000.0,30345000000.0,24799000000.0
Depreciation Amortization Depletion,33402000000.0,30911000000.0,27656000000.0,20862000000.0
Depreciation And Amortization,33402000000.0,30911000000.0,27656000000.0,20862000000.0
Depreciation,33402000000.0,30911000000.0,27656000000.0,20862000000.0
Operating Gains Losses,126000000.0,-3577000000.0,-2816000000.0,-13753000000.0
Earnings Losses From Equity Investments,57000000.0,-57000000.0,-130000000.0,-29000000.0
Gain Loss On Investment Securities,0.0,0.0,0.0,-18945000000.0
Net Foreign Currency Exchange Gain Loss,152000000.0,-1021000000.0,-2251000000.0,6376000000.0
Gain Loss On Sale Of PPE,-89000000.0,-313000000.0,-516000000.0,-11000000.0
Gain Loss On Sale Of Business,6000000.0,-2186000000.0,81000000.0,-1144000000.0
Net Income From Continuing Operations,113665000000.0,122329000000.0,108662000000.0,97713000000.0
