,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,226465358.0,226201471.0,225620285.0,225416970.0
Share Issued,226465358.0,226201471.0,225620285.0,225416970.0
Total Debt,2730000000.0,3353000000.0,3495500000.0,7502600000.0
Tangible Book Value,21289000000.0,17833000000.0,15977600000.0,12136400000.0
Invested Capital,29762000000.0,26869000000.0,23423200000.0,24215500000.0
Working Capital,14602000000.0,14329000000.0,12543200000.0,10182200000.0
Net Tangible Assets,21289000000.0,17833000000.0,15977600000.0,12136400000.0
Capital Lease Obligations,2730000000.0,3353000000.0,3495500000.0,4187000000.0
Common Stock Equity,29762000000.0,26869000000.0,23423200000.0,20899900000.0
Total Capitalization,29762000000.0,26869000000.0,23423200000.0,21553600000.0
Total Equity Gross Minority Interest,29762000000.0,26869000000.0,23710600000.0,21136900000.0
Minority Interest,0.0,0.0,287400000.0,237000000.0
Stockholders Equity,29762000000.0,26869000000.0,23423200000.0,20899900000.0
Other Equity Interest,206000000.0,224000000.0,148900000.0,340000000.0
Retained Earnings,16693000000.0,14172000000.0,11312700000.0,8598000000.0
Additional Paid In Capital,506000000.0,461000000.0,346000000.0,325400000.0
Capital Stock,453000000.0,452000000.0,451200000.0,450800000.0
Common Stock,453000000.0,452000000.0,451200000.0,450800000.0
Total Liabilities Net Minority Interest,11448000000.0,11843000000.0,10623100000.0,14818600000.0
Total Non Current Liabilities Net Minority Interest,2866000000.0,3544000000.0,3238700000.0,4424600000.0
Other Non Current Liabilities,0.0,0.0,146000000.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,497000000.0,558000000.0,512500000.0,155400000.0
Non Current Accrued Expenses,72000000.0,22000000.0,9700000.0,74000000.0
Tradeand Other Payables Non Current,0.0,283000000.0,0.0,385900000.0
Long Term Debt And Capital Lease Obligation,1904000000.0,2348000000.0,2538800000.0,3783000000.0
Long Term Capital Lease Obligation,1904000000.0,2348000000.0,2538800000.0,3129300000.0
Long Term Debt,0.0,0.0,0.0,653700000.0
Long Term Provisions,42000000.0,37000000.0,31700000.0,26300000.0
Current Liabilities,8582000000.0,8299000000.0,7384400000.0,10394000000.0
Other Current Liabilities,537000000.0,1211000000.0,1142600000.0,22400000.0
Current Debt And Capital Lease Obligation,826000000.0,1005000000.0,956700000.0,3719600000.0
Current Capital Lease Obligation,826000000.0,1005000000.0,956700000.0,1057700000.0
Current Debt,0.0,0.0,0.0,2661900000.0
Pensionand Other Post Retirement Benefit Plans Current,506000000.0,395000000.0,362000000.0,832500000.0
Payables,4233000000.0,4777000000.0,3926600000.0,3801800000.0
Other Payable,922000000.0,1276000000.0,1407800000.0,634200000.0
Dividends Payable,23000000.0,23000000.0,67700000.0,26900000.0
Total Tax Payable,516000000.0,314000000.0,249800000.0,491000000.0
Accounts Payable,2772000000.0,3164000000.0,2201300000.0,2649700000.0
Total Assets,41210000000.0,38712000000.0,34333700000.0,35955500000.0
Total Non Current Assets,18026000000.0,16084000000.0,14406100000.0,15379300000.0
Other Non Current Assets,67000000.0,68000000.0,-400000.0,0.0
Non Current Prepaid Assets,215000000.0,256000000.0,236200000.0,447600000.0
Non Current Deferred Taxes Assets,958000000.0,539000000.0,491600000.0,496600000.0
Investmentin Financial Assets,4791000000.0,1605000000.0,1539700000.0,114200000.0
Available For Sale Securities,3606000000.0,1862000000.0,1845700000.0,114200000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1185000000.0,1605000000.0,1539700000.0,0.0
Goodwill And Other Intangible Assets,8473000000.0,9036000000.0,7445600000.0,8763500000.0
Other Intangible Assets,1019000000.0,1797000000.0,1675400000.0,2297700000.0
Goodwill,7454000000.0,7239000000.0,5770200000.0,6465800000.0
Net PPE,3262000000.0,3822000000.0,3885200000.0,4576900000.0
Accumulated Depreciation,-2045000000.0,-2015000000.0,-1606500000.0,-2171000000.0
Gross PPE,5307000000.0,5837000000.0,5491700000.0,6747900000.0
Construction In Progress,0.0,12000000.0,600000.0,18000000.0
Other Properties,172000000.0,155000000.0,148900000.0,144100000.0
Machinery Furniture Equipment,2041000000.0,2229000000.0,1710400000.0,1876800000.0
Buildings And Improvements,3075000000.0,3421000000.0,3612000000.0,4688700000.0
Land And Improvements,19000000.0,20000000.0,19800000.0,20300000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,23184000000.0,22628000000.0,19927600000.0,20576200000.0
Other Current Assets,184000000.0,95000000.0,110000000.0,10000000.0
Hedging Assets Current,110000000.0,44000000.0,66200000.0,125500000.0
Restricted Cash,64000000.0,60000000.0,81800000.0,26900000.0
Prepaid Assets,503000000.0,607000000.0,504300000.0,850300000.0
Inventory,0.0,0.0,0.0,941200000.0
Raw Materials,0.0,0.0,0.0,941200000.0
Other Receivables,3200000000.0,3354000000.0,2484100000.0,3892300000.0
Accounts Receivable,7300000000.0,7995000000.0,5918700000.0,6658600000.0
Allowance For Doubtful Accounts Receivable,-233000000.0,-230000000.0,-325600000.0,-889400000.0
Gross Accounts Receivable,7533000000.0,8225000000.0,6244300000.0,7548000000.0
Cash Cash Equivalents And Short Term Investments,11771000000.0,10237000000.0,10576900000.0,7811600000.0
Other Short Term Investments,7027000000.0,5183000000.0,7084800000.0,2928200000.0
Cash And Cash Equivalents,4744000000.0,5054000000.0,3492100000.0,4883400000.0
Cash Equivalents,1814000000.0,1476000000.0,870000000.0,183700000.0
Cash Financial,2930000000.0,3578000000.0,2622100000.0,4699700000.0
