,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-796376.9378,-300600249.4572,-96595960.5098
Tax Rate For Calcs,0.2623,0.2654,0.2909,0.2772
Normalized EBITDA,6550000000.0,7939000000.0,7534500000.0,6214900000.0
Total Unusual Items,145000000.0,-3000000.0,-1033200000.0,-348400000.0
Total Unusual Items Excluding Goodwill,145000000.0,-3000000.0,-1033200000.0,-348400000.0
Net Income From Continuing Operation Net Minority Interest,3276000000.0,4163000000.0,3000300000.0,2634200000.0
Reconciled Depreciation,1830000000.0,1848000000.0,1747100000.0,1591800000.0
Reconciled Cost Of Revenue,39607000000.0,31460000000.0,26958200000.0,32102400000.0
EBITDA,6550000000.0,7936000000.0,6501300000.0,5866500000.0
EBIT,4720000000.0,6088000000.0,4754200000.0,4274700000.0
Net Interest Income,-279000000.0,-119000000.0,-396700000.0,-553800000.0
Interest Expense,279000000.0,347000000.0,424800000.0,516800000.0
Interest Income,407000000.0,247000000.0,138600000.0,51300000.0
Normalized Income,3276000000.0,4165203623.0621,3732899750.5428,2886004039.4901
Net Income From Continuing And Discontinued Operation,3276000000.0,4163000000.0,3000300000.0,2634200000.0
Total Expenses,44790000000.0,37171000000.0,32008600000.0,37618400000.0
Rent Expense Supplemental,101000000.0,85000000.0,182600000.0,311300000.0
Diluted Average Shares,227515631.0,227877009.0,227610716.0,228385916.0
Basic Average Shares,226356924.0,225879925.0,225458848.0,225268893.0
Diluted EPS,14.4,18.27,13.18,11.53
Basic EPS,14.47,18.43,13.31,11.69
Diluted NI Availto Com Stockholders,3276000000.0,4163000000.0,3000300000.0,2634200000.0
Net Income Common Stockholders,3276000000.0,4163000000.0,3000300000.0,2634200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3276000000.0,4163000000.0,3000300000.0,2634200000.0
Minority Interests,0.0,-54000000.0,-69500000.0,-81800000.0
Net Income Including Noncontrolling Interests,3276000000.0,4217000000.0,3069800000.0,2716000000.0
Net Income Continuous Operations,3276000000.0,4217000000.0,3069800000.0,2716000000.0
Tax Provision,1165000000.0,1524000000.0,1259600000.0,1041900000.0
Pretax Income,4441000000.0,5741000000.0,4329400000.0,3757900000.0
Other Non Operating Income Expenses,1028000000.0,127000000.0,66100000.0,13300000.0
Special Income Charges,11000000.0,-75000000.0,-1137100000.0,-461000000.0
Other Special Charges,-21000000.0,1000000.0,493700000.0,-500000.0
Write Off,10000000.0,74000000.0,624100000.0,435700000.0
Impairment Of Capital Assets,0.0,0.0,19300000.0,25800000.0
Net Non Operating Interest Income Expense,-279000000.0,-119000000.0,-396700000.0,-553800000.0
Total Other Finance Cost,21000000.0,19000000.0,110500000.0,88300000.0
Interest Expense Non Operating,279000000.0,347000000.0,424800000.0,516800000.0
Interest Income Non Operating,407000000.0,247000000.0,138600000.0,51300000.0
Operating Income,3692000000.0,5267000000.0,5805300000.0,4198400000.0
Operating Expense,5183000000.0,5711000000.0,5050400000.0,5516000000.0
Other Operating Expenses,3353000000.0,700000000.0,590800000.0,1948300000.0
Depreciation And Amortization In Income Statement,1830000000.0,1848000000.0,1727800000.0,1566000000.0
Amortization,805000000.0,837000000.0,711700000.0,651100000.0
Depreciation Income Statement,1830000000.0,1011000000.0,1016100000.0,914900000.0
Selling General And Administration,1119000000.0,1034000000.0,1131700000.0,1690400000.0
Selling And Marketing Expense,141000000.0,151000000.0,222300000.0,363100000.0
General And Administrative Expense,978000000.0,883000000.0,909400000.0,1327300000.0
Rent And Landing Fees,101000000.0,85000000.0,182600000.0,311300000.0
Gross Profit,8875000000.0,10978000000.0,10855700000.0,9714400000.0
Cost Of Revenue,39607000000.0,31460000000.0,26958200000.0,32102400000.0
Total Revenue,48482000000.0,42438000000.0,37813900000.0,41816800000.0
Operating Revenue,48482000000.0,42438000000.0,37813900000.0,41816800000.0
