,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,79510000.0,79510000.0,79510000.0,77160060.0
Share Issued,79510000.0,79510000.0,79510000.0,77160060.0
Total Debt,67542000.0,147554000.0,19640000.0,25957000.0
Tangible Book Value,3105415000.0,2768327000.0,1974792000.0,1836171000.0
Invested Capital,3220662000.0,2965293000.0,2062818000.0,1937004000.0
Working Capital,2363879000.0,2042440000.0,1200179000.0,1031660000.0
Net Tangible Assets,3105415000.0,2768327000.0,1974792000.0,1836171000.0
Capital Lease Obligations,8595000.0,12432000.0,859000.0,701000.0
Common Stock Equity,3161715000.0,2830171000.0,2044037000.0,1911748000.0
Total Capitalization,3161715000.0,2872151000.0,2056005000.0,1925468000.0
Total Equity Gross Minority Interest,3302797000.0,2898952000.0,2106573000.0,1977661000.0
Minority Interest,141082000.0,68781000.0,62536000.0,65913000.0
Stockholders Equity,3161715000.0,2830171000.0,2044037000.0,1911748000.0
Other Equity Interest,3082205000.0,772940000.0,0.0,44649000.0
Treasury Stock,96613000.0,0.0,0.0,0.0
Retained Earnings,1761513000.0,1342181000.0,1330282000.0,1331308000.0
Additional Paid In Capital,277155000.0,277155000.0,277155000.0,100909000.0
Capital Stock,79510000.0,79510000.0,79510000.0,77160000.0
Common Stock,79510000.0,79510000.0,79510000.0,77160000.0
Total Liabilities Net Minority Interest,1434159000.0,790604000.0,126611000.0,163011000.0
Total Non Current Liabilities Net Minority Interest,32638000.0,71003000.0,29438000.0,30098000.0
Other Non Current Liabilities,4000.0,2000.0,-1000.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,0.0,0.0,15677000.0
Non Current Deferred Taxes Liabilities,0.0,0.0,9000.0,0.0
Long Term Debt And Capital Lease Obligation,4338000.0,50499000.0,12827000.0,14421000.0
Long Term Capital Lease Obligation,4338000.0,8519000.0,859000.0,701000.0
Long Term Debt,0.0,41980000.0,11968000.0,13720000.0
Long Term Provisions,28296000.0,20502000.0,16603000.0,15677000.0
Current Liabilities,1401521000.0,719601000.0,97173000.0,132913000.0
Other Current Liabilities,1093910000.0,2000.0,48312000.0,0.0
Current Deferred Taxes Liabilities,0.0,9162000.0,289000.0,10095000.0
Current Debt And Capital Lease Obligation,63204000.0,97055000.0,6813000.0,11536000.0
Current Capital Lease Obligation,4257000.0,3913000.0,0.0,0.0
Current Debt,58947000.0,93142000.0,6813000.0,11536000.0
Pensionand Other Post Retirement Benefit Plans Current,0.0,0.0,8412000.0,6872000.0
Current Provisions,83613000.0,11260000.0,8968000.0,2043000.0
Payables,67344000.0,59580000.0,41144000.0,83522000.0
Other Payable,41462000.0,3019000.0,3941000.0,16780000.0
Dividends Payable,710000.0,808000.0,842000.0,662000.0
Total Tax Payable,0.0,16436000.0,4412000.0,20674000.0
Accounts Payable,67344000.0,39317000.0,31949000.0,45406000.0
Total Assets,4736956000.0,3689556000.0,2233184000.0,2140672000.0
Total Non Current Assets,971556000.0,927516000.0,935833000.0,976099000.0
Other Non Current Assets,7353000.0,5184000.0,-2000.0,-1000.0
Non Current Prepaid Assets,31785000.0,10269000.0,8227000.0,18868000.0
Non Current Deferred Taxes Assets,140547000.0,202109000.0,205679000.0,203632000.0
Other Investments,22422000.0,22422000.0,22422000.0,22422000.0
Investmentin Financial Assets,52039000.0,27247000.0,27442000.0,0.0
Available For Sale Securities,52039000.0,27247000.0,27442000.0,0.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Investmentsin Associatesat Cost,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,56300000.0,61844000.0,69245000.0,75577000.0
Other Intangible Assets,44720000.0,50264000.0,57665000.0,63997000.0
Goodwill,11580000.0,11580000.0,11580000.0,11580000.0
Net PPE,715317000.0,625688000.0,626503000.0,649884000.0
Accumulated Depreciation,-384797000.0,-333530000.0,-295436000.0,-253327000.0
Gross PPE,715317000.0,959218000.0,921939000.0,903211000.0
Construction In Progress,19173000.0,25228000.0,0.0,0.0
Other Properties,696144000.0,62556000.0,52675000.0,51791000.0
Machinery Furniture Equipment,286158000.0,251299000.0,237886000.0,230032000.0
Buildings And Improvements,556431000.0,555240000.0,556559000.0,546569000.0
Land And Improvements,64895000.0,64895000.0,74819000.0,74819000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3765400000.0,2762041000.0,1297352000.0,1164573000.0
Other Current Assets,189583000.0,1478000.0,48112000.0,3385000.0
Restricted Cash,710000.0,808000.0,842000.0,662000.0
Prepaid Assets,189585000.0,149109000.0,48112000.0,135153000.0
Inventory,489996000.0,249511000.0,146859000.0,140435000.0
Other Inventories,0.0,-1000.0,60453000.0,42089000.0
Finished Goods,28517000.0,70386000.0,0.0,36905000.0
Work In Process,336700000.0,119056000.0,19674000.0,23913000.0
Raw Materials,124779000.0,60070000.0,66732000.0,74433000.0
Other Receivables,104352000.0,111210000.0,92206000.0,62633000.0
Taxes Receivable,8866000.0,20528000.0,0.0,0.0
Accounts Receivable,853924000.0,316872000.0,186045000.0,465094000.0
Allowance For Doubtful Accounts Receivable,-4602000.0,-719000.0,0.0,0.0
Gross Accounts Receivable,858526000.0,317591000.0,0.0,0.0
Cash Cash Equivalents And Short Term Investments,2223031000.0,1912525000.0,823288000.0,357211000.0
Other Short Term Investments,1120495000.0,1702046000.0,607848000.0,189245000.0
Cash And Cash Equivalents,1102536000.0,210479000.0,215440000.0,167966000.0
Cash Equivalents,164642000.0,96244000.0,76000000.0,56000000.0
Cash Financial,937893000.0,114235000.0,139440000.0,111966000.0
