,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,6067037.8911,-921461.4616,0.0,-337500.0
Tax Rate For Calcs,0.3033,0.2099,0.1383,0.3
Normalized EBITDA,798586000.0,90550000.0,94332000.0,639699000.0
Total Unusual Items,20000000.0,-4389000.0,0.0,-1125000.0
Total Unusual Items Excluding Goodwill,20000000.0,-4389000.0,0.0,-1125000.0
Net Income From Continuing Operation Net Minority Interest,427381000.0,19851000.0,31114000.0,587688000.0
Reconciled Depreciation,60565000.0,48335000.0,49522000.0,45678000.0
Reconciled Cost Of Revenue,1082131000.0,381950000.0,335273000.0,628561000.0
EBITDA,818586000.0,86161000.0,94332000.0,638574000.0
EBIT,758021000.0,37825000.0,44810000.0,592896000.0
Net Interest Income,-40755000.0,27734000.0,14490000.0,-24573000.0
Interest Expense,40755000.0,4793000.0,1197000.0,25677000.0
Interest Income,64224000.0,43039000.0,25405000.0,8925000.0
Normalized Income,413448037.8911,23318538.5383,31114000.0,588475500.0
Net Income From Continuing And Discontinued Operation,427381000.0,19851000.0,31114000.0,587688000.0
Total Expenses,1522913000.0,698581000.0,522085000.0,910200000.0
Rent Expense Supplemental,18790000.0,5383000.0,3862000.0,3884000.0
Diluted Average Shares,83313261.0,80864876.0,79510000.0,77160060.0
Basic Average Shares,79248634.0,79510000.0,79510000.0,77160060.0
Diluted EPS,5.2,0.25,0.39,7.62
Basic EPS,5.39,0.25,0.39,7.62
Diluted NI Availto Com Stockholders,427381000.0,19851000.0,31114000.0,587688000.0
Net Income Common Stockholders,427381000.0,19851000.0,31114000.0,587688000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,427381000.0,19851000.0,31114000.0,587688000.0
Minority Interests,-72300000.0,-6245000.0,3377000.0,1348000.0
Net Income Including Noncontrolling Interests,499682000.0,26096000.0,27737000.0,586340000.0
Net Income Continuous Operations,499682000.0,26096000.0,27737000.0,586340000.0
Tax Provision,217584000.0,6935000.0,15876000.0,-19121000.0
Pretax Income,717266000.0,33032000.0,43613000.0,567219000.0
Other Non Operating Income Expenses,72474000.0,5768000.0,3144000.0,5277000.0
Special Income Charges,20000000.0,-4389000.0,0.0,-1125000.0
Other Special Charges,-20093000.0,2796000.0,0.0,1125000.0
Write Off,327000.0,1593000.0,0.0,0.0
Net Non Operating Interest Income Expense,-40755000.0,27734000.0,14490000.0,-24573000.0
Total Other Finance Cost,13950000.0,10512000.0,9718000.0,7821000.0
Interest Expense Non Operating,40755000.0,4793000.0,1197000.0,25677000.0
Interest Income Non Operating,64224000.0,43039000.0,25405000.0,8925000.0
Operating Income,665549000.0,-1057000.0,24311000.0,582658000.0
Operating Expense,440782000.0,316631000.0,186812000.0,281639000.0
Other Operating Expenses,440782000.0,74834000.0,34190000.0,56044000.0
Depreciation And Amortization In Income Statement,60566000.0,48336000.0,49522000.0,45678000.0
Amortization,6960000.0,0.0,0.0,6255000.0
Depreciation Income Statement,53606000.0,48336000.0,49522000.0,39423000.0
Research And Development,0.0,40955000.0,42848000.0,54133000.0
Selling General And Administration,184150000.0,145998000.0,105912000.0,122981000.0
Selling And Marketing Expense,108634000.0,53920000.0,43705000.0,40050000.0
General And Administrative Expense,75516000.0,92078000.0,62207000.0,82931000.0
Rent And Landing Fees,18790000.0,5383000.0,3862000.0,3884000.0
Gross Profit,1106331000.0,315574000.0,211123000.0,864297000.0
Cost Of Revenue,1082131000.0,381950000.0,335273000.0,628561000.0
Total Revenue,2188462000.0,697524000.0,546396000.0,1492858000.0
Operating Revenue,2188462000.0,697524000.0,546396000.0,1492858000.0
