,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,298549134.0,279006573.0,269590777.0,264812014.0
Ordinary Shares Number,516345490.0,535888051.0,545303847.0,550082610.0
Share Issued,814894624.0,814894624.0,814894624.0,814894624.0
Net Debt,29989000000.0,28535000000.0,37163000000.0,37657000000.0
Total Debt,36993000000.0,37789000000.0,37163000000.0,37657000000.0
Tangible Book Value,9823000000.0,9118000000.0,7629000000.0,6827000000.0
Invested Capital,52862000000.0,54273000000.0,52494000000.0,52245000000.0
Working Capital,12254000000.0,13608000000.0,13747000000.0,12572000000.0
Net Tangible Assets,9823000000.0,9118000000.0,7629000000.0,6827000000.0
Capital Lease Obligations,112000000.0,79000000.0,103000000.0,128000000.0
Common Stock Equity,15869000000.0,16484000000.0,15331000000.0,14588000000.0
Total Capitalization,41583000000.0,42517000000.0,41330000000.0,40869000000.0
Total Equity Gross Minority Interest,15891000000.0,16516000000.0,15378000000.0,14629000000.0
Minority Interest,22000000.0,32000000.0,47000000.0,41000000.0
Stockholders Equity,15869000000.0,16484000000.0,15331000000.0,14588000000.0
Gains Losses Not Affecting Retained Earnings,-2457000000.0,-1553000000.0,-888000000.0,-1567000000.0
Other Equity Adjustments,-2457000000.0,-1553000000.0,-888000000.0,-1567000000.0
Treasury Stock,31748000000.0,27643000000.0,25178000000.0,24217000000.0
Retained Earnings,43514000000.0,39282000000.0,35167000000.0,34437000000.0
Capital Stock,6560000000.0,6398000000.0,6230000000.0,5935000000.0
Common Stock,6560000000.0,6398000000.0,6230000000.0,5935000000.0
Total Liabilities Net Minority Interest,66052000000.0,66277000000.0,62946000000.0,63824000000.0
Total Non Current Liabilities Net Minority Interest,34521000000.0,36430000000.0,37229000000.0,37203000000.0
Other Non Current Liabilities,4604000000.0,4805000000.0,4358000000.0,4323000000.0
Employee Benefits,4203000000.0,5592000000.0,6872000000.0,6599000000.0
Non Current Pension And Other Postretirement Benefit Plans,4203000000.0,5592000000.0,6872000000.0,6599000000.0
Long Term Debt And Capital Lease Obligation,25714000000.0,26033000000.0,25999000000.0,26281000000.0
Long Term Capital Lease Obligation,112000000.0,79000000.0,103000000.0,128000000.0
Long Term Debt,25714000000.0,26033000000.0,25999000000.0,26281000000.0
Current Liabilities,31531000000.0,29847000000.0,25717000000.0,26621000000.0
Other Current Liabilities,2690000000.0,2256000000.0,2017000000.0,2155000000.0
Current Deferred Liabilities,1860000000.0,1087000000.0,1108000000.0,1187000000.0
Current Deferred Revenue,1860000000.0,1087000000.0,1108000000.0,1187000000.0
Current Debt And Capital Lease Obligation,11279000000.0,11756000000.0,11164000000.0,11376000000.0
Current Debt,11279000000.0,11756000000.0,11164000000.0,11376000000.0
Other Current Borrowings,11279000000.0,11756000000.0,11164000000.0,11376000000.0
Commercial Paper,5455000000.0,4896000000.0,1321000000.0,4168000000.0
Current Notes Payable,502000000.0,508000000.0,694000000.0,998000000.0
Payables And Accrued Expenses,15702000000.0,14748000000.0,11428000000.0,11903000000.0
Current Accrued Expenses,6393000000.0,5999000000.0,4738000000.0,5379000000.0
Payables,9309000000.0,8749000000.0,6690000000.0,6524000000.0
Dividends Payable,620000000.0,595000000.0,562000000.0,567000000.0
Accounts Payable,8689000000.0,8154000000.0,6128000000.0,5957000000.0
Total Assets,81943000000.0,82793000000.0,78324000000.0,78453000000.0
Total Non Current Assets,38158000000.0,39338000000.0,38860000000.0,39260000000.0
Other Non Current Assets,4593000000.0,4131000000.0,3827000000.0,3340000000.0
Non Current Deferred Assets,2213000000.0,1840000000.0,1523000000.0,1411000000.0
Non Current Deferred Taxes Assets,2213000000.0,1840000000.0,1523000000.0,1411000000.0
Non Current Accounts Receivable,13278000000.0,13911000000.0,13407000000.0,13844000000.0
Goodwill And Other Intangible Assets,6046000000.0,7366000000.0,7702000000.0,7761000000.0
Other Intangible Assets,758000000.0,1042000000.0,1308000000.0,1565000000.0
Goodwill,5288000000.0,6324000000.0,6394000000.0,6196000000.0
Net PPE,12028000000.0,12090000000.0,12401000000.0,12904000000.0
Accumulated Depreciation,-16036000000.0,-16781000000.0,-16870000000.0,-16313000000.0
Gross PPE,26508000000.0,28871000000.0,29271000000.0,29217000000.0
Construction In Progress,1020000000.0,812000000.0,739000000.0,620000000.0
Other Properties,5568000000.0,5733000000.0,6077000000.0,6208000000.0
Machinery Furniture Equipment,12282000000.0,14565000000.0,14683000000.0,15015000000.0
Buildings And Improvements,7016000000.0,7113000000.0,7091000000.0,6710000000.0
Land And Improvements,622000000.0,648000000.0,681000000.0,664000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,43785000000.0,43455000000.0,39464000000.0,39193000000.0
Other Current Assets,2642000000.0,2788000000.0,1930000000.0,1739000000.0
Prepaid Assets,2642000000.0,2788000000.0,1930000000.0,1739000000.0
Inventory,16270000000.0,14038000000.0,11402000000.0,11266000000.0
Finished Goods,8138000000.0,6907000000.0,6054000000.0,5598000000.0
Work In Process,1452000000.0,1318000000.0,1052000000.0,1147000000.0
Raw Materials,6680000000.0,5813000000.0,4296000000.0,4521000000.0
Receivables,17869000000.0,17375000000.0,16780000000.0,17904000000.0
Other Receivables,0.0,8898000000.0,9463000000.0,9336000000.0
Accounts Receivable,17869000000.0,17375000000.0,16780000000.0,17904000000.0
Cash Cash Equivalents And Short Term Investments,7004000000.0,9254000000.0,9352000000.0,8284000000.0
Cash And Cash Equivalents,7004000000.0,9254000000.0,0.0,0.0
