,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2831,0.2749,0.2538,0.27
Normalized EBITDA,66490000000.0,40251000000.0,12744000000.0,35534000000.0
Net Income From Continuing Operation Net Minority Interest,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Reconciled Depreciation,16300000000.0,17900000000.0,19500000000.0,29200000000.0
Reconciled Cost Of Revenue,161735000000.0,107297000000.0,69996000000.0,109331000000.0
EBITDA,66490000000.0,40251000000.0,12744000000.0,35534000000.0
EBIT,50190000000.0,22351000000.0,-6756000000.0,6334000000.0
Net Interest Income,-516000000.0,-712000000.0,-697000000.0,-798000000.0
Interest Expense,516000000.0,712000000.0,697000000.0,798000000.0
Normalized Income,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Net Income From Continuing And Discontinued Operation,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Total Expenses,196062000000.0,140114000000.0,101448000000.0,140182000000.0
Diluted Average Shares,1940277000.0,1920275000.0,1870027000.0,1895126000.0
Basic Average Shares,1931486000.0,1915989000.0,1870027000.0,1882499000.0
Diluted EPS,18.28,8.14,-2.96,1.54
Basic EPS,18.36,8.15,-2.96,1.55
Diluted NI Availto Com Stockholders,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Net Income Common Stockholders,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Net Income,35465000000.0,15625000000.0,-5543000000.0,2924000000.0
Minority Interests,-143000000.0,-64000000.0,18000000.0,79000000.0
Net Income Including Noncontrolling Interests,35608000000.0,15689000000.0,-5561000000.0,2845000000.0
Net Income Continuous Operations,35608000000.0,15689000000.0,-5561000000.0,2845000000.0
Tax Provision,14066000000.0,5950000000.0,-1892000000.0,2691000000.0
Pretax Income,49674000000.0,21639000000.0,-7453000000.0,5536000000.0
Other Income Expense,10535000000.0,6859000000.0,221000000.0,6651000000.0
Other Non Operating Income Expenses,1950000000.0,1202000000.0,693000000.0,2683000000.0
Earnings From Equity Interest,8585000000.0,5657000000.0,-472000000.0,3968000000.0
Net Non Operating Interest Income Expense,-516000000.0,-712000000.0,-697000000.0,-798000000.0
Interest Expense Non Operating,516000000.0,712000000.0,697000000.0,798000000.0
Operating Income,39655000000.0,15492000000.0,-6977000000.0,-317000000.0
Operating Expense,34327000000.0,32817000000.0,31452000000.0,30851000000.0
Other Operating Expenses,30295000000.0,25977000000.0,26953000000.0,26715000000.0
Other Taxes,4032000000.0,6840000000.0,4499000000.0,4136000000.0
Selling General And Administration,4312000000.0,4014000000.0,4213000000.0,4143000000.0
Gross Profit,73982000000.0,48309000000.0,24475000000.0,30534000000.0
Cost Of Revenue,161735000000.0,107297000000.0,69996000000.0,109331000000.0
Total Revenue,235717000000.0,155606000000.0,94471000000.0,139865000000.0
Operating Revenue,235717000000.0,155606000000.0,94471000000.0,139865000000.0
