,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5417000000.0,4685000000.0,4839000000.0,3960000000.0
Repurchase Of Capital Stock,-2325000000.0,-1000000000.0,-125000000.0,-500000000.0
Repayment Of Debt,-1020000000.0,-2949000000.0,-5247000000.0,-5561000000.0
Issuance Of Debt,1920000000.0,253000000.0,4835000000.0,2287000000.0
Issuance Of Capital Stock,212000000.0,320000000.0,108000000.0,93000000.0
Capital Expenditure,-2058000000.0,-2324000000.0,-1387000000.0,-1970000000.0
End Cash Position,3886000000.0,2988000000.0,5104000000.0,2367000000.0
Other Cash Adjustment Outside Changein Cash,-54000000.0,-45000000.0,-4000000.0,-13000000.0
Beginning Cash Position,3033000000.0,5108000000.0,2380000000.0,2764000000.0
Effect Of Exchange Rate Changes,-237000000.0,-99000000.0,107000000.0,-27000000.0
Changes In Cash,1144000000.0,-1976000000.0,2621000000.0,-357000000.0
Financing Cash Flow,-3361000000.0,-6071000000.0,-2764000000.0,-4095000000.0
Cash From Discontinued Financing Activities,0.0,0.0,0.0,-18000000.0
Cash Flow From Continuing Financing Activities,-3361000000.0,-6071000000.0,-2764000000.0,-4077000000.0
Net Other Financing Charges,-142000000.0,-622000000.0,-264000000.0,1382000000.0
Cash Dividends Paid,-2006000000.0,-2073000000.0,-2071000000.0,-2085000000.0
Common Stock Dividend Paid,-2006000000.0,0.0,-2071000000.0,-2085000000.0
Net Common Stock Issuance,-2113000000.0,-680000000.0,-17000000.0,-407000000.0
Common Stock Payments,-2325000000.0,-1000000000.0,-125000000.0,-500000000.0
Common Stock Issuance,212000000.0,320000000.0,108000000.0,93000000.0
Net Issuance Payments Of Debt,900000000.0,-2696000000.0,-412000000.0,-2967000000.0
Net Short Term Debt Issuance,239000000.0,-34000000.0,-431000000.0,307000000.0
Short Term Debt Payments,-14000000.0,-178000000.0,-594000000.0,0.0
Short Term Debt Issuance,253000000.0,144000000.0,163000000.0,307000000.0
Net Long Term Debt Issuance,661000000.0,-2662000000.0,19000000.0,-3274000000.0
Long Term Debt Payments,-1006000000.0,-2771000000.0,-4653000000.0,-5561000000.0
Long Term Debt Issuance,1667000000.0,109000000.0,4672000000.0,2287000000.0
Investing Cash Flow,-2970000000.0,-2914000000.0,-841000000.0,-2192000000.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,-34000000.0
Cash Flow From Continuing Investing Activities,-2970000000.0,-2914000000.0,-841000000.0,-2158000000.0
Net Other Investing Changes,-50000000.0,-10000000.0,29000000.0,-9000000.0
Dividends Received Cfi,52000000.0,51000000.0,7000000.0,89000000.0
Net Investment Purchase And Sale,-809000000.0,-699000000.0,-86000000.0,277000000.0
Sale Of Investment,747000000.0,759000000.0,1122000000.0,1252000000.0
Purchase Of Investment,-1556000000.0,-1458000000.0,-1208000000.0,-975000000.0
Net Business Purchase And Sale,-137000000.0,0.0,-333000000.0,-638000000.0
Sale Of Business,11000000.0,0.0,0.0,0.0
Purchase Of Business,-148000000.0,0.0,-333000000.0,-638000000.0
Net PPE Purchase And Sale,-203000000.0,-755000000.0,794000000.0,75000000.0
Sale Of PPE,32000000.0,68000000.0,929000000.0,84000000.0
Purchase Of PPE,-235000000.0,-823000000.0,-135000000.0,-9000000.0
Capital Expenditure Reported,-1823000000.0,-1501000000.0,-1252000000.0,-1961000000.0
Operating Cash Flow,7475000000.0,7009000000.0,6226000000.0,5930000000.0
Cash From Discontinued Operating Activities,-11000000.0,-60000000.0,-26000000.0,217000000.0
Cash Flow From Continuing Operating Activities,7486000000.0,7069000000.0,6252000000.0,5713000000.0
Change In Working Capital,-786000000.0,-1447000000.0,1192000000.0,387000000.0
Change In Other Working Capital,-1065000000.0,-5000000.0,590000000.0,-586000000.0
Change In Payables And Accrued Expense,-1255000000.0,2458000000.0,-84000000.0,-948000000.0
Change In Payable,-1255000000.0,2458000000.0,-84000000.0,-948000000.0
Change In Account Payable,-1255000000.0,2458000000.0,-84000000.0,-948000000.0
Change In Inventory,347000000.0,-1768000000.0,515000000.0,668000000.0
Change In Receivables,1187000000.0,-2132000000.0,171000000.0,1253000000.0
Other Non Cash Items,330000000.0,927000000.0,1026000000.0,2972000000.0
Provisionand Write Offof Assets,0.0,278000000.0,258000000.0,-228000000.0
Deferred Tax,79000000.0,278000000.0,258000000.0,-228000000.0
Deferred Income Tax,79000000.0,278000000.0,258000000.0,-228000000.0
Depreciation Amortization Depletion,2758000000.0,2842000000.0,2874000000.0,2938000000.0
Depreciation And Amortization,2758000000.0,2842000000.0,2874000000.0,2938000000.0
Operating Gains Losses,465000000.0,-1936000000.0,-392000000.0,916000000.0
Pension And Employee Benefit Expense,-212000000.0,-1180000000.0,-33000000.0,-117000000.0
Earnings Losses From Equity Investments,696000000.0,-651000000.0,443000000.0,1114000000.0
Net Income From Continuing Operations,4640000000.0,6405000000.0,1294000000.0,-1272000000.0
