,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-28095238.0952,-1281767.9558,-355296475.1327,-1156140000.0
Tax Rate For Calcs,0.2380,0.2136,0.3751,0.27
Normalized EBITDA,9628000000.0,11724000000.0,6719000000.0,6906000000.0
Total Unusual Items,-118000000.0,-6000000.0,-947000000.0,-4282000000.0
Total Unusual Items Excluding Goodwill,-118000000.0,-6000000.0,-947000000.0,-4282000000.0
Net Income From Continuing Operation Net Minority Interest,4582000000.0,6311000000.0,1225000000.0,-1804000000.0
Reconciled Depreciation,2758000000.0,2842000000.0,2874000000.0,2938000000.0
Reconciled Cost Of Revenue,45916000000.0,41737000000.0,30873000000.0,34138000000.0
EBITDA,9510000000.0,11718000000.0,5772000000.0,2624000000.0
EBIT,6752000000.0,8876000000.0,2898000000.0,-314000000.0
Net Interest Income,-489000000.0,-676000000.0,-789000000.0,-852000000.0
Interest Expense,662000000.0,731000000.0,827000000.0,933000000.0
Interest Income,173000000.0,55000000.0,38000000.0,81000000.0
Normalized Income,4671904761.9047,6315718232.0441,1816703524.8672,1321860000.0
Net Income From Continuing And Discontinued Operation,4582000000.0,6311000000.0,1225000000.0,-1359000000.0
Total Expenses,51200000000.0,47081000000.0,35986000000.0,39431000000.0
Diluted Average Shares,725600000.0,749000000.0,742300000.0,742500000.0
Basic Average Shares,721000000.0,743600000.0,740500000.0,742500000.0
Diluted EPS,6.28,8.38,1.64,-1.84
Basic EPS,6.32,8.44,1.64,-1.84
Diluted NI Availto Com Stockholders,4582000000.0,6311000000.0,1225000000.0,-1359000000.0
Net Income Common Stockholders,4582000000.0,6311000000.0,1225000000.0,-1359000000.0
Otherunder Preferred Stock Dividend,0.0,32000000.0,0.0,0.0
Net Income,4582000000.0,6311000000.0,1225000000.0,-1359000000.0
Minority Interests,-58000000.0,-94000000.0,-69000000.0,-87000000.0
Net Income Including Noncontrolling Interests,4640000000.0,6405000000.0,1294000000.0,-1272000000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,445000000.0
Net Income Continuous Operations,4640000000.0,6405000000.0,1294000000.0,-1717000000.0
Tax Provision,1450000000.0,1740000000.0,777000000.0,470000000.0
Pretax Income,6090000000.0,8145000000.0,2071000000.0,-1247000000.0
Other Income Expense,877000000.0,934000000.0,304000000.0,-3915000000.0
Other Non Operating Income Expenses,727000000.0,-35000000.0,1269000000.0,461000000.0
Special Income Charges,-118000000.0,-6000000.0,-947000000.0,-4282000000.0
Gain On Sale Of Ppe,78000000.0,105000000.0,48000000.0,0.0
Gain On Sale Of Business,0.0,16000000.0,717000000.0,0.0
Other Special Charges,8000000.0,520000000.0,149000000.0,0.0
Restructuring And Mergern Acquisition,118000000.0,6000000.0,947000000.0,4282000000.0
Earnings From Equity Interest,268000000.0,975000000.0,-18000000.0,-94000000.0
Gain On Sale Of Security,-117000000.0,-8000000.0,-62000000.0,0.0
Net Non Operating Interest Income Expense,-489000000.0,-676000000.0,-789000000.0,-852000000.0
Interest Expense Non Operating,662000000.0,731000000.0,827000000.0,933000000.0
Interest Income Non Operating,173000000.0,55000000.0,38000000.0,81000000.0
Operating Income,5702000000.0,7887000000.0,2556000000.0,3520000000.0
Operating Expense,2862000000.0,2890000000.0,2640000000.0,2774000000.0
Depreciation Amortization Depletion Income Statement,336000000.0,388000000.0,401000000.0,419000000.0
Depreciation And Amortization In Income Statement,336000000.0,388000000.0,401000000.0,419000000.0
Amortization,336000000.0,388000000.0,401000000.0,419000000.0
Amortization Of Intangibles Income Statement,336000000.0,388000000.0,401000000.0,419000000.0
Research And Development,851000000.0,857000000.0,768000000.0,765000000.0
Selling General And Administration,1675000000.0,1645000000.0,1471000000.0,1590000000.0
General And Administrative Expense,1675000000.0,1645000000.0,1471000000.0,1590000000.0
Other Gand A,1675000000.0,1645000000.0,1471000000.0,1590000000.0
Gross Profit,8564000000.0,10777000000.0,5196000000.0,6294000000.0
Cost Of Revenue,48338000000.0,44191000000.0,33346000000.0,36657000000.0
Total Revenue,56902000000.0,54968000000.0,38542000000.0,42951000000.0
Operating Revenue,56902000000.0,54968000000.0,38542000000.0,42951000000.0
