,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,-106800000.0,-827640000.0,-248000000.0
Tax Rate For Calcs,0.165,0.2,0.242,0.2
Total Unusual Items,-890000000.0,-534000000.0,-3420000000.0,-1240000000.0
Total Unusual Items Excluding Goodwill,-890000000.0,-534000000.0,-3420000000.0,-1240000000.0
Net Income From Continuing Operation Net Minority Interest,11261000000.0,21635000000.0,9459000000.0,8466000000.0
Reconciled Depreciation,2455000000.0,2015000000.0,1902000000.0,1704000000.0
Net Interest Income,7678000000.0,6470000000.0,4751000000.0,4362000000.0
Interest Expense,21346000000.0,5650000000.0,8938000000.0,17376000000.0
Interest Income,29024000000.0,12120000000.0,13689000000.0,21738000000.0
Normalized Income,11261000000.0,22062200000.0,12051360000.0,9458000000.0
Net Income From Continuing And Discontinued Operation,11261000000.0,21635000000.0,9459000000.0,8466000000.0
Diluted Average Shares,358100000.0,352299996.0,360299996.0,375499996.0
Basic Average Shares,352100000.0,346599996.0,356399996.0,371599996.0
Diluted EPS,30.06,59.4500,24.74,21.03
Basic EPS,30.42,60.2500,24.94,21.18
Diluted NI Availto Com Stockholders,10764000000.0,21151000000.0,8915000000.0,7897000000.0
Net Income Common Stockholders,10764000000.0,21151000000.0,8915000000.0,7897000000.0
Preferred Stock Dividends,497000000.0,484000000.0,544000000.0,569000000.0
Net Income,11261000000.0,21635000000.0,9459000000.0,8466000000.0
Net Income Including Noncontrolling Interests,11261000000.0,21635000000.0,9459000000.0,8466000000.0
Net Income Continuous Operations,11261000000.0,21635000000.0,9459000000.0,8466000000.0
Tax Provision,2225000000.0,5409000000.0,3020000000.0,2117000000.0
Pretax Income,13486000000.0,27044000000.0,12479000000.0,10583000000.0
Special Income Charges,-890000000.0,-534000000.0,-3420000000.0,-1240000000.0
Other Special Charges,576000000.0,534000000.0,3420000000.0,1240000000.0
Impairment Of Capital Assets,314000000.0,143000000.0,171000000.0,0.0
Gain On Sale Of Security,0.0,0.0,0.0,0.0
Depreciation Amortization Depletion Income Statement,2455000000.0,2015000000.0,1902000000.0,1704000000.0
Depreciation And Amortization In Income Statement,2455000000.0,2015000000.0,1902000000.0,1704000000.0
Selling General And Administration,15960000000.0,18272000000.0,13710000000.0,13092000000.0
Selling And Marketing Expense,812000000.0,553000000.0,401000000.0,739000000.0
General And Administrative Expense,15148000000.0,17719000000.0,13309000000.0,12353000000.0
Other Gand A,0.0,0.0,1347000000.0,1167000000.0
Salaries And Wages,15148000000.0,17719000000.0,13309000000.0,12353000000.0
Total Revenue,47365000000.0,59339000000.0,40419000000.0,33294000000.0
Operating Revenue,47365000000.0,59339000000.0,40419000000.0,33294000000.0
