,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Treasury Shares Number,778000000.0,757000000.0,712000000.0,709000000.0
Ordinary Shares Number,1016000000.0,1035000000.0,1077000000.0,1077000000.0
Share Issued,1794000000.0,1792000000.0,1789000000.0,1786000000.0
Net Debt,40436000000.0,37743000000.0,29343000000.0,29350000000.0
Total Debt,50364000000.0,46269000000.0,43422000000.0,37377000000.0
Tangible Book Value,-5882000000.0,-9145000000.0,-3827000000.0,-5370000000.0
Invested Capital,43193000000.0,40086000000.0,37238000000.0,31483000000.0
Working Capital,9361000000.0,362000000.0,5311000000.0,1435000000.0
Net Tangible Assets,-5882000000.0,-9145000000.0,-3827000000.0,-5370000000.0
Capital Lease Obligations,7171000000.0,6183000000.0,6184000000.0,5894000000.0
Common Stock Equity,1562000000.0,-1696000000.0,3299000000.0,-3116000000.0
Total Capitalization,43524000000.0,34908000000.0,39121000000.0,25554000000.0
Total Equity Gross Minority Interest,1562000000.0,-1696000000.0,3299000000.0,-3116000000.0
Stockholders Equity,1562000000.0,-1696000000.0,3299000000.0,-3116000000.0
Gains Losses Not Affecting Retained Earnings,-718000000.0,-704000000.0,-671000000.0,-739000000.0
Treasury Stock,87298000000.0,80794000000.0,65793000000.0,65196000000.0
Retained Earnings,76896000000.0,67580000000.0,58134000000.0,51729000000.0
Additional Paid In Capital,12592000000.0,12132000000.0,11540000000.0,11001000000.0
Capital Stock,90000000.0,90000000.0,89000000.0,89000000.0
Common Stock,90000000.0,90000000.0,89000000.0,89000000.0
Total Liabilities Net Minority Interest,74883000000.0,73572000000.0,67282000000.0,54352000000.0
Total Non Current Liabilities Net Minority Interest,51773000000.0,44879000000.0,44116000000.0,35977000000.0
Other Non Current Liabilities,3585000000.0,2922000000.0,2938000000.0,2241000000.0
Non Current Deferred Liabilities,1019000000.0,909000000.0,1131000000.0,706000000.0
Non Current Deferred Taxes Liabilities,1019000000.0,909000000.0,1131000000.0,706000000.0
Long Term Debt And Capital Lease Obligation,48188000000.0,41957000000.0,41178000000.0,33736000000.0
Long Term Capital Lease Obligation,6226000000.0,5353000000.0,5356000000.0,5066000000.0
Long Term Debt,41962000000.0,36604000000.0,35822000000.0,28670000000.0
Current Liabilities,23110000000.0,28693000000.0,23166000000.0,18375000000.0
Other Current Liabilities,7500000000.0,8493000000.0,6853000000.0,5453000000.0
Current Deferred Liabilities,3064000000.0,3596000000.0,2823000000.0,2116000000.0
Current Deferred Revenue,3064000000.0,3596000000.0,2823000000.0,2116000000.0
Current Debt And Capital Lease Obligation,2176000000.0,4312000000.0,2244000000.0,3641000000.0
Current Capital Lease Obligation,945000000.0,830000000.0,828000000.0,828000000.0
Current Debt,1231000000.0,3482000000.0,1416000000.0,2813000000.0
Other Current Borrowings,1231000000.0,3482000000.0,1416000000.0,2813000000.0
Commercial Paper,0.0,1035000000.0,0.0,974000000.0
Payables And Accrued Expenses,13434000000.0,15888000000.0,14069000000.0,9281000000.0
Current Accrued Expenses,1991000000.0,2426000000.0,2463000000.0,1494000000.0
Payables,11443000000.0,13462000000.0,11606000000.0,7787000000.0
Total Tax Payable,578000000.0,1006000000.0,967000000.0,660000000.0
Income Tax Payable,50000000.0,158000000.0,193000000.0,55000000.0
Accounts Payable,11443000000.0,13462000000.0,11606000000.0,7787000000.0
Total Assets,76445000000.0,71876000000.0,70581000000.0,51236000000.0
Total Non Current Assets,43974000000.0,42821000000.0,42104000000.0,31426000000.0
Other Non Current Assets,3958000000.0,4205000000.0,4311000000.0,807000000.0
Non Current Deferred Assets,0.0,344000000.0,305000000.0,0.0
Non Current Deferred Taxes Assets,0.0,344000000.0,305000000.0,0.0
Financial Assets,0.0,58000000.0,172000000.0,0.0
Goodwill And Other Intangible Assets,7444000000.0,7449000000.0,7126000000.0,2254000000.0
Other Intangible Assets,0.0,3503000000.0,3612000000.0,0.0
Goodwill,7444000000.0,7449000000.0,7126000000.0,2254000000.0
Net PPE,32572000000.0,31167000000.0,30667000000.0,28365000000.0
Accumulated Depreciation,-26644000000.0,-26130000000.0,-24096000000.0,-22090000000.0
Gross PPE,32572000000.0,31167000000.0,30667000000.0,28365000000.0
Leases,2130000000.0,2016000000.0,1925000000.0,1789000000.0
Construction In Progress,1297000000.0,1139000000.0,1068000000.0,1005000000.0
Other Properties,32572000000.0,31167000000.0,30667000000.0,28365000000.0
Machinery Furniture Equipment,16564000000.0,16441000000.0,15119000000.0,13666000000.0
Buildings And Improvements,19430000000.0,19173000000.0,18838000000.0,18432000000.0
Land And Improvements,8719000000.0,8617000000.0,8543000000.0,8390000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,32471000000.0,29055000000.0,28477000000.0,19810000000.0
Other Current Assets,1511000000.0,1218000000.0,963000000.0,1040000000.0
Inventory,24886000000.0,22068000000.0,16627000000.0,14531000000.0
Finished Goods,24886000000.0,22068000000.0,16627000000.0,14531000000.0
Receivables,3317000000.0,3426000000.0,2992000000.0,2106000000.0
Other Receivables,495000000.0,525000000.0,442000000.0,368000000.0
Accounts Receivable,3317000000.0,3426000000.0,2992000000.0,2106000000.0
Cash Cash Equivalents And Short Term Investments,2757000000.0,2343000000.0,7895000000.0,2133000000.0
Cash And Cash Equivalents,2757000000.0,2343000000.0,7895000000.0,2133000000.0
