,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,8575000000.0,10415000000.0,15155000000.0,12400000000.0
Repurchase Of Capital Stock,-407000000.0,-319000000.0,-210000000.0,-1534000000.0
Repayment Of Debt,-6800000000.0,-8597000000.0,-13365000000.0,-12944000000.0
Issuance Of Debt,7804000000.0,522000000.0,10504000000.0,31825000000.0
Issuance Of Capital Stock,0.0,630000000.0,0.0,0.0
Capital Expenditure,-1860000000.0,-2381000000.0,-3042000000.0,-2370000000.0
Interest Paid Supplemental Data,1401000000.0,1512000000.0,1830000000.0,1685000000.0
Income Tax Paid Supplemental Data,1865000000.0,2103000000.0,2253000000.0,2091000000.0
End Cash Position,7988000000.0,6957000000.0,13675000000.0,8172000000.0
Beginning Cash Position,6957000000.0,13675000000.0,8314000000.0,11379000000.0
Effect Of Exchange Rate Changes,-244000000.0,-185000000.0,-87000000.0,-167000000.0
Changes In Cash,1275000000.0,-6533000000.0,5448000000.0,-3040000000.0
Financing Cash Flow,-4958000000.0,-13354000000.0,-9721000000.0,9042000000.0
Cash Flow From Continuing Financing Activities,-4958000000.0,-13355000000.0,-9721000000.0,9043000000.0
Net Other Financing Charges,-231000000.0,1000000.0,92000000.0,-1000000.0
Cash Dividends Paid,-5948000000.0,-5869000000.0,-5797000000.0,-5707000000.0
Common Stock Dividend Paid,-5948000000.0,-5869000000.0,-5797000000.0,-5707000000.0
Net Common Stock Issuance,-407000000.0,630000000.0,-210000000.0,-1534000000.0
Common Stock Payments,-407000000.0,-319000000.0,-210000000.0,-1534000000.0
Common Stock Issuance,0.0,630000000.0,0.0,0.0
Net Issuance Payments Of Debt,1221000000.0,-8116000000.0,-3714000000.0,16284000000.0
Net Short Term Debt Issuance,217000000.0,-40000000.0,-853000000.0,-2597000000.0
Net Long Term Debt Issuance,1221000000.0,-8116000000.0,-3714000000.0,16284000000.0
Long Term Debt Payments,-6800000000.0,-8597000000.0,-13365000000.0,-12944000000.0
Long Term Debt Issuance,7804000000.0,522000000.0,10504000000.0,31825000000.0
Investing Cash Flow,-4202000000.0,-5975000000.0,-3028000000.0,-26936000000.0
Cash Flow From Continuing Investing Activities,-4201000000.0,-5974000000.0,-3028000000.0,-26936000000.0
Net Other Investing Changes,-1000000.0,-1000000.0,475000000.0,6720000000.0
Net Investment Purchase And Sale,-1265000000.0,-414000000.0,-153000000.0,6988000000.0
Sale Of Investment,4665000000.0,3147000000.0,5618000000.0,3961000000.0
Purchase Of Investment,-5930000000.0,-3561000000.0,-6246000000.0,-3693000000.0
Net Business Purchase And Sale,-1076000000.0,-3179000000.0,167000000.0,-31554000000.0
Sale Of Business,1272000000.0,114000000.0,503000000.0,1076000000.0
Purchase Of Business,-2348000000.0,-3293000000.0,-336000000.0,-32630000000.0
Net Intangibles Purchase And Sale,-626000000.0,-706000000.0,-612000000.0,-621000000.0
Purchase Of Intangibles,-626000000.0,-706000000.0,-612000000.0,-621000000.0
Net PPE Purchase And Sale,-1235000000.0,-1675000000.0,-2430000000.0,-1749000000.0
Sale Of PPE,111000000.0,387000000.0,188000000.0,537000000.0
Purchase Of PPE,-1346000000.0,-2062000000.0,-2618000000.0,-2286000000.0
Capital Expenditure Reported,-1860000000.0,-2381000000.0,-3042000000.0,-2370000000.0
Operating Cash Flow,10435000000.0,12796000000.0,18197000000.0,14770000000.0
Cash Flow From Continuing Operating Activities,10435000000.0,12795000000.0,18196000000.0,14770000000.0
Change In Working Capital,-2887000000.0,-346000000.0,4974000000.0,-1399000000.0
Change In Other Working Capital,-2170000000.0,-4253000000.0,625000000.0,-1890000000.0
Change In Payables And Accrued Expense,213000000.0,85000000.0,138000000.0,-503000000.0
Change In Payable,213000000.0,85000000.0,138000000.0,-503000000.0
Change In Account Payable,213000000.0,85000000.0,138000000.0,-503000000.0
Change In Inventory,71000000.0,138000000.0,-209000000.0,67000000.0
Change In Receivables,-717000000.0,3907000000.0,4349000000.0,491000000.0
Changes In Account Receivables,-717000000.0,3907000000.0,4349000000.0,491000000.0
Other Non Cash Items,0.0,1000000.0,1000000.0,-1000000.0
Stock Based Compensation,987000000.0,982000000.0,937000000.0,679000000.0
Deferred Tax,-2726000000.0,-2001000000.0,-3203000000.0,-1527000000.0
Deferred Income Tax,-2726000000.0,-2001000000.0,-3203000000.0,-1527000000.0
Depreciation Amortization Depletion,4802000000.0,6416000000.0,6695000000.0,6059000000.0
Depreciation And Amortization,4802000000.0,6416000000.0,6695000000.0,6059000000.0
Amortization Cash Flow,2395000000.0,6416000000.0,6695000000.0,6059000000.0
Amortization Of Intangibles,2395000000.0,6416000000.0,6695000000.0,6059000000.0
Depreciation,2407000000.0,3888000000.0,4227000000.0,4209000000.0
Operating Gains Losses,5894000000.0,-307000000.0,-70000000.0,-1096000000.0
Pension And Employee Benefit Expense,5894000000.0,0.0,0.0,0.0
Net Income From Continuing Operations,1639000000.0,5743000000.0,5590000000.0,9431000000.0
