,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.09,0.27,0.072
Normalized EBITDA,7174000000.0,12408000000.0,12620000000.0,17569000000.0
Total Unusual Items,161000000.0,167000000.0,-100000000.0,207000000.0
Total Unusual Items Excluding Goodwill,161000000.0,167000000.0,-100000000.0,207000000.0
Net Income From Continuing Operation Net Minority Interest,1782000000.0,4712000000.0,5501000000.0,9435000000.0
Reconciled Depreciation,4802000000.0,6416000000.0,6695000000.0,6059000000.0
Reconciled Cost Of Revenue,27843000000.0,25864000000.0,38045000000.0,40659000000.0
EBITDA,7174000000.0,12408000000.0,12620000000.0,17569000000.0
EBIT,2372000000.0,5992000000.0,5925000000.0,11510000000.0
Net Interest Income,-1216000000.0,-1155000000.0,-1288000000.0,-1344000000.0
Interest Expense,1216000000.0,1155000000.0,1288000000.0,1344000000.0
Interest Income,162000000.0,52000000.0,105000000.0,349000000.0
Normalized Income,1782000000.0,4712000000.0,5501000000.0,9435000000.0
Net Income From Continuing And Discontinued Operation,1639000000.0,5742000000.0,5590000000.0,9431000000.0
Total Expenses,52356000000.0,50485000000.0,66834000000.0,66604000000.0
Diluted Average Shares,912300000.0,904600000.0,896600000.0,892800000.0
Basic Average Shares,902700000.0,896000000.0,890300000.0,887200000.0
Diluted EPS,1.8,6.35,6.23,10.56
Basic EPS,1.82,6.41,6.28,10.63
Diluted NI Availto Com Stockholders,1639000000.0,5743000000.0,5590000000.0,9431000000.0
Average Dilution Earnings,0.0,0.0,-2000000.0,0.0
Net Income Common Stockholders,1639000000.0,5743000000.0,5590000000.0,9431000000.0
Net Income,1639000000.0,5742000000.0,5590000000.0,9431000000.0
Net Income Including Noncontrolling Interests,1639000000.0,5742000000.0,5590000000.0,9431000000.0
Net Income Discontinuous Operations,-143000000.0,1030000000.0,89000000.0,-4000000.0
Net Income Continuous Operations,1782000000.0,4712000000.0,5501000000.0,9435000000.0
Tax Provision,-626000000.0,124000000.0,-864000000.0,731000000.0
Pretax Income,1156000000.0,4837000000.0,4637000000.0,10166000000.0
Other Income Expense,-5803000000.0,-873000000.0,-861000000.0,968000000.0
Other Non Operating Income Expenses,-5803000000.0,-873000000.0,-861000000.0,968000000.0
Special Income Charges,21000000.0,35000000.0,-109000000.0,-89000000.0
Gain On Sale Of Ppe,21000000.0,35000000.0,0.0,0.0
Write Off,0.0,0.0,109000000.0,89000000.0
Gain On Sale Of Security,140000000.0,132000000.0,9000000.0,296000000.0
Net Non Operating Interest Income Expense,-1216000000.0,-1155000000.0,-1288000000.0,-1344000000.0
Interest Expense Non Operating,1216000000.0,1155000000.0,1288000000.0,1344000000.0
Interest Income Non Operating,162000000.0,52000000.0,105000000.0,349000000.0
Operating Income,8174000000.0,6865000000.0,6786000000.0,10543000000.0
Operating Expense,24513000000.0,24621000000.0,28789000000.0,25945000000.0
Other Operating Expenses,-663000000.0,-612000000.0,-626000000.0,-648000000.0
Provision For Doubtful Accounts,64000000.0,-71000000.0,0.0,0.0
Depreciation Amortization Depletion Income Statement,1062000000.0,1116000000.0,1123000000.0,762000000.0
Depreciation And Amortization In Income Statement,1062000000.0,1116000000.0,1123000000.0,762000000.0
Amortization,1062000000.0,1116000000.0,1123000000.0,762000000.0
Amortization Of Intangibles Income Statement,1062000000.0,1116000000.0,1123000000.0,762000000.0
Research And Development,6567000000.0,6488000000.0,6333000000.0,5989000000.0
Selling General And Administration,18609000000.0,18745000000.0,23082000000.0,20604000000.0
Selling And Marketing Expense,1330000000.0,1413000000.0,1542000000.0,1647000000.0
General And Administrative Expense,16153000000.0,16286000000.0,20308000000.0,18107000000.0
Other Gand A,15537000000.0,15550000000.0,16800000000.0,17099000000.0
Salaries And Wages,616000000.0,736000000.0,3508000000.0,1008000000.0
Gross Profit,32687000000.0,31486000000.0,35575000000.0,36488000000.0
Cost Of Revenue,27843000000.0,25864000000.0,38045000000.0,40659000000.0
Total Revenue,60530000000.0,57351000000.0,73620000000.0,77147000000.0
Operating Revenue,60077000000.0,56947000000.0,73451000000.0,76199000000.0
