,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-55854000.0,-95616000.0,-46224000.0,-146812000.0
Tax Rate For Calcs,0.174,0.083,0.108,0.127
Normalized EBITDA,24024000000.0,25699000000.0,20342000000.0,22126000000.0
Total Unusual Items,-321000000.0,-1152000000.0,-428000000.0,-1156000000.0
Total Unusual Items Excluding Goodwill,-321000000.0,-1152000000.0,-428000000.0,-1156000000.0
Net Income From Continuing Operation Net Minority Interest,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Reconciled Depreciation,6970000000.0,7390000000.0,7231000000.0,7009000000.0
Reconciled Cost Of Revenue,31089000000.0,29855000000.0,28427000000.0,27556000000.0
EBITDA,23703000000.0,24547000000.0,19914000000.0,20970000000.0
EBIT,23703000000.0,24547000000.0,19914000000.0,20970000000.0
Net Interest Income,214000000.0,-130000000.0,-90000000.0,39000000.0
Interest Expense,276000000.0,183000000.0,201000000.0,318000000.0
Interest Income,490000000.0,53000000.0,111000000.0,357000000.0
Normalized Income,18206146000.0,21934384000.0,15095776000.0,16128188000.0
Net Income From Continuing And Discontinued Operation,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Total Expenses,71240000000.0,69228000000.0,62670000000.0,61089000000.0
Diluted Average Shares,2663900000.0,2674000000.0,2670700000.0,2684300000.0
Basic Average Shares,2613597000.0,2628965000.0,2632512000.0,2632507000.0
Diluted EPS,6.73,7.81,5.51,5.63
Basic EPS,6.8621,7.9305,5.5892,5.7431
Diluted NI Availto Com Stockholders,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Net Income Common Stockholders,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Net Income,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Net Income Including Noncontrolling Interests,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Net Income Continuous Operations,17941000000.0,20878000000.0,14714000000.0,15119000000.0
Tax Provision,3784000000.0,1898000000.0,1783000000.0,2209000000.0
Pretax Income,21725000000.0,22776000000.0,16497000000.0,17328000000.0
Other Income Expense,-2192000000.0,-1641000000.0,-3327000000.0,-3681000000.0
Other Non Operating Income Expenses,-1871000000.0,-489000000.0,-2899000000.0,-2525000000.0
Special Income Charges,-321000000.0,-1152000000.0,-428000000.0,-1156000000.0
Other Special Charges,0.0,900000000.0,181000000.0,890000000.0
Restructuring And Mergern Acquisition,321000000.0,252000000.0,247000000.0,266000000.0
Net Non Operating Interest Income Expense,214000000.0,-130000000.0,-90000000.0,39000000.0
Total Other Finance Cost,-214000000.0,130000000.0,90000000.0,-39000000.0
Interest Expense Non Operating,276000000.0,183000000.0,201000000.0,318000000.0
Interest Income Non Operating,490000000.0,53000000.0,111000000.0,357000000.0
Operating Income,23703000000.0,24547000000.0,19914000000.0,20970000000.0
Operating Expense,40151000000.0,39373000000.0,34243000000.0,33533000000.0
Research And Development,15386000000.0,14714000000.0,12159000000.0,11355000000.0
Selling General And Administration,24765000000.0,24659000000.0,22084000000.0,22178000000.0
Gross Profit,63854000000.0,63920000000.0,54157000000.0,54503000000.0
Cost Of Revenue,31089000000.0,29855000000.0,28427000000.0,27556000000.0
Total Revenue,94943000000.0,93775000000.0,82584000000.0,82059000000.0
Operating Revenue,94943000000.0,93775000000.0,82584000000.0,82059000000.0
