,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,9534000000.0,11258000000.0,8667000000.0,8417000000.0
Repurchase Of Capital Stock,-1418000000.0,-111000000.0,-118000000.0,-1103000000.0
Repayment Of Debt,-4930000000.0,-12866000000.0,-28796000000.0,-24850000000.0
Issuance Of Debt,3972000000.0,13094000000.0,26934000000.0,23009000000.0
Issuance Of Capital Stock,837000000.0,702000000.0,647000000.0,1012000000.0
Capital Expenditure,-1484000000.0,-1367000000.0,-1177000000.0,-2054000000.0
End Cash Position,9825000000.0,10025000000.0,7110000000.0,6737000000.0
Beginning Cash Position,10025000000.0,7110000000.0,6737000000.0,9318000000.0
Effect Of Exchange Rate Changes,-205000000.0,-159000000.0,76000000.0,-72000000.0
Changes In Cash,5000000.0,3074000000.0,297000000.0,-2509000000.0
Financing Cash Flow,-10250000000.0,-6786000000.0,-8070000000.0,-9004000000.0
Cash Flow From Continuing Financing Activities,-10250000000.0,-6786000000.0,-8070000000.0,-9004000000.0
Net Other Financing Charges,-1095000000.0,-353000000.0,310000000.0,-227000000.0
Cash Dividends Paid,-7616000000.0,-7252000000.0,-7047000000.0,-6845000000.0
Common Stock Dividend Paid,-7616000000.0,-7252000000.0,-7047000000.0,-6845000000.0
Net Common Stock Issuance,-581000000.0,591000000.0,529000000.0,-91000000.0
Common Stock Payments,-1418000000.0,-111000000.0,-118000000.0,-1103000000.0
Common Stock Issuance,837000000.0,702000000.0,647000000.0,1012000000.0
Net Issuance Payments Of Debt,-958000000.0,228000000.0,-1862000000.0,-1841000000.0
Net Long Term Debt Issuance,-958000000.0,228000000.0,-1862000000.0,-1841000000.0
Long Term Debt Payments,-4930000000.0,-12866000000.0,-28796000000.0,-24850000000.0
Long Term Debt Issuance,3972000000.0,13094000000.0,26934000000.0,23009000000.0
Investing Cash Flow,-763000000.0,-2765000000.0,-1477000000.0,-3976000000.0
Cash Flow From Continuing Investing Activities,-763000000.0,-2765000000.0,-1477000000.0,-3976000000.0
Net Other Investing Changes,-759000000.0,51000000.0,122000000.0,-56000000.0
Net Investment Purchase And Sale,1020000000.0,1029000000.0,252000000.0,2269000000.0
Sale Of Investment,4771000000.0,7059000000.0,13835000000.0,6973000000.0
Purchase Of Investment,-3751000000.0,-6030000000.0,-13583000000.0,-4704000000.0
Net Business Purchase And Sale,385000000.0,-2586000000.0,-863000000.0,-5113000000.0
Sale Of Business,458000000.0,2180000000.0,189000000.0,429000000.0
Purchase Of Business,-73000000.0,-4766000000.0,-1052000000.0,-5542000000.0
Net PPE Purchase And Sale,-1409000000.0,-1259000000.0,-988000000.0,-1076000000.0
Sale Of PPE,75000000.0,108000000.0,189000000.0,978000000.0
Purchase Of PPE,-1484000000.0,-1367000000.0,-1177000000.0,-2054000000.0
Operating Cash Flow,11018000000.0,12625000000.0,9844000000.0,10471000000.0
Cash Flow From Continuing Operating Activities,11018000000.0,12625000000.0,9844000000.0,10471000000.0
Change In Working Capital,-605000000.0,1325000000.0,690000000.0,366000000.0
Change In Other Working Capital,0.0,0.0,507000000.0,-620000000.0
Change In Other Current Liabilities,-200000000.0,-351000000.0,507000000.0,-620000000.0
Change In Payables And Accrued Expense,399000000.0,2277000000.0,-876000000.0,1414000000.0
Change In Payable,399000000.0,2277000000.0,-876000000.0,1414000000.0
Change In Account Payable,759000000.0,2843000000.0,-860000000.0,1318000000.0
Change In Tax Payable,-360000000.0,-566000000.0,-16000000.0,96000000.0
Change In Income Tax Payable,-360000000.0,-566000000.0,-16000000.0,96000000.0
Change In Prepaid Assets,225000000.0,-241000000.0,78000000.0,-87000000.0
Change In Inventory,-960000000.0,-135000000.0,99000000.0,-183000000.0
Change In Receivables,-69000000.0,-225000000.0,882000000.0,-158000000.0
Changes In Account Receivables,-69000000.0,-225000000.0,882000000.0,-158000000.0
Other Non Cash Items,1193000000.0,-658000000.0,341000000.0,164000000.0
Stock Based Compensation,356000000.0,337000000.0,126000000.0,201000000.0
Deferred Tax,-122000000.0,894000000.0,-18000000.0,-280000000.0
Deferred Income Tax,-122000000.0,894000000.0,-18000000.0,-280000000.0
Depreciation Amortization Depletion,1260000000.0,1452000000.0,1536000000.0,1365000000.0
Depreciation And Amortization,1260000000.0,1452000000.0,1536000000.0,1365000000.0
Operating Gains Losses,-635000000.0,-529000000.0,-599000000.0,-330000000.0
Earnings Losses From Equity Investments,-838000000.0,-615000000.0,-511000000.0,-421000000.0
Net Foreign Currency Exchange Gain Loss,203000000.0,86000000.0,-88000000.0,91000000.0
Net Income From Continuing Operations,9571000000.0,9804000000.0,7768000000.0,8985000000.0
