,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,235488000.0,0.0,76244000.0,22458000.0
Tax Rate For Calcs,0.096,0.178,0.196,0.197
Normalized EBITDA,1633000000.0,7369000000.0,6383000000.0,5946000000.0
Total Unusual Items,2453000000.0,0.0,389000000.0,114000000.0
Total Unusual Items Excluding Goodwill,2453000000.0,0.0,389000000.0,114000000.0
Net Income From Continuing Operation Net Minority Interest,5777000000.0,5921000000.0,5384000000.0,4570000000.0
Reconciled Depreciation,1831000000.0,1915000000.0,1911000000.0,1593000000.0
Reconciled Cost Of Revenue,19232000000.0,18795000000.0,16605000000.0,17136000000.0
EBITDA,4086000000.0,7369000000.0,6772000000.0,6060000000.0
EBIT,4086000000.0,7369000000.0,6772000000.0,6060000000.0
Net Interest Income,-395000000.0,-462000000.0,-500000000.0,-368000000.0
Interest Expense,462000000.0,488000000.0,529000000.0,448000000.0
Interest Income,67000000.0,26000000.0,29000000.0,80000000.0
Normalized Income,3559488000.0,5921000000.0,5071244000.0,4478458000.0
Net Income From Continuing And Discontinued Operation,5777000000.0,5921000000.0,5384000000.0,4570000000.0
Total Expenses,30143000000.0,27986000000.0,25412000000.0,26076000000.0
Total Operating Income As Reported,6539000000.0,7369000000.0,7161000000.0,6174000000.0
Diluted Average Shares,567600000.0,585300000.0,582200000.0,585100000.0
Basic Average Shares,566000000.0,579000000.0,577600000.0,577000000.0
Diluted EPS,10.18,10.12,9.25,7.81
Basic EPS,10.21,10.23,9.32,7.92
Diluted NI Availto Com Stockholders,5777000000.0,5921000000.0,5384000000.0,4570000000.0
Net Income Common Stockholders,5777000000.0,5921000000.0,5384000000.0,4570000000.0
Net Income,5777000000.0,5921000000.0,5384000000.0,4570000000.0
Minority Interests,-14000000.0,-8000000.0,-4000000.0,-12000000.0
Net Income Including Noncontrolling Interests,5791000000.0,5929000000.0,5388000000.0,4582000000.0
Net Income Continuous Operations,5791000000.0,5929000000.0,5388000000.0,4582000000.0
Earnings From Equity Interest Net Of Tax,11000000.0,10000000.0,-5000000.0,0.0
Tax Provision,612000000.0,1285000000.0,1318000000.0,1130000000.0
Pretax Income,6392000000.0,7204000000.0,6711000000.0,5712000000.0
Other Income Expense,2306000000.0,-165000000.0,-61000000.0,-348000000.0
Other Non Operating Income Expenses,-147000000.0,-165000000.0,-450000000.0,-462000000.0
Special Income Charges,2453000000.0,0.0,389000000.0,114000000.0
Gain On Sale Of Business,2724000000.0,0.0,389000000.0,114000000.0
Impairment Of Capital Assets,271000000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-395000000.0,-462000000.0,-500000000.0,-368000000.0
Interest Expense Non Operating,462000000.0,488000000.0,529000000.0,448000000.0
Interest Income Non Operating,67000000.0,26000000.0,29000000.0,80000000.0
Operating Income,4086000000.0,7369000000.0,6772000000.0,6060000000.0
Operating Expense,10911000000.0,9191000000.0,8807000000.0,8940000000.0
Research And Development,1862000000.0,1994000000.0,1878000000.0,1911000000.0
Selling General And Administration,9049000000.0,7197000000.0,6929000000.0,7029000000.0
General And Administrative Expense,8801000000.0,7197000000.0,6929000000.0,7029000000.0
Other Gand A,9049000000.0,7197000000.0,6929000000.0,7029000000.0
Salaries And Wages,-248000000.0,-297000000.0,-50000000.0,-68000000.0
Gross Profit,14997000000.0,16560000000.0,15579000000.0,15000000000.0
Cost Of Revenue,19232000000.0,18795000000.0,16605000000.0,17136000000.0
Total Revenue,34229000000.0,35355000000.0,32184000000.0,32136000000.0
Operating Revenue,34229000000.0,35355000000.0,32184000000.0,32136000000.0
