,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-39429000.0,-72710000.0,-112132000.0,-93786000.0
Tax Rate For Calcs,0.117,0.11,0.194,0.147
Normalized EBITDA,18619000000.0,13860000000.0,9061000000.0,12879000000.0
Total Unusual Items,-337000000.0,-661000000.0,-578000000.0,-638000000.0
Total Unusual Items Excluding Goodwill,-337000000.0,-661000000.0,-578000000.0,-638000000.0
Net Income From Continuing Operation Net Minority Interest,14519000000.0,13049000000.0,7067000000.0,9843000000.0
Reconciled Depreciation,3909000000.0,3214000000.0,3625000000.0,3652000000.0
Reconciled Cost Of Revenue,17411000000.0,13626000000.0,15485000000.0,14112000000.0
EBITDA,18282000000.0,13199000000.0,8483000000.0,12241000000.0
EBIT,18282000000.0,13199000000.0,8483000000.0,12241000000.0
Net Interest Income,-805000000.0,-770000000.0,-772000000.0,-619000000.0
Interest Expense,962000000.0,806000000.0,831000000.0,893000000.0
Interest Income,157000000.0,36000000.0,59000000.0,274000000.0
Normalized Income,14816571000.0,13637290000.0,7532868000.0,10387214000.0
Net Income From Continuing And Discontinued Operation,14519000000.0,13049000000.0,7067000000.0,9843000000.0
Total Expenses,41001000000.0,35505000000.0,39511000000.0,34599000000.0
Diluted Average Shares,2542000000.0,2538000000.0,2541000000.0,2580000000.0
Basic Average Shares,2532000000.0,2530000000.0,2530225827.0,2539016026.0
Diluted EPS,5.71,5.14,2.78,3.81
Basic EPS,5.73,5.16,2.7930,3.8766
Diluted NI Availto Com Stockholders,14519000000.0,13049000000.0,7067000000.0,9843000000.0
Net Income Common Stockholders,14519000000.0,13049000000.0,7067000000.0,9843000000.0
Net Income,14519000000.0,13049000000.0,7067000000.0,9843000000.0
Minority Interests,-7000000.0,691000000.0,-15000000.0,66000000.0
Net Income Including Noncontrolling Interests,14526000000.0,12358000000.0,7082000000.0,9777000000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,14526000000.0,12358000000.0,7082000000.0,9777000000.0
Tax Provision,1918000000.0,1521000000.0,1709000000.0,1687000000.0
Pretax Income,16444000000.0,13879000000.0,8791000000.0,11464000000.0
Other Income Expense,-1838000000.0,680000000.0,308000000.0,-777000000.0
Other Non Operating Income Expenses,-1501000000.0,1341000000.0,886000000.0,-139000000.0
Special Income Charges,-337000000.0,-661000000.0,-578000000.0,-638000000.0
Restructuring And Mergern Acquisition,337000000.0,661000000.0,578000000.0,638000000.0
Gain On Sale Of Security,-1656000000.0,1643000000.0,1193000000.0,-17000000.0
Net Non Operating Interest Income Expense,-805000000.0,-770000000.0,-772000000.0,-619000000.0
Interest Expense Non Operating,962000000.0,806000000.0,831000000.0,893000000.0
Interest Income Non Operating,157000000.0,36000000.0,59000000.0,274000000.0
Operating Income,18282000000.0,13199000000.0,8483000000.0,12241000000.0
Operating Expense,23590000000.0,21879000000.0,24026000000.0,20487000000.0
Research And Development,13548000000.0,12245000000.0,13558000000.0,9872000000.0
Selling General And Administration,10042000000.0,9634000000.0,10468000000.0,10615000000.0
Gross Profit,41872000000.0,35078000000.0,32509000000.0,32728000000.0
Cost Of Revenue,17411000000.0,13626000000.0,15485000000.0,14112000000.0
Total Revenue,59283000000.0,48704000000.0,47994000000.0,46840000000.0
Operating Revenue,59283000000.0,48704000000.0,47994000000.0,46840000000.0
