,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Treasury Shares Number,1647100000.0,1615400000.0,1579500000.0,1529500000.0
Ordinary Shares Number,2362100000.0,2393800000.0,2429700000.0,2479700000.0
Share Issued,4009200000.0,4009200000.0,4009200000.0,4009200000.0
Net Debt,26361000000.0,24279000000.0,21700000000.0,18539000000.0
Total Debt,34607000000.0,31493000000.0,31988000000.0,34720000000.0
Tangible Book Value,-17377000000.0,-16525000000.0,-17912000000.0,-16815000000.0
Invested Capital,34607000000.0,31493000000.0,31988000000.0,34720000000.0
Working Capital,-13108000000.0,-11428000000.0,-10041000000.0,-4989000000.0
Net Tangible Assets,-17377000000.0,-16525000000.0,-17912000000.0,-16815000000.0
Capital Lease Obligations,817000000.0,800000000.0,631000000.0,652000000.0
Common Stock Equity,47065000000.0,46854000000.0,46654000000.0,46878000000.0
Preferred Stock Equity,819000000.0,843000000.0,870000000.0,897000000.0
Total Capitalization,71443000000.0,69702000000.0,69753000000.0,70415000000.0
Total Equity Gross Minority Interest,47065000000.0,46854000000.0,46654000000.0,46878000000.0
Minority Interest,288000000.0,265000000.0,276000000.0,357000000.0
Stockholders Equity,47065000000.0,46854000000.0,46654000000.0,46878000000.0
Gains Losses Not Affecting Retained Earnings,-13041000000.0,-13105000000.0,-14750000000.0,-17245000000.0
Other Equity Adjustments,-12220000000.0,-12189000000.0,-13744000000.0,-16165000000.0
Minimum Pension Liabilities,-821000000.0,-916000000.0,-1006000000.0,-1080000000.0
Treasury Stock,129736000000.0,123382000000.0,114973000000.0,105573000000.0
Retained Earnings,118170000000.0,112429000000.0,106374000000.0,100239000000.0
Additional Paid In Capital,66556000000.0,65795000000.0,64848000000.0,64194000000.0
Capital Stock,4828000000.0,4852000000.0,4879000000.0,4906000000.0
Common Stock,4009000000.0,4009000000.0,4009000000.0,4009000000.0
Preferred Stock,819000000.0,843000000.0,870000000.0,897000000.0
Total Liabilities Net Minority Interest,73764000000.0,70354000000.0,72653000000.0,73822000000.0
Total Non Current Liabilities Net Minority Interest,38008000000.0,37273000000.0,39521000000.0,40846000000.0
Other Non Current Liabilities,7152000000.0,7616000000.0,10269000000.0,11110000000.0
Derivative Product Liabilities,445000000.0,0.0,0.0,0.0
Employee Benefits,3806000000.0,3811000000.0,6374000000.0,7188000000.0
Non Current Pension And Other Postretirement Benefit Plans,3806000000.0,3811000000.0,6374000000.0,7188000000.0
Tradeand Other Payables Non Current,1776000000.0,1661000000.0,1891000000.0,2121000000.0
Non Current Deferred Liabilities,6478000000.0,6809000000.0,6153000000.0,6199000000.0
Non Current Deferred Taxes Liabilities,6478000000.0,6809000000.0,6153000000.0,6199000000.0
Long Term Debt And Capital Lease Obligation,24378000000.0,22848000000.0,23099000000.0,23537000000.0
Long Term Capital Lease Obligation,595000000.0,595000000.0,631000000.0,652000000.0
Long Term Debt,24378000000.0,22848000000.0,23099000000.0,23537000000.0
Current Liabilities,35756000000.0,33081000000.0,33132000000.0,32976000000.0
Other Current Liabilities,3781000000.0,2940000000.0,3104000000.0,3105000000.0
Current Debt And Capital Lease Obligation,10229000000.0,8645000000.0,8889000000.0,11183000000.0
Current Capital Lease Obligation,222000000.0,205000000.0,0.0,0.0
Current Debt,10229000000.0,8645000000.0,8889000000.0,11183000000.0
Other Current Borrowings,3993000000.0,3840000000.0,3718000000.0,2638000000.0
Commercial Paper,6236000000.0,4805000000.0,5171000000.0,8545000000.0
Pensionand Other Post Retirement Benefit Plans Current,2030000000.0,1797000000.0,2145000000.0,1921000000.0
Current Provisions,174000000.0,147000000.0,278000000.0,472000000.0
Payables And Accrued Expenses,25527000000.0,24436000000.0,24243000000.0,21793000000.0
Current Accrued Expenses,10929000000.0,9554000000.0,10523000000.0,9722000000.0
Payables,14598000000.0,14882000000.0,13720000000.0,12071000000.0
Total Tax Payable,828000000.0,587000000.0,637000000.0,693000000.0
Accounts Payable,14598000000.0,14882000000.0,13720000000.0,12071000000.0
Total Assets,120829000000.0,117208000000.0,119307000000.0,120700000000.0
Total Non Current Assets,98181000000.0,95555000000.0,96216000000.0,92713000000.0
Other Non Current Assets,11830000000.0,10981000000.0,9964000000.0,8328000000.0
Goodwill And Other Intangible Assets,64442000000.0,63379000000.0,64566000000.0,63693000000.0
Other Intangible Assets,23783000000.0,23679000000.0,23642000000.0,23792000000.0
Goodwill,40659000000.0,39700000000.0,40924000000.0,39901000000.0
Net PPE,21909000000.0,21195000000.0,21686000000.0,20692000000.0
Accumulated Depreciation,-26736000000.0,-25502000000.0,-25012000000.0,-23079000000.0
Gross PPE,48645000000.0,46697000000.0,46698000000.0,43771000000.0
Construction In Progress,2980000000.0,2756000000.0,2358000000.0,2034000000.0
Machinery Furniture Equipment,36521000000.0,35098000000.0,35367000000.0,33260000000.0
Buildings And Improvements,8277000000.0,8087000000.0,8165000000.0,7700000000.0
Land And Improvements,867000000.0,756000000.0,808000000.0,777000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,22648000000.0,21653000000.0,23091000000.0,27987000000.0
Other Current Assets,1858000000.0,2372000000.0,2095000000.0,2130000000.0
Prepaid Assets,0.0,2372000000.0,2095000000.0,2130000000.0
