,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,23404000000.0,19889000000.0,20123000000.0,16392000000.0
Repurchase Of Capital Stock,-7000000000.0,-5000000000.0,-4250000000.0,-5500000000.0
Repayment Of Debt,-3015000000.0,-3150000000.0,-3150000000.0,-1750000000.0
Issuance Of Debt,14819000000.0,6933000000.0,4864000000.0,5744000000.0
Issuance Of Capital Stock,1253000000.0,1355000000.0,1440000000.0,1037000000.0
Capital Expenditure,-2802000000.0,-2454000000.0,-2051000000.0,-2071000000.0
Interest Paid Supplemental Data,1945000000.0,1653000000.0,1704000000.0,1627000000.0
Income Tax Paid Supplemental Data,5222000000.0,3966000000.0,4935000000.0,3542000000.0
End Cash Position,23365000000.0,21375000000.0,16921000000.0,10985000000.0
Beginning Cash Position,21375000000.0,16921000000.0,10985000000.0,10866000000.0
Effect Of Exchange Rate Changes,34000000.0,-62000000.0,-116000000.0,-20000000.0
Changes In Cash,1956000000.0,4516000000.0,6052000000.0,139000000.0
Financing Cash Flow,4226000000.0,-7455000000.0,-3590000000.0,-5625000000.0
Cash Flow From Continuing Financing Activities,4226000000.0,-7455000000.0,-3590000000.0,-5625000000.0
Net Other Financing Charges,4681000000.0,344000000.0,2658000000.0,-187000000.0
Cash Dividends Paid,-5991000000.0,-5280000000.0,-4584000000.0,-3932000000.0
Common Stock Dividend Paid,-5991000000.0,0.0,-4584000000.0,-3932000000.0
Net Common Stock Issuance,-7000000000.0,-5000000000.0,-4250000000.0,-5500000000.0
Common Stock Payments,-7000000000.0,-5000000000.0,-4250000000.0,-5500000000.0
Common Stock Issuance,1253000000.0,1355000000.0,1440000000.0,1037000000.0
Net Issuance Payments Of Debt,12536000000.0,2481000000.0,2586000000.0,3994000000.0
Net Short Term Debt Issuance,12536000000.0,2481000000.0,2586000000.0,300000000.0
Short Term Debt Issuance,0.0,0.0,0.0,300000000.0
Net Long Term Debt Issuance,11804000000.0,3783000000.0,1714000000.0,3694000000.0
Long Term Debt Payments,-3015000000.0,-3150000000.0,-3150000000.0,-1750000000.0
Long Term Debt Issuance,14819000000.0,6933000000.0,4864000000.0,5444000000.0
Investing Cash Flow,-28476000000.0,-10372000000.0,-12532000000.0,-12699000000.0
Cash Flow From Continuing Investing Activities,-28476000000.0,-10372000000.0,-12532000000.0,-12699000000.0
Net Other Investing Changes,2621000000.0,-1254000000.0,-506000000.0,219000000.0
Net Investment Purchase And Sale,-6837000000.0,-1843000000.0,-2836000000.0,-2504000000.0
Sale Of Investment,11988000000.0,15296000000.0,13741000000.0,15627000000.0
Purchase Of Investment,-6837000000.0,-1843000000.0,-2836000000.0,-2504000000.0
Net Business Purchase And Sale,-21458000000.0,-4821000000.0,-7139000000.0,-8343000000.0
Purchase Of Business,-21458000000.0,-4821000000.0,-7139000000.0,-8343000000.0
Net PPE Purchase And Sale,-2802000000.0,-2454000000.0,-2051000000.0,-2071000000.0
Purchase Of PPE,-2802000000.0,-2454000000.0,-2051000000.0,-2071000000.0
Operating Cash Flow,26206000000.0,22343000000.0,22174000000.0,18463000000.0
Cash Flow From Continuing Operating Activities,26206000000.0,22343000000.0,22174000000.0,18463000000.0
Change In Working Capital,2246000000.0,1522000000.0,2895000000.0,683000000.0
Change In Other Working Capital,126000000.0,-310000000.0,278000000.0,130000000.0
Change In Other Current Liabilities,-1374000000.0,-1031000000.0,-2195000000.0,-1563000000.0
Change In Payables And Accrued Expense,6017000000.0,3863000000.0,5500000000.0,1954000000.0
Change In Payable,6017000000.0,3863000000.0,5500000000.0,1954000000.0
Change In Account Payable,1964000000.0,3863000000.0,5500000000.0,1954000000.0
Change In Receivables,-2523000000.0,-1000000000.0,-688000000.0,162000000.0
Changes In Account Receivables,-2523000000.0,-1000000000.0,-688000000.0,162000000.0
Other Non Cash Items,-331000000.0,-944000000.0,-52000000.0,-106000000.0
Stock Based Compensation,925000000.0,800000000.0,679000000.0,697000000.0
Deferred Tax,-1004000000.0,-814000000.0,-60000000.0,124000000.0
Deferred Income Tax,-1004000000.0,-814000000.0,-60000000.0,124000000.0
Depreciation Amortization Depletion,3400000000.0,3103000000.0,2891000000.0,2720000000.0
Depreciation And Amortization,3400000000.0,3103000000.0,2891000000.0,2720000000.0
Net Income From Continuing Operations,20639000000.0,17732000000.0,15769000000.0,14239000000.0
