,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-44034000.0,-176225000.0,179946000.0,45368000.0
Tax Rate For Calcs,0.179,0.175,0.234,0.212
Normalized EBITDA,22870000000.0,20542000000.0,16611000000.0,14859000000.0
Total Unusual Items,-246000000.0,-1007000000.0,769000000.0,214000000.0
Total Unusual Items Excluding Goodwill,-246000000.0,-1007000000.0,769000000.0,214000000.0
Net Income From Continuing Operation Net Minority Interest,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Reconciled Depreciation,943000000.0,861000000.0,804000000.0,767000000.0
Reconciled Cost Of Revenue,6567000000.0,5733000000.0,4970000000.0,4512000000.0
EBITDA,22624000000.0,19535000000.0,17380000000.0,15073000000.0
EBIT,21681000000.0,18674000000.0,16576000000.0,14306000000.0
Net Interest Income,-644000000.0,-538000000.0,-513000000.0,-516000000.0
Interest Expense,644000000.0,538000000.0,513000000.0,516000000.0
Normalized Income,17474966000.0,15787775000.0,11721946000.0,10697368000.0
Net Income From Continuing And Discontinued Operation,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Total Expenses,10726000000.0,9629000000.0,8298000000.0,7754000000.0
Total Operating Income As Reported,21000000000.0,18813000000.0,15804000000.0,14081000000.0
Diluted Average Shares,2085000000.0,2136000000.0,2188000000.0,2223000000.0
Basic Average Shares,1618000000.0,1651000000.0,1691000000.0,2139000000.0
Diluted EPS,8.28,7.0,5.63,4.89
Basic EPS,8.29,7.01,5.63,4.9
Diluted NI Availto Com Stockholders,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Net Income Common Stockholders,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Net Income,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Net Income Including Noncontrolling Interests,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Net Income Continuous Operations,17273000000.0,14957000000.0,12311000000.0,10866000000.0
Tax Provision,3764000000.0,3179000000.0,3752000000.0,2924000000.0
Pretax Income,21037000000.0,18136000000.0,16063000000.0,13790000000.0
Other Income Expense,-246000000.0,-1007000000.0,769000000.0,214000000.0
Special Income Charges,-927000000.0,-868000000.0,-3000000.0,-11000000.0
Other Special Charges,927000000.0,868000000.0,3000000.0,11000000.0
Gain On Sale Of Security,681000000.0,-139000000.0,772000000.0,225000000.0
Net Non Operating Interest Income Expense,-644000000.0,-538000000.0,-513000000.0,-516000000.0
Interest Expense Non Operating,644000000.0,538000000.0,513000000.0,516000000.0
Operating Income,21927000000.0,19681000000.0,15807000000.0,14092000000.0
Operating Expense,4159000000.0,3896000000.0,3328000000.0,3242000000.0
Depreciation Amortization Depletion Income Statement,943000000.0,861000000.0,804000000.0,767000000.0
Depreciation And Amortization In Income Statement,943000000.0,861000000.0,804000000.0,767000000.0
Selling General And Administration,3216000000.0,3035000000.0,2524000000.0,2475000000.0
Selling And Marketing Expense,1341000000.0,1336000000.0,1136000000.0,971000000.0
General And Administrative Expense,1875000000.0,1699000000.0,1388000000.0,1504000000.0
Other Gand A,1875000000.0,1699000000.0,1388000000.0,1504000000.0
Gross Profit,26086000000.0,23577000000.0,19135000000.0,17334000000.0
Cost Of Revenue,6567000000.0,5733000000.0,4970000000.0,4512000000.0
Total Revenue,32653000000.0,29310000000.0,24105000000.0,21846000000.0
Operating Revenue,32653000000.0,29310000000.0,24105000000.0,21846000000.0
