,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,91572258.0,93634725.0,153304088.0,155605527.0
Ordinary Shares Number,4199861388.0,4197798921.0,4138129558.0,4135828119.0
Share Issued,4291433646.0,4291433646.0,4291433646.0,4291433646.0
Net Debt,148034000000.0,147947000000.0,106891000000.0,108895000000.0
Total Debt,176331000000.0,177930000000.0,150547000000.0,133143000000.0
Tangible Book Value,-98784000000.0,-106109000000.0,-62441000000.0,-67551000000.0
Invested Capital,241783000000.0,232658000000.0,196904000000.0,172884000000.0
Working Capital,-12314000000.0,-10432000000.0,14934000000.0,-7395000000.0
Net Tangible Assets,-98784000000.0,-106109000000.0,-62441000000.0,-67551000000.0
Capital Lease Obligations,25692000000.0,27062000000.0,21485000000.0,21654000000.0
Common Stock Equity,91144000000.0,81790000000.0,67842000000.0,61395000000.0
Total Capitalization,231820000000.0,225215000000.0,191015000000.0,162107000000.0
Total Equity Gross Minority Interest,92463000000.0,83200000000.0,69272000000.0,62835000000.0
Minority Interest,1319000000.0,1410000000.0,1430000000.0,1440000000.0
Stockholders Equity,91144000000.0,81790000000.0,67842000000.0,61395000000.0
Other Equity Interest,793000000.0,538000000.0,335000000.0,222000000.0
Gains Losses Not Affecting Retained Earnings,-1865000000.0,-927000000.0,-71000000.0,998000000.0
Other Equity Adjustments,-1865000000.0,-927000000.0,-71000000.0,998000000.0
Treasury Stock,4013000000.0,4104000000.0,6719000000.0,6820000000.0
Retained Earnings,82380000000.0,71993000000.0,60464000000.0,53147000000.0
Additional Paid In Capital,13420000000.0,13861000000.0,13404000000.0,13419000000.0
Capital Stock,429000000.0,429000000.0,429000000.0,429000000.0
Common Stock,429000000.0,429000000.0,429000000.0,429000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,287217000000.0,283396000000.0,247209000000.0,228892000000.0
Total Non Current Liabilities Net Minority Interest,237046000000.0,236236000000.0,207549000000.0,184024000000.0
Other Non Current Liabilities,18397000000.0,13513000000.0,12008000000.0,12264000000.0
Employee Benefits,12974000000.0,15410000000.0,18657000000.0,17952000000.0
Non Current Deferred Liabilities,43441000000.0,40685000000.0,35711000000.0,34703000000.0
Non Current Deferred Taxes Liabilities,43441000000.0,40685000000.0,35711000000.0,34703000000.0
Long Term Debt And Capital Lease Obligation,162234000000.0,166628000000.0,141173000000.0,119105000000.0
Long Term Capital Lease Obligation,21558000000.0,23203000000.0,18000000000.0,18393000000.0
Long Term Debt,140676000000.0,143425000000.0,123173000000.0,100712000000.0
Current Liabilities,50171000000.0,47160000000.0,39660000000.0,44868000000.0
Other Current Liabilities,12097000000.0,11025000000.0,9628000000.0,9024000000.0
Current Deferred Liabilities,6583000000.0,6053000000.0,4843000000.0,4651000000.0
Current Deferred Revenue,6583000000.0,6053000000.0,4843000000.0,4651000000.0
Current Debt And Capital Lease Obligation,14097000000.0,11302000000.0,9374000000.0,14038000000.0
Current Capital Lease Obligation,4134000000.0,3859000000.0,3485000000.0,3261000000.0
Current Debt,9963000000.0,7443000000.0,5889000000.0,10777000000.0
Other Current Borrowings,9963000000.0,7443000000.0,5889000000.0,10777000000.0
Payables And Accrued Expenses,23977000000.0,24833000000.0,20658000000.0,21806000000.0
