,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,10401000000.0,-28343000000.0,21450000000.0,16909000000.0
Repayment Of Debt,-13564000000.0,-18863000000.0,-17188000000.0,-23886000000.0
Issuance Of Debt,17912000000.0,41417000000.0,31457000000.0,18655000000.0
Capital Expenditure,-26740000000.0,-67882000000.0,-20318000000.0,-18837000000.0
End Cash Position,4111000000.0,4161000000.0,23498000000.0,3917000000.0
Beginning Cash Position,4161000000.0,23498000000.0,3917000000.0,3916000000.0
Changes In Cash,-50000000.0,-19337000000.0,19581000000.0,1000000.0
Financing Cash Flow,-8529000000.0,8277000000.0,1325000000.0,-18164000000.0
Cash Flow From Continuing Financing Activities,-8529000000.0,8277000000.0,1325000000.0,-18164000000.0
Net Other Financing Charges,-2072000000.0,-3832000000.0,-2712000000.0,-2917000000.0
Cash Dividends Paid,-10805000000.0,-10445000000.0,-10232000000.0,-10016000000.0
Common Stock Dividend Paid,-10805000000.0,-10445000000.0,-10232000000.0,-10016000000.0
Net Issuance Payments Of Debt,4348000000.0,22554000000.0,14269000000.0,-5231000000.0
Net Short Term Debt Issuance,106000000.0,0.0,0.0,0.0
Short Term Debt Issuance,106000000.0,0.0,0.0,0.0
Net Long Term Debt Issuance,4242000000.0,22554000000.0,14269000000.0,-5231000000.0
Long Term Debt Payments,-13564000000.0,-18863000000.0,-17188000000.0,-23886000000.0
Long Term Debt Issuance,17806000000.0,41417000000.0,31457000000.0,18655000000.0
Investing Cash Flow,-28662000000.0,-67153000000.0,-23512000000.0,-17581000000.0
Cash Flow From Continuing Investing Activities,-28662000000.0,-67153000000.0,-23512000000.0,-17581000000.0
Net Other Investing Changes,62000000.0,672000000.0,-2674000000.0,1257000000.0
Net Investment Purchase And Sale,-2265000000.0,0.0,0.0,0.0
Purchase Of Investment,-2265000000.0,0.0,0.0,0.0
Net Business Purchase And Sale,281000000.0,57000000.0,-520000000.0,-1000000.0
Sale Of Business,281000000.0,4122000000.0,0.0,28000000.0
Purchase Of Business,0.0,-4065000000.0,-520000000.0,-29000000.0
Net Intangibles Purchase And Sale,-3653000000.0,-47596000000.0,-2126000000.0,-898000000.0
Purchase Of Intangibles,-3653000000.0,-47596000000.0,-2126000000.0,-898000000.0
Capital Expenditure Reported,-23087000000.0,-20286000000.0,-18192000000.0,-17939000000.0
Operating Cash Flow,37141000000.0,39539000000.0,41768000000.0,35746000000.0
Cash Flow From Continuing Operating Activities,37141000000.0,39539000000.0,41768000000.0,35746000000.0
Change In Working Capital,-456000000.0,-890000000.0,56000000.0,-6713000000.0
Change In Payables And Accrued Expense,-33000000.0,1457000000.0,-966000000.0,-2359000000.0
Change In Payable,-33000000.0,1457000000.0,-966000000.0,-2359000000.0
Change In Account Payable,-33000000.0,1457000000.0,-966000000.0,-2359000000.0
Change In Prepaid Assets,928000000.0,150000000.0,1202000000.0,-2807000000.0
Change In Inventory,627000000.0,-905000000.0,-369000000.0,-76000000.0
Change In Receivables,-1978000000.0,-1592000000.0,189000000.0,-1471000000.0
Changes In Account Receivables,-1978000000.0,-1592000000.0,189000000.0,-1471000000.0
Other Non Cash Items,-3778000000.0,-93000000.0,2780000000.0,3099000000.0
Provisionand Write Offof Assets,1611000000.0,789000000.0,1380000000.0,1588000000.0
Asset Impairment Charge,0.0,0.0,0.0,186000000.0
Deferred Tax,2973000000.0,4264000000.0,1553000000.0,1232000000.0
Deferred Income Tax,2973000000.0,4264000000.0,1553000000.0,1232000000.0
Depreciation Amortization Depletion,17099000000.0,16206000000.0,16720000000.0,16682000000.0
Depreciation And Amortization,17099000000.0,16206000000.0,16720000000.0,16682000000.0
Amortization Cash Flow,2507000000.0,0.0,0.0,0.0
Amortization Of Intangibles,2507000000.0,0.0,0.0,0.0
Depreciation,14592000000.0,0.0,0.0,0.0
Operating Gains Losses,-2056000000.0,-3355000000.0,931000000.0,-116000000.0
Pension And Employee Benefit Expense,-2046000000.0,-3391000000.0,840000000.0,-284000000.0
Earnings Losses From Equity Investments,-10000000.0,36000000.0,91000000.0,74000000.0
Gain Loss On Sale Of Business,0.0,0.0,0.0,94000000.0
Net Income From Continuing Operations,21748000000.0,22618000000.0,18348000000.0,19788000000.0
