Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,621.90,630.20,621.90,627.29,624.93,12179223
2019-01-02,623.0,628.5,617.5,620.04,617.70,12386281
2019-01-03,621.40,622.0,603.65,607.95,605.65,13228602
2019-01-04,612.0,624.75,609.5,619.59,617.26,8381367
2019-01-07,626.0,640.70,624.20,637.45,635.04,11735286
2019-01-08,636.0,653.75,630.59,650.90,648.44,11879875
2019-01-09,652.34,672.04,652.34,670.09,667.57,18003387
2019-01-10,668.90,668.90,654.59,663.25,660.74,12751327
2019-01-11,665.0,668.5,658.20,666.5,663.98,8330315
2019-01-14,663.0,663.0,652.54,659.20,656.71,6856244
2019-01-15,661.29,664.25,655.04,660.59,658.10,5467484
2019-01-16,660.70,670.40,660.70,664.0,661.49,6598151
2019-01-17,669.90,680.0,665.59,676.65,674.09,10448209
2019-01-18,674.90,676.04,661.45,664.59,662.09,7037386
2019-01-21,661.54,664.5,656.5,660.29,657.80,6157956
2019-01-22,656.34,663.59,653.84,661.59,659.10,7951640
2019-01-23,659.5,667.0,658.59,661.59,659.10,7596006
2019-01-24,665.0,665.54,655.0,663.65,661.14,7013582
2019-01-25,665.20,676.84,665.20,669.75,667.22,6628922
2019-01-28,669.0,674.45,650.34,656.29,653.82,7792690
2019-01-29,658.5,671.0,649.54,660.75,658.25,8302420
2019-01-30,687.04,703.34,683.75,690.95,688.34,46912230
2019-01-31,697.25,726.84,689.04,722.70,719.97,35239544
2019-02-01,720.75,726.40,705.40,717.25,714.54,13792059
2019-02-04,711.29,724.5,708.0,720.5,717.78,8195956
2019-02-05,722.0,731.59,719.5,729.5,726.74,8665426
2019-02-06,731.29,734.5,715.59,725.75,723.01,8077340
2019-02-07,726.25,733.79,724.0,730.15,727.39,7203465
2019-02-08,727.0,732.79,716.25,719.40,716.68,7341956
2019-02-11,719.90,719.90,705.29,710.84,708.16,7234953
2019-02-12,701.0,713.40,700.0,705.59,702.93,15856819
2019-02-14,706.0,706.40,692.59,695.0,692.37,10383603
2019-02-15,700.0,704.0,681.70,686.59,684.00,10866440
2019-02-18,686.0,697.70,680.70,693.29,690.68,7135564
2019-02-19,693.29,705.40,689.65,693.04,690.43,6816325
2019-02-20,697.59,703.0,695.29,700.34,697.70,5772687
2019-02-21,700.5,706.5,695.09,697.20,694.56,6674353
2019-02-22,697.45,704.45,691.20,702.04,699.39,9822278
2019-02-25,702.90,705.79,696.09,703.70,701.04,11428024
2019-02-26,694.0,715.59,693.04,710.15,707.46,9166951
2019-02-27,714.95,727.79,713.04,718.20,715.48,13284424
2019-02-28,723.45,723.45,706.40,709.54,706.87,26230891
2019-03-01,713.5,714.95,699.54,702.40,699.74,7713824
2019-03-05,705.70,733.90,700.70,732.04,729.28,11298428
2019-03-06,733.90,733.90,712.54,720.59,717.87,10510670
2019-03-07,720.75,739.45,720.75,733.75,730.98,11263734
2019-03-08,732.0,737.25,728.40,733.40,730.63,7744794
2019-03-11,733.29,744.90,730.59,734.5,731.72,9421608
2019-03-12,738.70,749.0,738.54,742.54,739.74,8131901
2019-03-13,743.59,751.0,736.5,738.0,735.21,12333789
2019-03-14,740.0,749.70,737.40,740.59,737.80,7100875
2019-03-15,742.95,748.95,731.70,735.09,732.32,14560368
2019-03-18,741.0,753.84,740.25,747.0,744.18,8067253
2019-03-19,755.0,763.0,749.04,760.90,758.02,8818172
2019-03-20,760.75,767.0,754.34,755.75,752.89,9758274
2019-03-22,764.70,765.90,735.54,757.04,754.19,10355078
2019-03-25,752.70,755.0,741.15,745.70,742.88,7130411
2019-03-26,747.40,760.95,741.65,757.09,754.24,7300104
2019-03-27,761.29,770.0,755.84,759.29,756.43,7456768
2019-03-28,761.09,787.65,757.15,780.70,777.75,16643818
2019-04-01,780.95,783.0,760.59,765.59,762.70,6021202
2019-04-02,769.15,774.95,761.0,767.40,764.50,6592678
2019-04-03,770.0,772.75,758.70,761.5,758.62,5591613
2019-04-04,763.0,771.90,760.0,762.15,759.27,7009879
2019-04-05,763.95,768.75,756.09,762.20,759.32,5343947
2019-04-08,764.29,768.0,748.54,754.59,751.75,4918795
2019-04-09,755.0,766.0,751.0,763.40,760.51,5483424
2019-04-10,761.25,767.90,758.0,760.84,757.97,5933250
2019-04-11,760.5,761.34,747.0,752.29,749.46,5365803
2019-04-12,753.40,766.75,751.59,764.34,761.46,4671869
2019-04-15,764.0,770.20,760.0,762.84,759.97,3707106
2019-04-16,765.09,776.0,765.09,771.09,768.18,7088601
2019-04-18,778.40,779.0,769.0,771.20,768.28,6098041
2019-04-22,768.90,768.90,750.54,755.5,752.64,4185156
2019-04-23,757.45,759.29,749.0,753.25,750.40,5098170
2019-04-24,754.70,755.70,738.34,752.84,750.00,7825049
2019-04-25,754.0,758.54,738.54,740.90,738.10,10282068
2019-04-26,762.0,765.15,747.25,759.90,757.03,23294204
