Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,552.5,560.0,544.09,556.70,548.14,589317
2019-01-02,553.0,563.70,549.59,552.15,543.66,834846
2019-01-03,551.0,554.0,530.0,533.79,525.59,620161
2019-01-04,534.25,541.70,527.04,528.90,520.76,579027
2019-01-07,540.0,542.0,495.54,498.04,490.39,2684675
2019-01-08,482.0,501.0,471.0,477.04,469.71,7365909
2019-01-09,480.0,487.85,450.79,455.39,448.39,5226669
2019-01-10,452.0,474.79,451.10,471.54,464.29,8091914
2019-01-11,468.79,468.79,452.0,454.39,447.41,2690726
2019-01-14,453.60,455.79,437.45,443.20,436.38,1802629
2019-01-15,444.14,455.29,444.14,452.54,445.59,1668895
2019-01-16,453.0,457.95,446.95,448.64,441.75,728778
2019-01-17,450.70,454.0,447.5,449.75,442.83,679418
2019-01-18,452.0,452.60,439.0,440.14,433.38,518541
2019-01-21,442.0,442.0,425.0,426.60,420.04,681714
2019-01-22,425.89,425.89,407.10,408.95,402.66,1366028
2019-01-23,409.0,419.60,409.0,414.20,407.83,1023822
2019-01-24,419.0,419.20,408.5,413.89,407.53,1169284
2019-01-25,418.5,429.89,414.5,424.45,417.92,1308247
2019-01-28,424.89,428.70,411.25,417.70,411.27,675570
2019-01-29,415.0,416.0,403.0,409.60,403.30,624021
2019-01-30,415.0,415.0,404.0,405.95,399.70,687905
2019-01-31,410.0,410.0,397.0,403.95,397.73,957862
2019-02-01,404.5,410.64,397.95,404.85,398.62,1216281
2019-02-04,409.60,409.60,400.10,403.79,397.59,454495
2019-02-05,406.0,422.60,403.0,416.64,410.24,1358194
2019-02-06,421.89,444.0,420.5,440.39,433.62,2129366
2019-02-07,446.0,464.0,445.0,460.45,453.37,1862489
2019-02-08,465.0,468.95,453.95,464.75,457.60,981473
2019-02-11,466.0,468.0,451.5,464.20,457.06,502110
2019-02-12,463.60,477.95,457.25,471.79,464.54,991828
2019-02-14,478.29,484.60,473.60,479.35,471.97,533208
2019-02-15,479.0,484.0,468.14,473.0,465.72,687122
2019-02-18,476.0,477.0,465.0,468.35,461.14,329910
2019-02-19,466.0,479.79,458.0,475.85,468.53,382889
2019-02-20,476.20,478.89,472.0,477.25,469.91,365546
2019-02-21,479.0,494.89,478.04,488.70,481.18,1101018
2019-02-22,489.04,497.75,472.0,483.45,476.01,726569
2019-02-25,486.0,493.54,477.0,480.10,472.71,631008
2019-02-26,466.20,486.89,466.20,479.0,471.63,1697793
2019-02-27,483.79,487.95,472.0,480.29,472.91,1543240
2019-02-28,479.0,487.5,478.0,480.04,472.66,4454613
2019-03-01,484.5,486.0,478.0,480.04,472.66,242847
2019-03-05,483.0,492.04,480.0,486.5,479.01,444948
2019-03-06,493.0,508.0,486.5,501.04,493.34,1584714
2019-03-07,506.0,507.0,494.20,496.64,489.01,564316
2019-03-08,495.0,506.79,492.0,502.14,494.42,709084
2019-03-11,507.95,512.90,503.04,511.29,503.43,925642
2019-03-12,513.90,526.5,504.0,522.15,514.12,1557324
2019-03-13,523.90,525.0,514.0,517.0,509.05,480028
2019-03-14,518.0,524.70,511.54,513.59,505.70,416149
2019-03-15,516.84,521.40,510.0,511.64,503.78,490943
2019-03-18,508.0,508.0,490.10,492.39,484.82,823788
2019-03-19,493.0,503.29,487.45,500.60,492.90,669993
2019-03-20,502.0,505.0,495.79,497.70,490.04,269229
2019-03-22,500.5,508.0,499.75,501.85,494.13,1048361
2019-03-25,498.0,499.89,487.0,487.85,480.34,254805
2019-03-26,492.0,493.54,487.0,487.79,480.29,253540
2019-03-27,490.0,498.29,484.14,492.70,485.12,586002
2019-03-28,496.79,532.40,495.0,522.34,514.31,1603747
2019-04-01,528.5,534.59,525.59,530.09,521.94,602748
2019-04-02,532.79,536.0,520.29,531.34,523.17,514031
2019-04-03,532.09,554.70,532.09,550.20,541.74,1604829
2019-04-04,551.0,557.70,541.09,545.79,537.40,757129
2019-04-05,546.0,552.29,543.25,548.15,539.72,269553
2019-04-08,549.34,550.84,527.79,547.0,538.58,890939
2019-04-09,548.0,559.0,536.09,552.29,543.80,957580
2019-04-10,551.84,556.59,542.04,549.65,541.19,736805
2019-04-11,543.0,547.75,537.09,539.65,531.35,269565
2019-04-12,540.0,543.40,532.34,534.0,525.78,217318
2019-04-15,535.0,537.34,522.59,534.75,526.52,197838
2019-04-16,535.0,567.0,535.0,557.75,549.17,980542
2019-04-18,563.0,577.40,562.0,567.95,559.21,1053129
2019-04-22,566.0,579.90,557.95,562.54,553.90,738274
2019-04-23,566.90,578.29,565.0,575.75,566.89,969280
2019-04-24,582.75,609.90,580.0,605.5,596.18,2421671
2019-04-25,607.0,613.0,587.29,590.45,581.37,957629
2019-04-26,594.0,605.0,594.0,599.90,590.67,775197
2019-04-30,598.79,603.79,581.04,599.45,590.23,634914
2019-05-02,594.0,636.29,593.0,624.70,615.09,5514075
2019-05-03,625.25,635.90,619.0,622.5,612.92,1798457
2019-05-06,620.0,620.0,598.25,603.79,594.51,593783
2019-05-07,606.20,611.59,588.15,590.84,581.76,853243
2019-05-08,591.0,591.75,566.09,571.25,562.46,2406330
2019-05-09,568.29,581.0,564.79,571.90,563.10,567637
2019-05-10,575.0,582.5,567.0,574.70,565.86,573579
2019-05-13,571.40,575.45,547.34,553.25,544.74,448453
2019-05-14,545.0,552.5,536.15,542.79,534.45,569549
2019-05-15,542.34,557.5,542.34,553.75,545.23,497272
2019-05-16,557.90,563.70,550.04,557.75,549.17,549715
2019-05-17,558.79,565.0,549.45,561.0,552.37,354224
2019-05-20,590.0,609.75,585.0,605.09,595.79,1154868
2019-05-21,606.95,620.0,575.40,587.59,578.56,1085277
2019-05-22,589.59,608.0,588.5,599.54,590.33,1473089
2019-05-23,611.0,629.95,604.0,615.95,606.47,2407076
2019-05-24,620.09,623.90,582.79,596.29,587.13,2072973
2019-05-27,596.95,604.84,596.09,599.79,590.57,2528465
2019-05-28,603.0,603.79,591.70,595.0,585.85,284123
2019-05-29,597.84,602.09,586.29,589.0,579.94,299690
2019-05-30,590.25,600.5,590.25,595.65,586.49,274549
2019-05-31,596.0,600.09,590.0,591.70,582.60,202268
2019-06-03,591.09,602.90,582.0,599.75,590.52,426586
2019-06-04,599.79,600.90,590.5,592.09,582.99,362734
2019-06-06,594.5,594.90,580.0,582.09,573.14,295635
2019-06-07,582.15,583.79,558.0,559.25,550.65,481656
2019-06-10,566.79,568.90,549.0,552.45,543.95,314593
2019-06-11,553.04,561.5,542.0,559.59,550.99,411050
2019-06-12,564.95,564.95,549.0,554.90,546.36,279868
2019-06-13,545.0,552.70,538.09,546.54,538.14,422970
2019-06-14,538.0,540.0,532.29,538.65,530.36,599251
2019-06-17,538.0,545.70,537.0,539.90,531.59,343547
2019-06-18,543.45,562.0,541.0,558.65,550.06,1080054
2019-06-19,560.40,562.75,536.59,543.54,535.19,1367450
2019-06-20,548.5,548.5,534.0,535.84,530.53,325116
2019-06-21,536.90,540.65,520.0,530.75,525.48,556231
2019-06-24,531.40,548.0,531.0,533.90,528.60,339147
2019-06-25,534.95,535.45,526.0,527.70,522.46,203489
2019-06-26,525.59,536.15,525.0,535.04,529.74,410527
2019-06-27,537.09,541.65,532.59,537.79,532.46,583362
2019-06-28,536.0,544.54,533.5,538.75,533.41,301161
2019-07-01,542.15,549.0,538.5,545.5,540.09,352885
2019-07-02,548.0,560.59,544.0,559.34,553.80,449058
