Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,275.0,306.79,275.0,300.04,300.04,37124674
2019-12-05,303.89,313.5,294.0,297.60,297.60,7896739
2019-12-06,297.85,297.85,267.25,274.29,274.29,5530725
2019-12-09,270.0,277.0,262.0,269.25,269.25,2573011
2019-12-10,266.64,271.0,258.14,259.45,259.45,1177652
2019-12-11,256.0,258.75,238.10,240.69,240.69,2763231
2019-12-12,241.0,243.80,216.5,222.89,222.89,4606237
2019-12-13,220.14,239.0,218.5,235.69,235.69,5067316
2019-12-16,236.80,244.39,228.0,240.5,240.5,2294567
2019-12-17,243.0,249.75,240.0,245.64,245.64,1704620
2019-12-18,245.0,245.0,237.35,239.80,239.80,856066
2019-12-19,236.5,242.0,234.64,238.60,238.60,534437
2019-12-20,239.0,244.89,237.05,241.94,241.94,465629
2019-12-23,241.0,243.25,239.0,240.19,240.19,386104
2019-12-24,242.0,242.44,235.80,237.05,237.05,319736
2019-12-26,237.5,239.05,230.5,231.69,231.69,230536
2019-12-27,232.19,235.75,229.0,230.75,230.75,216093
2019-12-30,230.60,233.44,224.0,224.75,224.75,370598
2019-12-31,224.0,225.80,215.14,216.44,216.44,580382
2020-01-01,215.0,218.75,206.19,206.89,206.89,873909
2020-01-02,206.5,217.94,206.5,211.30,211.30,1329504
2020-01-03,211.30,211.30,206.30,208.05,208.05,538331
2020-01-06,206.10,207.0,198.30,199.89,199.89,582365
2020-01-07,201.89,209.89,201.5,207.85,207.85,733142
2020-01-08,204.0,206.30,200.55,203.85,203.85,378647
2020-01-09,207.0,208.25,203.10,204.10,204.10,298193
2020-01-10,205.0,206.39,200.55,201.55,201.55,312393
2020-01-13,203.5,204.0,197.05,197.85,197.85,393382
2020-01-14,200.0,200.0,192.25,192.94,192.94,590178
2020-01-15,198.75,202.0,192.85,195.55,195.55,2377078
2020-01-16,194.0,198.80,192.75,193.30,193.30,821724
2020-01-17,194.39,205.0,192.25,201.60,201.60,2193648
2020-01-20,202.69,203.69,195.5,197.60,197.60,563504
2020-01-21,196.5,199.30,195.30,196.05,196.05,260984
2020-01-22,197.80,200.39,195.39,195.85,195.85,358051
2020-01-23,196.94,198.19,194.64,196.14,196.14,280219
2020-01-24,196.14,202.35,195.64,199.35,199.35,460315
2020-01-27,198.0,202.75,196.10,196.75,196.75,300923
2020-01-28,196.75,198.75,194.25,194.75,194.75,165244
2020-01-29,196.60,197.0,190.0,193.0,193.0,176308
2020-01-30,193.0,193.35,186.10,186.69,186.69,288896
2020-01-31,186.60,188.30,181.0,183.94,183.94,409639
2020-02-03,184.10,188.94,180.44,182.10,182.10,302371
2020-02-04,183.19,188.85,183.0,186.80,186.80,224979
2020-02-05,198.5,198.5,189.0,190.19,190.19,876199
2020-02-06,191.39,191.69,185.69,186.35,186.35,231686
2020-02-07,187.0,187.69,184.30,185.30,185.30,177274
2020-02-10,184.5,185.0,179.0,180.25,180.25,168828
2020-02-11,181.5,183.39,177.0,179.39,179.39,151066
2020-02-12,179.0,180.0,168.0,169.44,169.44,433111
2020-02-13,170.0,175.0,163.19,173.89,173.89,821078
2020-02-14,174.5,176.69,169.05,171.39,171.39,208587
2020-02-17,170.60,170.60,165.0,166.19,166.19,167817
2020-02-18,166.0,166.14,160.5,161.94,161.94,220263
2020-02-19,162.0,164.60,162.0,162.55,162.55,140800
2020-02-20,162.0,168.69,160.5,164.25,164.25,276347
2020-02-24,163.0,166.0,160.14,164.64,164.64,194823
2020-02-25,164.5,166.14,162.30,165.25,165.25,153950
2020-02-26,165.0,179.30,161.94,176.55,176.55,818604
2020-02-27,179.80,179.80,171.85,176.64,176.64,474722
2020-02-28,170.0,181.85,166.0,172.39,172.39,414626
2020-03-02,175.0,177.14,169.64,171.25,171.25,192185
2020-03-03,171.0,177.0,170.35,174.64,174.64,160029
2020-03-04,175.44,175.44,166.0,167.60,167.60,137569
2020-03-05,166.5,172.35,165.05,170.5,170.5,157678
2020-03-06,161.0,171.69,152.25,159.39,159.39,344508
2020-03-09,160.30,162.35,149.80,151.44,151.44,169159
2020-03-11,152.0,154.80,142.44,143.69,143.69,189391
2020-03-12,140.0,140.0,121.5,125.69,125.69,237202
2020-03-13,106.65,128.35,101.34,126.05,126.05,251729
2020-03-16,128.0,128.0,117.15,118.59,118.59,148454
2020-03-17,118.94,124.0,115.09,117.80,117.80,187319
2020-03-18,119.0,121.0,107.05,108.25,108.25,121004
2020-03-19,105.0,111.90,100.5,101.94,101.94,163035
2020-03-20,105.15,119.90,102.34,114.09,114.09,286735
2020-03-23,105.0,109.84,99.05,102.84,102.84,124152
2020-03-24,109.0,109.0,99.0,99.69,99.69,92354
2020-03-25,98.0,101.69,95.59,100.05,100.05,82935
2020-03-26,99.65,111.44,98.0,105.15,105.15,134819
2020-03-27,109.84,114.30,103.59,104.34,104.34,155253
2020-03-30,103.90,111.90,103.19,110.0,110.0,257944
2020-03-31,110.0,118.90,110.0,118.05,118.05,402369
2020-04-01,115.0,116.84,112.0,113.59,113.59,55067
2020-04-03,115.0,115.0,107.05,110.40,110.40,59314
2020-04-07,114.25,115.34,110.40,112.40,112.40,44718
2020-04-08,112.0,121.40,111.5,117.94,117.94,143230
2020-04-09,118.19,122.5,117.15,117.69,117.69,53877
2020-04-13,119.80,127.44,111.25,112.90,112.90,322506
2020-04-15,117.90,117.90,109.0,110.30,110.30,565742
2020-04-16,112.0,114.0,109.5,112.84,112.84,111694
2020-04-17,115.05,118.75,113.94,117.55,117.55,168347
2020-04-20,119.34,124.5,116.0,121.0,121.0,202914
2020-04-21,119.5,126.0,114.0,120.15,120.15,331372
2020-04-22,119.30,122.05,116.0,117.09,117.09,150366
2020-04-23,119.0,119.69,116.09,116.59,116.59,84496
2020-04-24,116.5,116.5,109.34,110.55,110.55,95894
2020-04-27,111.0,114.0,111.0,112.80,112.80,96999
2020-04-28,113.80,118.0,112.5,117.25,117.25,164988
2020-04-29,118.59,128.80,117.65,122.0,122.0,539397
2020-04-30,124.5,126.15,116.15,120.5,120.5,259909
2020-05-04,115.0,118.34,114.19,117.44,117.44,168196
2020-05-05,118.0,120.94,114.5,116.19,116.19,154438
2020-05-06,116.80,116.80,110.55,111.34,111.34,245929
2020-05-07,112.0,113.80,111.09,112.69,112.69,132021
2020-05-08,113.5,115.0,113.5,114.19,114.19,93964
2020-05-11,114.59,118.0,114.09,116.80,116.80,70878
2020-05-12,115.5,118.30,113.40,117.30,117.30,237608
2020-05-13,121.5,121.84,117.55,120.55,120.55,103224
2020-05-14,120.94,120.94,115.0,116.94,116.94,64689
2020-05-15,116.94,121.0,116.0,117.19,117.19,146071
2020-05-18,117.0,117.0,111.09,113.19,113.19,217789
2020-05-19,115.90,116.75,112.09,113.44,113.44,151713
2020-05-20,114.0,116.0,113.15,115.0,115.0,99512
2020-05-21,115.59,120.0,114.0,116.65,116.65,61458
2020-05-22,117.0,118.80,114.19,116.94,116.94,134188
2020-05-26,118.80,118.80,115.19,116.5,116.5,113267
2020-05-27,117.0,126.30,116.30,123.15,123.15,414466
2020-05-28,125.0,126.05,122.19,124.05,124.05,170199
2020-05-29,122.5,124.80,120.15,122.94,122.94,37561
2020-06-01,123.80,131.0,123.05,127.09,127.09,208556
2020-06-02,126.0,133.0,125.25,131.30,131.30,316320
2020-06-03,132.44,139.05,132.0,135.94,135.94,189117
2020-06-04,136.44,136.85,133.14,135.14,135.14,74436
2020-06-05,136.0,137.39,131.05,134.30,134.30,96318
2020-06-08,134.30,143.0,134.30,138.0,138.0,214668
2020-06-09,139.19,141.0,130.0,131.64,131.64,188428
2020-06-10,131.69,135.5,127.75,132.0,132.0,542317
2020-06-11,136.0,139.89,133.05,134.80,134.80,212259
2020-06-12,128.5,135.39,128.5,134.89,134.89,75503
2020-06-15,134.89,143.64,133.75,141.35,141.35,712717
2020-06-16,148.0,154.0,144.0,152.14,152.14,960791
2020-06-17,152.69,152.69,147.0,148.0,148.0,179080
2020-06-18,150.89,153.89,146.5,150.55,150.55,173333
2020-06-19,151.0,179.89,151.0,164.19,164.19,1465697
2020-06-22,165.39,169.0,164.19,167.55,167.55,430739
2020-06-23,169.19,184.80,167.44,180.25,180.25,872373
2020-06-24,183.0,195.25,183.0,186.39,186.39,930573
2020-06-25,183.10,187.94,178.14,183.69,183.69,286693
2020-06-26,185.80,189.80,185.75,186.75,186.75,474270
2020-06-29,186.39,189.89,180.60,187.30,187.30,296330
2020-06-30,188.89,188.89,185.30,187.14,187.14,172334
2020-07-01,187.5,190.94,185.35,186.94,186.94,187783
2020-07-02,188.75,188.94,183.05,184.80,184.80,159066
2020-07-03,186.89,186.89,182.55,183.94,183.94,89372
2020-07-06,183.19,186.94,183.0,185.0,185.0,169935
2020-07-07,185.89,197.80,182.14,192.89,192.89,848832
2020-07-08,194.0,194.94,186.10,187.39,187.39,458589
2020-07-09,188.89,192.0,188.5,191.25,191.25,261734
2020-07-10,190.0,190.30,185.10,186.44,186.44,121093
2020-07-13,184.80,187.55,178.25,178.94,178.94,109775
2020-07-14,178.55,182.94,172.64,180.75,180.75,262929
