Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,544.34,582.95,511.04,543.90,543.90,10113420
2021-11-15,543.90,548.79,513.29,515.75,515.75,831926
2021-11-16,516.95,520.0,506.0,515.70,515.70,504339
2021-11-17,517.0,527.0,507.0,510.04,510.04,312070
2021-11-18,515.0,515.20,446.5,449.79,449.79,1086650
2021-11-22,445.0,445.95,366.14,397.10,397.10,1841844
2021-11-23,390.0,476.5,386.79,443.14,443.14,2446291
2021-11-24,451.0,492.0,448.79,471.60,471.60,1041435
2021-11-25,477.39,484.39,455.60,479.70,479.70,583124
2021-11-26,470.0,470.14,440.0,446.85,446.85,498782
2021-11-29,440.0,444.95,420.0,439.60,439.60,153702
2021-11-30,439.0,453.79,438.5,447.0,447.0,118045
2021-12-01,447.0,452.0,429.85,431.20,431.20,96465
2021-12-02,432.0,439.0,423.0,425.79,425.79,115248
2021-12-03,427.0,436.0,421.0,422.89,422.89,89200
2021-12-06,425.60,429.89,398.10,399.95,399.95,254173
2021-12-07,405.0,410.10,391.10,397.39,397.39,298219
2021-12-08,404.79,408.79,388.79,391.89,391.89,241258
2021-12-09,388.79,397.0,377.0,382.95,382.95,854246
2021-12-10,391.79,408.0,391.04,400.64,400.64,578667
2021-12-13,405.0,415.79,400.85,411.35,411.35,316252
2021-12-14,412.89,412.89,395.10,399.85,399.85,265977
2021-12-15,400.85,403.54,395.0,396.14,396.14,82346
2021-12-16,398.60,404.75,394.10,402.79,402.79,163273
2021-12-17,402.79,408.14,390.79,393.75,393.75,151246
2021-12-20,390.29,392.89,380.0,382.89,382.89,122071
2021-12-21,385.79,391.04,378.89,382.45,382.45,84637
2021-12-22,380.5,397.75,380.5,392.75,392.75,125053
2021-12-23,397.0,397.0,390.0,391.29,391.29,58962
2021-12-24,391.95,397.5,384.0,391.29,391.29,108016
2021-12-27,385.0,397.39,379.20,390.79,390.79,252737
2021-12-28,394.89,401.10,387.0,389.54,389.54,143426
2021-12-29,392.79,397.0,388.04,389.89,389.89,113857
2021-12-30,392.89,394.45,366.54,375.5,375.5,194955
2021-12-31,379.5,380.45,369.75,370.89,370.89,194704
2022-01-03,372.39,395.0,372.39,381.5,381.5,302978
2022-01-04,389.89,392.29,382.0,385.20,385.20,112518
2022-01-05,388.95,423.39,382.64,412.10,412.10,601063
2022-01-06,409.70,429.0,405.14,415.89,415.89,333229
2022-01-07,418.79,429.0,409.35,424.35,424.35,308137
2022-01-10,424.35,425.04,415.0,416.39,416.39,93541
2022-01-11,417.0,421.0,411.20,414.95,414.95,114335
2022-01-12,414.95,417.14,408.0,410.39,410.39,196889
2022-01-13,409.10,417.95,402.64,409.85,409.85,174345
2022-01-14,409.64,422.0,408.89,410.89,410.89,86657
2022-01-17,411.10,417.10,408.5,411.70,411.70,73020
2022-01-18,414.89,419.89,390.0,402.35,402.35,78253
2022-01-19,409.89,418.45,404.54,409.54,409.54,83440
2022-01-20,415.54,417.89,406.0,408.39,408.39,50674
2022-01-21,409.0,409.95,388.25,392.20,392.20,78111
2022-01-24,392.39,394.5,371.0,380.04,380.04,110064
2022-01-25,387.39,409.0,380.10,393.10,393.10,175904
2022-01-27,393.10,401.0,387.60,392.75,392.75,89574
2022-01-28,420.0,420.0,385.10,389.5,389.5,302333
2022-01-31,395.0,397.5,385.64,390.35,390.35,325864
2022-02-01,391.10,403.14,388.79,391.54,391.54,110086
2022-02-02,393.0,396.10,389.20,391.75,391.75,65196
2022-02-03,391.75,393.95,387.0,388.45,388.45,37979
2022-02-04,393.89,393.89,381.25,382.45,382.45,42633
2022-02-07,388.0,388.0,377.20,379.64,379.64,41534
2022-02-08,380.0,382.0,372.89,375.89,375.89,34246
2022-02-09,373.29,382.0,373.29,376.29,376.29,36857
2022-02-10,376.29,380.54,373.04,374.85,374.85,36664
2022-02-11,370.35,374.39,367.20,371.20,371.20,39056
2022-02-14,366.10,370.0,346.04,350.10,350.10,78411
2022-02-15,350.0,353.75,327.79,329.39,329.39,287391
2022-02-16,336.0,341.95,325.70,327.54,327.54,646039
2022-02-17,329.89,333.39,321.04,322.60,322.60,101802
2022-02-18,322.60,329.45,307.0,311.35,311.35,237032
2022-02-21,311.5,313.95,290.0,291.64,291.64,305980
2022-02-22,287.0,287.0,277.64,279.10,279.10,174964
2022-02-23,279.10,292.54,265.10,268.45,268.45,1559606
2022-02-24,253.10,259.75,245.05,248.80,248.80,208655
2022-02-25,252.0,260.95,251.44,257.5,257.5,127380
2022-02-28,257.0,299.0,210.05,283.60,283.60,357485
2022-03-02,274.0,279.45,261.25,264.14,264.14,286403
2022-03-03,269.0,272.29,255.0,257.25,257.25,201309
2022-03-04,254.0,269.04,252.19,262.0,262.0,192190
2022-03-07,255.0,269.0,252.05,266.35,266.35,163960
2022-03-08,260.20,269.85,257.29,267.25,267.25,90480
2022-03-09,269.0,283.5,267.25,280.25,280.25,118288
2022-03-10,289.0,289.0,280.0,281.89,281.89,110332
2022-03-11,285.0,294.0,278.0,290.0,290.0,70695
2022-03-14,293.0,293.0,281.54,287.60,287.60,121031
2022-03-15,287.60,289.39,281.89,285.60,285.60,79065
2022-03-16,282.0,293.75,282.0,288.85,288.85,82632
2022-03-17,294.0,294.5,284.20,286.95,286.95,76883
2022-03-21,287.95,290.10,282.14,284.0,284.0,52582
2022-03-22,284.0,286.95,277.5,278.39,278.39,40197
2022-03-23,279.70,285.0,277.14,281.04,281.04,478909
2022-03-24,279.04,288.0,279.04,286.5,286.5,89674
2022-03-25,286.5,287.89,275.0,275.75,275.75,62654
2022-03-28,282.0,285.75,262.54,265.29,265.29,221158
2022-03-29,268.0,270.45,259.60,262.14,262.14,130118
2022-03-30,264.70,267.89,257.54,259.79,259.79,87726
2022-03-31,261.10,264.64,250.0,251.39,251.39,122201
2022-04-01,251.60,274.0,251.5,270.45,270.45,196772
2022-04-04,272.0,292.5,271.10,289.39,289.39,273368
2022-04-05,289.39,294.5,281.95,286.10,286.10,193968
2022-04-06,288.39,295.25,280.20,289.29,289.29,138248
2022-04-07,290.95,314.95,290.64,306.04,306.04,410946
2022-04-08,308.79,310.64,291.0,299.10,299.10,128552
2022-04-11,304.0,325.95,301.10,321.25,321.25,258350
2022-04-12,320.0,321.25,300.64,304.60,304.60,181124
2022-04-13,325.0,325.0,307.79,311.79,311.79,306765
