Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,61.45,61.5,61.20,61.45,60.38,1127959
2019-01-02,61.40,61.5,61.25,61.34,60.29,2957494
2019-01-03,61.34,61.45,61.25,61.34,60.29,2076879
2019-01-04,61.40,61.65,61.25,61.45,60.38,3405689
2019-01-07,61.65,61.75,61.25,61.29,60.24,5901189
2019-01-08,61.29,62.95,61.04,61.90,60.83,2387232
2019-01-09,63.0,65.75,63.0,64.65,63.53,11347419
2019-01-10,64.30,64.90,62.40,62.70,61.61,3624448
2019-01-11,62.79,63.54,61.20,63.34,62.25,2772598
2019-01-14,63.15,63.29,62.09,62.70,61.61,1944072
2019-01-15,62.84,63.04,61.5,61.75,60.68,1760898
2019-01-16,61.75,62.75,61.54,61.95,60.88,1327059
2019-01-17,62.0,62.29,60.09,60.70,59.65,2825033
2019-01-18,60.90,60.95,57.95,58.20,57.19,3015286
2019-01-21,58.20,58.54,56.04,56.34,55.37,5299443
2019-01-22,56.79,57.5,56.15,57.09,56.11,4211709
2019-01-23,57.29,57.84,56.45,56.59,55.62,2465183
2019-01-24,57.29,57.90,54.90,56.04,55.08,4180297
2019-01-25,56.04,56.40,54.29,54.90,53.95,2843142
2019-01-28,55.04,55.15,52.90,53.59,52.67,3125334
2019-01-29,53.29,56.45,53.0,56.25,55.27,4055596
2019-01-30,56.25,56.40,53.90,54.40,53.46,3179220
2019-01-31,54.54,55.95,53.65,55.40,54.44,2345094
2019-02-01,55.75,55.95,52.20,52.75,51.83,4644706
2019-02-04,52.5,53.40,48.79,50.5,49.62,18989573
2019-02-05,49.75,50.0,46.45,47.04,46.23,13999310
2019-02-06,46.84,46.90,43.20,43.90,43.14,11643022
2019-02-07,43.59,45.04,43.09,43.95,43.19,9528082
2019-02-08,44.04,44.04,43.0,43.20,42.45,3251704
2019-02-11,43.20,44.5,41.54,43.09,42.35,6355587
2019-02-12,43.34,44.84,42.79,43.29,42.55,5068891
2019-02-14,43.5,45.75,42.90,45.20,44.42,4491856
2019-02-15,45.45,45.79,44.09,44.95,44.17,6379751
2019-02-18,44.15,45.0,41.5,42.20,41.47,7841495
2019-02-19,42.04,44.29,42.04,42.40,41.66,7918302
2019-02-20,42.70,44.0,42.65,43.75,42.99,6949312
2019-02-21,44.0,45.59,42.20,45.0,44.22,12372549
2019-02-22,44.84,44.84,42.95,43.09,42.35,10879789
2019-02-25,43.45,43.65,42.59,42.95,42.20,3305017
2019-02-26,42.5,43.0,41.75,42.25,41.52,4912210
2019-02-27,42.59,43.29,41.29,41.65,40.93,8953577
2019-02-28,42.0,43.04,41.95,42.84,42.11,7481825
2019-03-01,43.09,44.70,43.0,44.34,43.58,12286495
2019-03-05,44.45,48.15,44.09,46.25,45.45,18064820
2019-03-06,46.5,47.15,45.09,45.70,44.91,11013193
2019-03-07,46.0,46.09,43.75,44.04,43.28,19083532
2019-03-08,44.04,44.29,43.20,43.34,42.60,5093875
2019-03-11,44.0,45.45,44.0,44.84,44.07,14241702
2019-03-12,45.84,45.84,44.5,44.75,43.97,12075240
2019-03-13,44.65,44.75,43.0,43.09,42.35,16065984
2019-03-14,43.09,43.84,42.5,43.0,42.25,13405323
2019-03-15,43.75,43.84,42.54,42.79,42.06,21241201
2019-03-18,43.29,43.5,42.70,43.34,42.60,16429441
2019-03-19,43.5,43.75,43.20,43.29,42.55,11395745
2019-03-20,43.40,44.09,42.90,43.04,42.30,17307135
2019-03-22,43.25,43.29,42.45,42.65,41.91,5474672
2019-03-25,42.04,42.34,41.84,41.95,41.22,4226046
2019-03-26,42.15,43.0,41.90,42.40,41.66,9652018
2019-03-27,42.84,42.95,42.29,42.40,41.66,7208063
2019-03-28,42.45,45.0,42.29,44.59,43.83,16163754
2019-04-01,46.84,47.45,45.95,46.25,45.45,18225195
2019-04-02,46.40,47.0,45.09,45.84,45.05,9621082
2019-04-03,46.0,46.29,44.09,44.40,43.63,8606048
2019-04-04,44.45,44.90,43.70,44.25,43.48,13932478
2019-04-05,44.59,45.09,43.70,44.70,43.92,10080634
2019-04-08,45.75,45.75,43.84,44.15,43.38,8755748
2019-04-09,44.04,44.29,43.25,43.84,43.09,8034488
2019-04-10,43.54,44.25,43.15,43.95,43.19,8487911
2019-04-11,44.0,44.29,43.54,43.79,43.04,7632934
2019-04-12,44.40,44.40,43.29,44.0,43.24,8383615
2019-04-15,43.79,44.40,43.79,43.95,43.19,2482491
2019-04-16,44.09,44.45,43.79,43.95,43.19,2507082
2019-04-18,44.0,44.15,43.15,43.29,42.55,3123982
2019-04-22,43.29,43.29,42.29,42.5,41.76,5521798
2019-04-23,43.0,43.0,42.09,42.45,41.71,4771397
2019-04-24,42.5,43.5,42.15,43.25,42.50,4866342
2019-04-25,43.25,44.09,43.0,43.79,43.04,6664970
2019-04-26,44.04,44.40,42.34,42.84,42.11,7717077
2019-04-30,42.70,42.75,39.09,39.34,38.67,11608561
2019-05-02,39.09,40.65,39.0,40.04,39.35,4686712
2019-05-03,40.04,40.54,39.40,39.95,39.26,4704049
2019-05-06,39.40,39.84,38.29,38.59,37.93,4017719
2019-05-07,38.70,38.95,37.04,37.25,36.60,4301722
2019-05-08,37.40,37.54,36.75,37.04,36.41,3990622
2019-05-09,36.65,37.75,36.65,37.45,36.80,4172940
2019-05-10,37.59,38.40,36.75,37.25,36.60,5233900
2019-05-13,37.15,37.15,34.25,34.45,33.85,6277464
2019-05-14,33.90,36.75,33.25,36.29,35.67,9015221
2019-05-15,36.34,36.45,34.20,34.40,33.80,5740945
2019-05-16,34.54,34.84,33.90,34.45,33.85,3228985
2019-05-17,34.5,35.0,33.70,34.40,33.80,4124102
2019-05-20,35.09,38.0,35.09,37.59,36.95,6995445
2019-05-21,37.79,37.95,35.20,35.45,34.83,6025909
2019-05-22,35.54,36.90,34.65,36.54,35.91,12574403
2019-05-23,37.5,38.25,35.84,36.15,35.52,15056367
2019-05-24,36.59,37.59,36.29,37.40,36.75,6788832
2019-05-27,37.40,38.34,37.09,37.79,37.14,6290025
2019-05-28,37.95,38.25,37.29,37.84,37.19,8110483
2019-05-29,38.15,38.20,36.29,36.90,36.26,4149847
2019-05-30,36.79,38.29,36.59,38.0,37.34,6233955
2019-05-31,37.5,38.09,36.20,37.59,36.95,14186113
2019-06-03,37.59,37.90,36.5,36.84,36.21,6499164
2019-06-04,36.54,40.70,36.54,39.70,39.01,28869821
2019-06-06,39.65,39.65,36.75,37.29,36.65,15454314
2019-06-07,37.59,37.59,36.0,36.70,36.06,6725225
2019-06-10,37.25,37.84,36.09,36.45,35.82,4961706
2019-06-11,36.70,37.45,36.15,36.90,36.26,5496843
2019-06-12,36.5,36.75,36.0,36.45,35.82,7136704
2019-06-13,36.34,36.59,35.25,36.09,35.47,6945430
2019-06-14,36.04,36.5,35.5,35.79,35.18,8856665
2019-06-17,35.70,35.90,34.70,35.15,34.54,5169936
2019-06-18,35.29,35.34,34.59,34.79,34.19,2475719
2019-06-19,35.0,35.29,33.70,34.0,33.41,3168213
2019-06-20,33.75,34.45,33.54,34.29,33.70,3688825
2019-06-21,34.09,34.79,33.79,34.59,34.00,2719481
2019-06-24,34.70,35.40,34.09,34.40,33.80,3523077
2019-06-25,34.40,36.70,34.0,35.15,34.54,12653250
2019-06-26,35.09,36.34,35.0,36.04,35.42,9762231
2019-06-27,35.79,36.65,35.29,35.84,35.23,9571772
2019-06-28,35.84,37.5,35.25,35.5,34.88,12052180
2019-07-01,35.59,36.20,35.0,35.95,35.32,6141429
2019-07-02,35.90,36.40,35.25,36.15,35.52,6832773
2019-07-03,36.15,37.20,36.09,36.95,36.31,6825602
2019-07-04,36.95,37.84,36.79,37.65,37.00,7015717
2019-07-05,37.59,37.70,35.5,35.95,35.32,6666453
2019-07-08,35.5,35.65,33.90,34.25,33.65,6110689
2019-07-09,34.29,35.0,33.90,34.75,34.15,4516154
2019-07-10,34.90,35.29,34.15,34.45,33.85,4008700
2019-07-11,34.45,35.45,34.20,34.90,34.29,4969214
2019-07-12,34.84,35.5,34.54,34.95,34.34,2500996
2019-07-15,35.0,35.15,34.20,34.70,34.10,2672661
2019-07-16,34.59,35.45,34.45,35.0,34.39,3849340
2019-07-17,34.79,35.40,34.29,35.20,34.59,3785194
2019-07-18,35.0,35.04,34.29,34.45,33.85,2088363
2019-07-19,34.45,34.79,33.65,33.95,33.36,4202982
2019-07-22,33.59,34.09,33.0,33.40,32.82,4525932
2019-07-23,33.34,33.54,32.25,32.70,32.13,4552660
2019-07-24,32.65,33.29,31.60,31.79,31.25,9514098
