Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,43.40,43.54,43.09,43.34,43.34,5377735
2019-01-02,43.20,43.59,42.20,42.70,42.70,11044098
2019-01-03,42.65,43.40,42.40,43.04,43.04,9264868
2019-01-04,43.09,45.54,42.84,45.15,45.15,15503296
2019-01-07,46.0,47.45,45.5,46.15,46.15,32354449
2019-01-08,46.34,46.34,45.34,46.0,46.0,12865124
2019-01-09,46.15,46.54,45.59,46.25,46.25,16285665
2019-01-10,46.0,47.45,45.75,46.95,46.95,17758764
2019-01-11,46.70,47.25,46.40,46.70,46.70,11946044
2019-01-14,47.0,47.29,46.25,46.90,46.90,11332956
2019-01-15,47.15,47.29,46.75,47.04,47.04,9634146
2019-01-16,47.25,49.5,46.54,48.34,48.34,31360470
2019-01-17,48.75,49.0,47.04,47.25,47.25,20202858
2019-01-18,47.5,47.79,46.75,47.09,47.09,10430179
2019-01-21,47.54,47.54,46.09,46.40,46.40,12756283
2019-01-22,46.25,47.09,45.0,46.90,46.90,14796605
2019-01-23,46.90,47.95,46.84,47.29,47.29,11852586
2019-01-24,47.25,47.75,46.75,47.09,47.09,8296185
2019-01-25,47.20,47.75,46.0,46.65,46.65,15342427
2019-01-28,46.70,46.79,45.54,45.75,45.75,11538916
2019-01-29,45.40,46.54,45.40,46.20,46.20,14673988
2019-01-30,46.29,46.5,44.59,44.75,44.75,15419653
2019-01-31,45.0,45.95,43.59,45.20,45.20,33093404
2019-02-01,45.29,45.54,44.25,44.79,44.79,12112149
2019-02-04,44.75,44.75,42.84,43.29,43.29,12853599
2019-02-05,43.29,44.0,42.29,42.95,42.95,11112483
2019-02-06,42.20,42.65,40.25,41.59,41.59,30889439
2019-02-07,42.34,44.70,41.95,44.5,44.5,26199088
2019-02-08,44.29,45.0,43.20,44.25,44.25,14957867
2019-02-11,44.25,45.40,43.34,45.0,45.0,14059474
2019-02-12,45.25,45.79,44.70,45.25,45.25,14979480
2019-02-14,44.09,45.0,43.40,44.70,44.70,10052017
2019-02-15,44.79,44.90,43.65,44.40,44.40,11344842
2019-02-18,44.29,44.45,42.90,43.09,43.09,12960079
2019-02-19,42.84,44.0,42.84,43.40,43.40,7114351
2019-02-20,43.84,45.0,43.59,44.75,44.75,11652714
2019-02-21,44.84,45.45,44.79,45.0,45.0,9882790
2019-02-22,45.09,45.84,45.0,45.54,45.54,9042563
2019-02-25,45.90,46.25,45.54,45.90,45.90,9793857
2019-02-26,45.09,45.84,44.20,45.5,45.5,14147496
2019-02-27,45.90,45.95,44.40,44.95,44.95,13101139
2019-02-28,45.29,45.45,44.54,44.75,44.75,10850627
2019-03-01,45.25,47.70,45.15,47.5,47.5,22045972
2019-03-05,47.90,51.5,47.40,51.04,51.04,30830001
2019-03-06,51.45,52.29,50.34,51.25,51.25,30311010
2019-03-07,49.90,51.09,48.59,48.95,48.95,45974354
2019-03-08,48.75,49.59,48.5,48.95,48.95,16409981
2019-03-11,49.15,50.65,48.65,50.09,50.09,19344722
