Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,37.90,38.84,37.75,38.59,38.35,430485
2019-01-02,38.59,39.90,38.0,38.84,38.60,818355
2019-01-03,39.20,39.40,38.54,38.70,38.45,511536
2019-01-04,38.79,38.90,37.59,37.79,37.56,610331
2019-01-07,38.20,38.40,37.40,37.54,37.31,581911
2019-01-08,37.5,37.70,37.09,37.25,37.01,678594
2019-01-09,37.70,37.75,36.65,36.90,36.66,779872
2019-01-10,37.04,37.09,36.59,36.70,36.46,343440
2019-01-11,37.15,37.40,36.09,36.29,36.07,1311514
2019-01-14,37.70,38.09,36.79,37.29,37.06,5508683
2019-01-15,37.79,42.29,37.70,39.25,39.00,8086883
2019-01-16,39.70,40.29,39.0,39.15,38.90,3020490
2019-01-17,39.40,39.40,37.79,38.54,38.30,3051189
2019-01-18,38.79,38.90,38.04,38.5,38.25,1753022
2019-01-21,38.90,39.65,38.25,38.59,38.35,2328196
2019-01-22,38.65,38.90,38.15,38.75,38.50,988688
2019-01-23,38.90,39.09,38.54,38.70,38.45,1097160
2019-01-24,39.15,39.20,38.59,39.09,38.85,856145
2019-01-25,39.5,40.0,37.90,39.09,38.85,2346898
2019-01-28,39.5,39.90,38.65,39.59,39.35,1908266
2019-01-29,39.5,40.5,39.04,40.40,40.14,1582678
2019-01-30,40.90,41.70,40.40,41.29,41.03,1328705
2019-01-31,41.70,41.70,40.75,41.0,40.74,674211
2019-02-01,40.95,40.95,38.65,39.20,38.95,691958
2019-02-04,39.34,39.34,38.0,38.54,38.30,423276
2019-02-05,38.5,40.25,38.34,39.04,38.80,673684
2019-02-06,39.29,39.5,38.29,38.70,38.45,589674
2019-02-07,38.84,39.40,38.5,39.25,39.00,352841
2019-02-08,39.29,39.29,38.75,39.20,38.95,235245
2019-02-11,39.0,39.15,38.04,38.5,38.25,350852
2019-02-12,38.5,38.84,38.0,38.20,37.95,234021
2019-02-14,39.59,40.0,39.09,39.79,39.54,600067
2019-02-15,39.79,39.79,39.20,39.45,39.20,407379
2019-02-18,39.5,39.54,38.45,38.75,38.50,574881
2019-02-19,38.79,39.29,38.5,39.09,38.85,189668
2019-02-20,38.95,40.0,38.70,39.45,39.20,584549
2019-02-21,40.0,40.0,39.29,39.40,39.15,692905
2019-02-22,39.34,39.54,38.95,39.04,38.80,166031
2019-02-25,39.40,39.40,37.79,38.15,37.90,803201
2019-02-26,37.90,38.09,37.5,37.84,37.61,833002
2019-02-27,38.25,38.75,38.0,38.5,38.25,855843
2019-02-28,38.25,38.59,38.25,38.5,38.25,356180
2019-03-01,38.34,39.29,38.34,39.09,38.85,599858
2019-03-05,39.59,43.25,39.25,41.95,41.68,1347343
2019-03-06,43.75,50.29,43.75,49.40,49.08,10016452
2019-03-07,49.40,49.79,45.5,46.04,45.75,1567969
2019-03-08,45.75,47.0,45.20,45.70,45.41,940813
2019-03-11,45.70,46.90,45.5,46.04,45.75,796111
2019-03-12,46.65,46.90,45.79,46.20,45.90,797572
2019-03-13,46.25,49.15,45.84,47.5,47.20,1263056
2019-03-14,47.5,48.15,46.59,46.79,46.50,507710
2019-03-15,47.20,48.0,45.20,46.15,45.85,883353
2019-03-18,47.5,50.29,46.5,49.29,48.98,1649935
