Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1254.0,1256.0,1242.25,1250.44,1247.37,1202580
2019-01-02,1247.90,1248.25,1227.0,1240.59,1237.55,1713677
2019-01-03,1240.0,1251.0,1227.65,1235.25,1232.21,1825888
2019-01-04,1238.0,1252.0,1230.0,1247.94,1244.88,1468796
2019-01-07,1250.94,1254.0,1241.0,1246.59,1243.53,1211456
2019-01-08,1243.0,1244.19,1225.94,1228.90,1225.88,1661528
2019-01-09,1237.34,1244.0,1228.09,1238.25,1235.20,1647622
2019-01-10,1239.0,1242.0,1216.34,1219.55,1216.55,1651443
2019-01-11,1225.0,1229.19,1213.19,1223.19,1220.19,2129299
2019-01-14,1217.0,1224.44,1206.40,1211.75,1208.77,1364695
2019-01-15,1217.0,1220.0,1210.30,1213.40,1210.41,1153871
2019-01-16,1215.69,1216.94,1198.0,1202.75,1199.79,2374649
2019-01-17,1208.0,1225.05,1200.0,1219.94,1216.95,3934500
2019-01-18,1220.09,1243.0,1216.5,1240.19,1237.15,2598572
2019-01-21,1240.69,1275.5,1222.65,1267.59,1264.48,9785366
2019-01-22,1279.0,1307.94,1273.09,1291.75,1288.57,9072680
2019-01-23,1298.90,1298.90,1271.05,1276.5,1273.36,3258582
2019-01-24,1274.0,1276.5,1263.0,1267.75,1264.63,1459776
2019-01-25,1268.80,1287.69,1258.55,1266.15,1263.03,1441296
2019-01-28,1269.0,1285.0,1255.0,1260.44,1257.35,2054592
2019-01-29,1260.0,1273.0,1248.0,1251.40,1248.32,2591590
2019-01-30,1255.0,1255.5,1217.80,1222.19,1219.19,2754232
2019-01-31,1222.0,1260.0,1211.40,1255.75,1252.66,2968660
2019-02-01,1257.05,1270.80,1240.19,1255.69,1252.61,2189154
2019-02-04,1245.0,1274.69,1245.0,1272.19,1269.07,1379319
2019-02-05,1276.0,1287.0,1267.5,1279.15,1276.00,1917782
2019-02-06,1280.0,1288.80,1276.34,1279.5,1276.35,1158741
2019-02-07,1280.0,1295.0,1275.30,1284.55,1281.39,1198410
2019-02-08,1284.0,1311.0,1277.30,1299.40,1296.20,2481433
2019-02-11,1296.0,1315.0,1294.0,1301.55,1298.35,3144675
2019-02-12,1300.0,1310.0,1295.30,1298.65,1295.45,1482010
2019-02-14,1302.0,1302.25,1271.55,1286.80,1283.63,2491111
2019-02-15,1287.80,1290.0,1270.0,1283.65,1280.49,2006955
2019-02-18,1281.0,1288.0,1273.25,1277.05,1273.91,1265173
2019-02-19,1277.0,1285.25,1271.84,1280.44,1277.30,1268328
2019-02-20,1281.30,1292.0,1279.19,1289.75,1286.58,1350202
2019-02-21,1291.90,1297.59,1283.5,1289.15,1285.98,1819094
2019-02-22,1251.0,1258.0,1225.0,1237.90,1234.85,83859904
2019-02-25,1243.40,1246.84,1230.0,1240.94,1237.90,3735590
2019-02-26,1224.0,1249.69,1220.09,1236.15,1233.11,5026571
2019-02-27,1238.0,1241.59,1211.09,1216.15,1213.16,5388722
2019-02-28,1213.19,1225.05,1210.0,1213.09,1210.11,8722836
2019-03-01,1221.69,1230.5,1217.34,1225.94,1222.93,2162834
2019-03-05,1223.90,1246.30,1217.80,1240.44,1237.40,3128451
2019-03-06,1242.09,1247.0,1236.59,1241.30,1238.24,2306834
2019-03-07,1244.0,1246.0,1235.19,1237.19,1234.15,1434561
2019-03-08,1237.0,1243.5,1231.69,1238.90,1235.85,1051433
2019-03-11,1238.0,1254.90,1234.0,1249.55,1246.47,2065386
2019-03-12,1260.44,1272.0,1253.09,1263.34,1260.24,3541360
2019-03-13,1263.5,1269.09,1247.05,1261.25,1258.15,2425470
2019-03-14,1263.0,1277.44,1257.0,1268.94,1265.83,2497386
2019-03-15,1271.90,1339.34,1270.0,1325.15,1321.89,10393505
2019-03-18,1340.0,1360.0,1330.80,1343.65,1340.34,5384740
2019-03-19,1350.0,1355.0,1338.55,1347.75,1344.43,3117212
2019-03-20,1349.09,1357.90,1331.0,1351.59,1348.27,3969408
2019-03-22,1354.69,1364.65,1331.0,1336.25,1332.96,2620049
2019-03-25,1325.94,1330.84,1303.19,1308.65,1305.43,2869564
2019-03-26,1312.25,1347.94,1310.05,1342.94,1339.65,2051170
2019-03-27,1349.94,1363.90,1325.05,1332.84,1329.57,3039458
2019-03-28,1338.0,1352.0,1328.90,1340.75,1337.45,4616695
2019-04-01,1336.0,1362.0,1326.05,1339.40,1336.10,3167512
2019-04-02,1344.0,1344.84,1328.0,1339.44,1336.15,1775599
2019-04-03,1342.0,1357.44,1331.0,1334.19,1330.92,2766566
2019-04-04,1337.40,1344.75,1317.05,1322.90,1319.64,2592949
2019-04-05,1330.0,1340.05,1326.15,1335.94,1332.66,1743729
2019-04-08,1341.0,1347.5,1333.19,1343.25,1339.94,1587867
2019-04-09,1339.94,1347.15,1322.09,1341.44,1338.15,2246843
2019-04-10,1338.05,1367.94,1338.05,1349.90,1346.58,3031207
2019-04-11,1349.69,1349.94,1333.55,1343.19,1339.89,1348573
2019-04-12,1343.19,1348.0,1336.55,1343.44,1340.14,1704832
2019-04-15,1348.0,1378.0,1343.44,1373.84,1370.47,2879023
2019-04-16,1382.40,1390.44,1370.09,1386.40,1382.99,2332796
2019-04-18,1386.40,1392.0,1362.84,1369.65,1366.28,2408936
2019-04-22,1360.0,1365.80,1346.09,1356.69,1353.36,2419108
2019-04-23,1357.94,1368.55,1351.0,1355.34,1352.01,1619687
2019-04-24,1355.0,1370.0,1339.65,1366.75,1363.39,1934411
2019-04-25,1368.90,1377.0,1355.0,1360.40,1357.05,1807598
2019-04-26,1362.0,1384.40,1342.80,1379.25,1375.86,2560864
2019-04-30,1382.19,1397.0,1351.05,1386.55,1383.14,6210573
2019-05-02,1394.0,1421.75,1382.5,1406.34,1402.89,4780805
2019-05-03,1406.40,1435.75,1400.19,1417.80,1414.31,4269675
2019-05-06,1400.0,1417.0,1399.69,1410.40,1406.93,2109507
2019-05-07,1410.0,1425.0,1399.25,1408.15,1404.68,2786736
2019-05-08,1404.0,1414.90,1388.69,1402.19,1398.75,2539315
2019-05-09,1394.19,1407.90,1366.30,1385.5,1382.09,4704782
2019-05-10,1370.0,1406.5,1368.09,1398.15,1394.71,4149709
2019-05-13,1396.0,1399.75,1380.05,1389.34,1385.93,1654964
2019-05-14,1388.5,1397.0,1368.59,1382.94,1379.55,2930296
2019-05-15,1384.0,1403.55,1378.69,1395.80,1392.37,2122200
2019-05-16,1396.90,1423.44,1378.65,1413.15,1409.67,1423360
2019-05-17,1416.0,1469.80,1415.40,1460.0,1456.41,3799219
2019-05-20,1491.0,1505.30,1461.09,1502.55,1498.85,4668729
2019-05-21,1503.0,1514.80,1483.80,1487.90,1484.24,3224278
2019-05-22,1493.0,1517.69,1488.69,1495.25,1491.57,2498663
2019-05-23,1519.0,1555.90,1489.19,1499.75,1496.06,5796574
2019-05-24,1510.0,1524.0,1490.0,1511.69,1507.98,2873390
2019-05-27,1506.65,1533.0,1500.0,1529.40,1525.64,2228063
2019-05-28,1533.0,1533.0,1500.0,1511.0,1507.28,1993302
2019-05-29,1509.30,1530.0,1502.0,1513.90,1510.18,1450826
2019-05-30,1513.90,1541.75,1511.90,1535.34,1531.57,2939419
2019-05-31,1536.0,1544.0,1467.40,1522.15,1518.40,2760214
2019-06-03,1513.19,1534.80,1506.0,1531.25,1527.48,1235302
2019-06-04,1530.0,1540.0,1522.19,1531.34,1527.58,1174433
2019-06-06,1532.55,1540.90,1501.0,1514.25,1510.52,2044919
2019-06-07,1523.80,1523.80,1487.75,1511.80,1508.08,1533892
2019-06-10,1503.30,1510.90,1486.59,1502.59,1498.90,1715150
2019-06-11,1509.30,1514.25,1492.55,1507.69,1503.99,944811
2019-06-12,1500.0,1502.5,1476.15,1483.5,1479.85,1768429
2019-06-13,1482.0,1509.0,1476.94,1504.0,1500.30,2303315
2019-06-14,1504.05,1504.05,1465.59,1473.84,1470.22,1953510
