Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,15.5,15.69,15.44,15.64,15.12,7548684
2019-01-02,15.75,15.80,15.30,15.44,14.93,14015266
2019-01-03,15.5,15.5,15.25,15.30,14.79,7141374
2019-01-04,15.30,15.44,15.19,15.30,14.79,17673948
2019-01-07,15.39,15.44,15.25,15.25,14.74,13471836
2019-01-08,15.25,15.44,15.19,15.25,14.74,9027447
2019-01-09,15.35,15.55,15.19,15.39,14.88,19411726
2019-01-10,15.5,16.14,15.35,15.85,15.32,42508365
2019-01-11,15.85,15.94,15.60,15.69,15.17,13185866
2019-01-14,15.69,15.69,15.39,15.60,15.08,8538628
2019-01-15,15.64,15.80,15.44,15.60,15.08,8125706
2019-01-16,15.64,16.04,15.60,15.89,15.37,20214995
2019-01-17,16.0,16.14,15.55,15.69,15.17,18136437
2019-01-18,15.75,15.85,15.5,15.55,15.03,10627342
2019-01-21,14.80,14.80,14.14,14.19,13.72,57372861
2019-01-22,14.19,14.25,13.69,14.10,13.63,21279859
2019-01-23,14.10,14.19,13.89,13.94,13.48,10168856
2019-01-24,14.10,14.10,13.75,13.80,13.34,9411258
2019-01-25,13.75,13.89,13.35,13.44,13.00,13275228
2019-01-28,13.39,13.39,13.0,13.14,12.71,14794262
2019-01-29,13.14,13.55,13.05,13.30,12.85,11549546
2019-01-30,13.5,13.5,13.10,13.14,12.71,11424999
2019-01-31,13.30,13.35,12.85,13.14,12.71,21522245
2019-02-01,13.19,13.44,13.0,13.10,12.66,12649268
2019-02-04,13.10,13.30,12.89,13.19,12.76,17469442
2019-02-05,13.30,13.30,12.80,12.85,12.42,13132894
2019-02-06,12.89,13.0,12.64,12.94,12.51,12916897
2019-02-07,13.0,14.0,12.80,13.69,13.24,22796284
2019-02-08,13.69,14.44,13.35,13.44,13.00,25900049
2019-02-11,13.44,13.60,13.10,13.5,13.05,11998074
2019-02-12,13.5,13.5,13.05,13.14,12.71,15284378
2019-02-14,13.0,13.35,12.85,13.19,12.76,8373761
2019-02-15,13.10,13.19,12.85,12.94,12.51,13329601
2019-02-18,13.10,13.10,12.85,12.89,12.47,6436672
2019-02-19,12.89,13.0,12.80,12.85,12.42,8251665
2019-02-20,12.85,13.19,12.85,13.10,12.66,7416343
2019-02-21,13.19,13.35,13.10,13.25,12.80,6171437
2019-02-22,13.25,13.64,13.19,13.60,13.14,10080107
2019-02-25,13.60,13.75,13.35,13.5,13.05,9857119
2019-02-26,13.35,13.44,13.05,13.30,12.85,9035689
2019-02-27,13.39,13.60,13.14,13.25,12.80,9002357
2019-02-28,13.30,13.39,13.10,13.19,12.76,12980510
2019-03-01,13.30,13.69,13.25,13.64,13.19,12485188
2019-03-05,13.60,14.5,13.5,14.35,13.87,33927274
2019-03-06,14.39,15.5,14.35,15.10,14.59,34583518
2019-03-07,15.10,15.39,14.80,15.14,14.64,36561024
2019-03-08,15.14,15.30,14.69,14.80,14.30,18213337
2019-03-11,14.80,15.80,14.80,15.5,14.98,40590250
2019-03-12,15.55,15.80,15.25,15.30,14.79,25264309
2019-03-13,15.35,15.39,15.05,15.25,14.74,24172612
2019-03-14,15.25,15.39,15.10,15.14,14.64,10566981
2019-03-15,15.05,15.80,15.05,15.55,15.03,37661626
2019-03-18,15.60,16.20,15.5,15.75,15.22,34119102
2019-03-19,15.89,16.14,15.85,16.04,15.51,24566041
2019-03-20,16.04,16.20,15.94,16.04,15.51,23929801
2019-03-22,16.10,16.25,15.85,15.94,15.41,20466587
2019-03-25,15.89,15.89,15.55,15.69,15.17,12745219
2019-03-26,15.69,15.89,15.69,15.80,15.27,7527156
2019-03-27,16.0,16.10,15.80,15.85,15.32,17224635
2019-03-28,16.0,16.64,15.89,16.5,15.95,23006627
2019-04-01,16.54,17.39,16.54,17.04,16.48,36306969
2019-04-02,17.20,17.25,16.70,17.04,16.48,19738465
2019-04-03,17.14,17.29,16.60,16.75,16.19,13119873
2019-04-04,16.79,16.89,16.35,16.54,15.99,14887522
2019-04-05,16.64,17.75,16.54,17.5,16.91,39451021
2019-04-08,18.25,18.5,17.20,17.39,16.82,91484383
2019-04-09,17.39,17.45,16.85,17.20,16.62,24177251
2019-04-10,17.20,17.64,17.10,17.29,16.72,19324551
2019-04-11,17.35,17.5,17.25,17.45,16.86,16482866
2019-04-12,17.60,17.60,17.25,17.29,16.72,8053843
2019-04-15,17.5,17.75,17.29,17.54,16.96,11993611
2019-04-16,17.64,17.70,17.5,17.60,17.01,10247697
2019-04-18,17.70,17.70,17.04,17.20,16.62,13273694
2019-04-22,17.20,17.29,16.79,16.89,16.33,10911018
2019-04-23,17.0,17.0,16.20,16.45,15.90,17234607
2019-04-24,16.25,16.5,16.20,16.39,15.85,14790976
2019-04-25,16.5,16.75,16.25,16.35,15.80,11047106
2019-04-26,16.29,16.60,16.29,16.35,15.80,7947333
2019-04-30,16.39,16.45,15.44,15.55,15.03,15244310
2019-05-02,15.55,16.10,15.44,15.89,15.37,9791203
2019-05-03,15.89,16.14,15.85,16.04,15.51,8688131
2019-05-06,16.0,16.39,15.75,16.14,15.61,7128337
2019-05-07,16.25,16.29,15.39,15.5,14.98,11480766
2019-05-08,15.55,15.64,15.25,15.39,14.88,10008206
2019-05-09,15.39,15.60,15.0,15.25,14.74,15938146
2019-05-10,14.80,15.0,13.69,14.05,13.58,51854589
2019-05-13,14.0,14.25,13.60,13.75,13.29,13155373
2019-05-14,13.75,13.89,13.25,13.80,13.34,16295150
2019-05-15,14.0,14.0,13.14,13.19,12.76,17163241
2019-05-16,13.19,13.44,13.10,13.35,12.90,12164178
2019-05-17,13.35,13.55,13.19,13.35,12.90,11444231
2019-05-20,13.80,14.19,13.69,14.05,13.58,18903446
2019-05-21,14.19,14.30,13.55,13.80,13.34,17009458
2019-05-22,13.80,14.05,13.55,13.89,13.43,12483185
2019-05-23,14.30,14.5,13.80,13.89,13.43,24391440
2019-05-24,13.94,14.44,13.89,14.35,13.87,14510653
2019-05-27,14.5,15.14,14.35,14.94,14.45,20044808
2019-05-28,15.05,15.10,14.60,14.80,14.30,12915624
2019-05-29,14.80,14.85,14.44,14.55,14.06,9635486
2019-05-30,14.55,14.60,14.25,14.35,13.87,10349813
2019-05-31,14.44,14.5,13.89,14.14,13.67,12648568
2019-06-03,14.30,14.30,13.89,14.14,13.67,6250832
2019-06-04,14.0,14.39,14.0,14.25,13.77,7342988
2019-06-06,14.35,14.39,13.75,13.80,13.34,10500998
2019-06-07,13.89,13.94,13.60,13.75,13.29,6994744
2019-06-10,13.89,13.94,13.44,13.64,13.19,13341459
2019-06-11,13.64,13.75,13.35,13.64,13.19,9534546
2019-06-12,13.60,13.69,13.44,13.60,13.14,6508315
2019-06-13,13.60,13.64,13.19,13.35,12.90,14226287
2019-06-14,13.39,13.39,13.0,13.19,12.76,14490557
2019-06-17,13.35,13.60,13.10,13.35,12.90,12531746
2019-06-18,13.25,13.75,13.14,13.25,12.80,17436483
2019-06-19,13.35,13.5,13.0,13.05,12.61,14733824
2019-06-20,13.0,13.30,12.89,13.14,12.71,13022148
2019-06-21,13.25,13.30,13.05,13.14,12.71,6805760
2019-06-24,13.19,13.19,13.0,13.14,12.71,7471628
2019-06-25,13.14,13.55,13.10,13.5,13.05,10393715
2019-06-26,13.5,13.60,13.10,13.19,12.76,13785527
2019-06-27,13.25,13.39,12.85,12.94,12.51,39590239
2019-06-28,13.10,13.10,12.94,13.0,12.56,7381182
2019-07-01,13.05,13.14,13.0,13.05,12.61,3810797
2019-07-02,13.10,13.10,12.75,12.80,12.37,11134914
2019-07-03,12.85,13.0,12.75,12.94,12.51,5824657
2019-07-04,13.05,13.05,12.94,13.0,12.56,5483047
2019-07-05,13.0,13.05,12.94,13.0,12.56,4009710
2019-07-08,13.0,13.0,12.80,12.89,12.47,5276603
2019-07-09,12.85,12.89,12.75,12.80,12.61,5488867
2019-07-10,12.85,12.85,12.5,12.55,12.37,5676866
2019-07-11,12.60,13.19,12.39,13.05,12.86,11155913
2019-07-12,13.10,13.14,12.89,13.10,12.91,5839599
2019-07-15,13.19,13.25,13.0,13.05,12.86,3197770
2019-07-16,13.0,13.25,12.89,13.14,12.96,3957255
2019-07-17,13.25,13.35,13.14,13.30,13.11,5029051
2019-07-18,13.25,13.35,12.94,13.0,12.81,8117374
2019-07-19,13.05,13.10,12.60,12.69,12.51,6622396
2019-07-22,12.64,12.75,12.44,12.55,12.37,5503031
2019-07-23,12.60,12.64,12.44,12.5,12.32,4188883
2019-07-24,12.55,12.64,12.5,12.55,12.37,2955637
2019-07-25,12.60,12.85,12.0,12.39,12.22,9107164
2019-07-26,12.69,13.39,12.64,13.0,12.81,16549970
2019-07-29,13.25,13.25,12.69,12.85,12.66,5395524
2019-07-30,12.80,12.94,12.30,12.39,12.22,5685964
2019-07-31,12.5,12.5,12.10,12.25,12.07,6525422
2019-08-01,12.35,12.35,11.94,12.0,11.82,9102924
2019-08-02,11.94,12.0,11.80,11.89,11.73,9030124
2019-08-05,11.89,11.89,11.5,11.55,11.38,5465302
2019-08-06,11.5,11.80,11.44,11.64,11.48,5955013
2019-08-07,11.69,11.80,11.60,11.69,11.53,4361722
2019-08-08,11.75,11.80,11.5,11.64,11.48,5947993
2019-08-09,11.80,11.89,11.69,11.75,11.58,3697295
2019-08-13,11.89,11.89,11.5,11.55,11.38,5685260
2019-08-14,11.60,11.64,11.55,11.55,11.38,3247662
