Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,58.75,62.79,53.04,55.95,53.73,251414527
2019-12-13,55.40,55.40,51.09,52.0,49.93,40886357
2019-12-16,52.0,59.65,51.25,58.45,56.13,75723164
2019-12-17,60.34,61.09,57.5,58.65,56.32,59177594
2019-12-18,58.54,58.90,56.75,57.79,55.50,16440516
2019-12-19,57.09,59.40,56.65,59.09,56.75,16846660
2019-12-20,58.79,59.70,57.59,58.09,55.79,9016461
2019-12-23,57.75,58.59,56.20,56.40,54.16,6044590
2019-12-24,56.5,56.95,55.29,55.54,53.34,5209932
2019-12-26,55.54,55.90,53.20,53.59,51.47,6485440
2019-12-27,53.90,55.40,53.15,53.54,51.42,8207009
2019-12-30,53.40,54.70,53.29,54.04,51.90,5161631
2019-12-31,54.0,54.79,53.75,53.84,51.71,2608305
2020-01-01,53.84,54.20,52.90,53.04,50.94,3369319
2020-01-02,53.29,57.25,52.90,55.59,53.39,10788226
2020-01-03,55.59,56.20,54.65,54.90,52.72,3802527
2020-01-06,54.79,54.79,53.0,53.20,51.09,2878675
2020-01-07,53.5,54.29,53.25,53.59,51.47,2223498
2020-01-08,52.70,54.40,52.09,54.04,51.90,2992351
2020-01-09,55.0,55.0,52.90,53.15,51.04,5424010
2020-01-10,53.29,53.75,51.79,52.20,50.13,4962166
2020-01-13,52.25,53.0,52.25,52.54,50.46,2490710
2020-01-14,52.84,53.5,52.29,52.54,50.46,2848871
2020-01-15,52.90,52.90,51.59,51.70,49.65,4121422
2020-01-16,51.95,52.95,51.20,51.5,49.45,3698950
2020-01-17,51.70,51.90,50.29,50.40,48.40,4884518
2020-01-20,50.75,50.79,48.59,49.04,47.10,4565526
2020-01-21,49.25,50.59,48.34,49.95,47.97,4427125
2020-01-22,50.79,52.90,49.75,51.34,49.31,7374048
2020-01-23,52.0,54.20,52.0,53.59,51.47,14228890
2020-01-24,54.0,55.29,53.70,54.79,52.62,6737755
2020-01-27,55.0,55.95,54.0,54.59,52.43,4975971
2020-01-28,54.59,56.25,54.5,55.04,52.86,5831800
2020-01-29,55.5,55.75,54.79,54.90,52.72,2661337
2020-01-30,54.90,56.0,53.84,55.45,53.25,3154683
2020-01-31,56.09,56.40,55.54,55.79,53.58,3129732
2020-02-03,53.5,54.25,53.0,53.25,51.13,1987363
2020-02-04,53.90,54.5,53.40,54.04,51.90,2223160
2020-02-05,53.70,57.79,53.59,56.25,54.02,6277829
2020-02-06,56.20,58.20,55.79,56.75,54.50,4033152
2020-02-07,56.84,56.90,55.75,55.95,53.73,1442427
2020-02-10,55.79,55.95,54.5,54.95,52.77,1347813
2020-02-11,55.09,55.95,54.09,54.95,52.77,2048203
2020-02-12,55.0,55.29,54.09,54.29,52.14,1554938
2020-02-13,54.04,55.15,53.59,54.70,52.53,1947090
2020-02-14,55.0,55.5,54.09,54.5,52.34,1393438
2020-02-17,54.0,54.45,53.20,53.5,51.37,1305086
2020-02-18,53.04,53.5,52.20,52.79,50.70,1124779
2020-02-19,53.0,53.90,52.90,53.04,50.94,2178575
2020-02-20,52.79,53.59,52.45,53.25,51.13,1351336
2020-02-24,53.0,53.20,51.5,51.65,49.60,1453779
2020-02-25,51.65,52.15,50.84,51.15,49.12,1422367
2020-02-26,51.0,51.25,49.15,49.84,47.87,2892356
2020-02-27,50.0,50.0,48.65,49.54,47.58,1753310
2020-02-28,48.0,48.79,47.0,48.40,46.48,2657101
2020-03-02,50.5,50.90,48.25,48.70,46.76,2200495
2020-03-03,48.70,49.70,48.0,48.79,46.86,1485021
2020-03-04,48.75,50.0,46.5,49.09,47.15,2324931
2020-03-05,49.5,50.20,48.5,49.84,47.87,1102893
2020-03-06,46.0,47.0,39.90,44.40,42.64,3685026
2020-03-09,42.0,42.84,40.09,40.79,39.18,2999073
2020-03-11,41.0,42.75,40.5,41.29,39.66,1915840
2020-03-12,37.0,39.70,37.0,38.70,37.16,3275828
2020-03-13,32.5,43.0,31.0,41.29,39.66,4106623
2020-03-16,39.79,41.84,38.09,39.5,37.93,2766265
2020-03-17,39.5,40.5,36.04,36.84,35.38,2678737
2020-03-18,37.5,38.45,31.54,31.95,30.68,4902990
2020-03-19,30.5,31.29,28.70,30.04,28.85,2967208
2020-03-20,30.70,31.20,29.0,29.39,28.23,3789663
2020-03-23,27.0,28.64,25.0,25.39,24.39,2705682
2020-03-24,26.0,27.39,23.60,24.10,23.14,1780301
2020-03-25,23.60,25.0,23.10,24.35,23.38,1513021
