Date,Open,High,Low,Close,Adj Close,Volume
2023-07-21,40.0,48.0,37.20,48.0,48.0,265460620
2023-07-24,52.95,56.29,50.20,51.29,51.29,115622544
2023-07-25,52.5,53.84,48.75,51.20,51.20,31533256
2023-07-26,52.0,52.20,49.90,50.09,50.09,8829772
2023-07-27,49.95,50.45,48.0,48.15,48.15,8765735
2023-07-28,48.95,51.65,48.59,51.25,51.25,14506626
2023-07-31,52.0,52.59,51.0,51.45,51.45,7674595
2023-08-01,51.65,51.90,50.59,51.09,51.09,4207530
2023-08-02,51.20,51.59,48.79,49.84,49.84,6582622
2023-08-03,50.40,51.20,49.5,50.40,50.40,3790377
2023-08-04,50.84,51.40,50.0,50.75,50.75,3991555
2023-08-07,51.75,54.95,50.90,53.29,53.29,15148835
2023-08-08,53.79,53.79,51.15,51.59,51.59,6930700
2023-08-09,51.0,51.29,49.59,50.34,50.34,6089259
2023-08-10,50.0,51.65,50.0,50.34,50.34,3365576
2023-08-11,50.40,51.29,50.34,50.90,50.90,2195425
2023-08-14,51.0,51.15,49.90,50.54,50.54,2560844
2023-08-16,50.5,52.25,50.25,51.65,51.65,3786319
2023-08-17,51.0,51.0,48.90,49.0,49.0,7062918
2023-08-18,49.09,49.59,47.59,48.20,48.20,5971511
2023-08-21,48.45,49.0,47.59,47.75,47.75,3696307
2023-08-22,48.0,49.0,47.59,47.75,47.75,4257457
2023-08-23,47.79,48.40,47.40,47.65,47.65,2858126
2023-08-24,47.79,48.5,47.40,48.09,48.09,4583853
2023-08-25,48.34,49.34,47.95,49.04,49.04,5463062
2023-08-28,49.45,49.45,47.84,48.54,48.54,2718149
2023-08-29,48.75,49.15,48.0,48.25,48.25,2953267
2023-08-30,48.5,49.04,47.79,48.04,48.04,1722568
2023-08-31,48.40,48.59,47.45,47.79,47.79,1702358
2023-09-01,47.79,48.34,47.70,48.0,48.0,1322282
2023-09-04,48.5,48.59,47.70,48.09,48.09,2256946
2023-09-05,47.75,48.95,47.75,48.5,48.5,2738046
2023-09-06,48.65,48.65,47.95,48.09,48.09,1622237
2023-09-07,48.15,48.40,47.84,48.04,48.04,1603541
2023-09-08,48.29,49.40,47.75,48.09,48.09,7520898
2023-09-11,48.40,48.54,47.84,47.95,47.95,2888628
2023-09-12,48.0,48.09,45.90,47.59,47.59,5299888
2023-09-13,47.90,50.45,46.65,49.59,49.59,9240077
2023-09-14,50.09,50.29,49.0,49.45,49.45,2585561
2023-09-15,49.79,52.29,49.25,50.54,50.54,8829787
2023-09-18,50.95,53.0,50.40,51.59,51.59,10010300
2023-09-20,51.75,54.09,50.54,51.34,51.34,8062744
2023-09-21,51.29,51.70,49.75,49.90,49.90,3072338
2023-09-22,49.79,50.75,49.20,50.0,50.0,2000322
2023-09-25,50.34,50.40,49.75,50.04,50.04,907105
2023-09-26,50.15,50.84,49.5,49.75,49.75,1840882
2023-09-27,49.95,51.20,49.25,50.0,50.0,3395217
2023-09-28,50.29,51.90,50.20,50.95,50.95,3021148
2023-09-29,51.5,52.09,51.04,51.25,51.25,2009106
2023-10-03,51.5,52.70,51.20,51.59,51.59,2734866
2023-10-04,51.5,53.15,51.0,51.34,51.34,4346738
2023-10-05,51.65,61.59,51.65,59.54,59.54,69218167
2023-10-06,60.29,60.90,58.09,58.75,58.75,24078050
2023-10-09,57.09,57.29,53.04,54.04,54.04,19141335
2023-10-10,54.45,56.70,53.79,56.34,56.34,12586119
2023-10-11,57.29,58.15,56.0,56.54,56.54,9751789
2023-10-12,56.84,56.95,55.25,55.70,55.70,4272916
2023-10-13,54.59,59.65,54.59,59.04,59.04,18215827
2023-10-16,57.90,58.95,54.65,55.09,55.09,16586930
2023-10-17,56.0,56.20,54.09,54.45,54.45,7337866
2023-10-18,54.54,55.59,53.40,54.75,54.75,6420608
2023-10-19,54.59,54.59,53.75,53.84,53.84,3491016
2023-10-20,53.84,54.5,52.45,53.54,53.54,5243212
2023-10-23,53.0,53.79,49.75,50.04,50.04,8850473
2023-10-25,50.79,51.5,48.0,48.95,48.95,8779782
2023-10-26,48.59,50.0,47.29,49.65,49.65,7146529
2023-10-27,49.90,50.29,49.09,50.0,50.0,5700491
2023-10-30,50.5,50.79,48.79,49.95,49.95,3546955
2023-10-31,50.65,50.90,49.45,50.0,50.0,3427531
2023-11-01,50.15,51.40,49.45,49.84,49.84,4921969
2023-11-02,50.34,50.70,49.75,50.0,50.0,3753632
2023-11-03,50.40,51.15,50.0,50.25,50.25,3653093
2023-11-06,51.29,52.29,50.79,51.65,51.65,6277722
2023-11-07,52.15,52.34,51.0,51.29,51.29,3381885
2023-11-08,51.59,51.84,50.0,50.09,50.09,5272477
2023-11-09,50.20,51.20,49.75,49.90,49.90,5727484
2023-11-10,49.84,50.59,49.5,50.34,50.34,2537698
2023-11-13,51.40,53.45,50.75,52.90,52.90,7421233
2023-11-15,53.90,54.0,52.79,53.20,53.20,5536228
2023-11-16,53.45,53.5,52.5,52.65,52.65,2366966
2023-11-17,51.29,52.25,51.29,51.70,51.70,2792029
2023-11-20,51.70,51.95,50.65,50.84,50.84,2709347
