Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,119.44,124.0,118.19,123.30,116.24,23311973
2019-01-02,123.5,124.44,118.19,119.34,112.52,25568039
2019-01-03,121.40,123.40,118.09,119.30,112.47,40246215
2019-01-04,120.40,122.40,118.5,121.69,114.73,22277306
2019-01-07,122.5,123.75,121.59,122.69,115.68,14244449
2019-01-08,122.90,124.15,121.69,123.84,116.76,11438177
2019-01-09,124.09,124.59,121.40,122.94,115.91,12747179
2019-01-10,122.5,124.15,121.84,123.44,116.38,8763655
2019-01-11,123.80,123.90,119.65,121.15,114.22,13442566
2019-01-14,120.94,123.09,120.09,120.94,114.03,13655552
2019-01-15,121.30,122.15,120.75,121.09,114.17,8076763
2019-01-16,121.09,123.25,120.80,121.0,114.07,10282923
2019-01-17,121.5,121.59,118.09,119.19,112.38,9553120
2019-01-18,119.19,119.90,117.55,118.0,111.25,6772442
2019-01-21,118.30,119.09,115.80,116.44,109.78,8481086
2019-01-22,116.44,116.84,113.40,113.80,107.29,9138823
2019-01-23,114.0,114.69,111.05,111.30,104.93,10399387
2019-01-24,112.0,114.80,111.44,113.0,106.53,13283892
2019-01-25,113.30,114.19,109.5,110.19,103.89,8760153
2019-01-28,111.0,112.0,107.65,109.15,102.90,13633282
2019-01-29,109.5,115.05,108.84,113.75,107.24,18274599
2019-01-30,116.5,118.30,112.30,113.69,107.19,32710788
2019-01-31,114.40,114.94,110.55,112.44,106.01,14842463
2019-02-01,113.44,114.0,109.19,111.09,104.74,16494373
2019-02-04,110.05,112.40,107.80,110.30,103.99,15219147
2019-02-05,110.30,111.19,107.19,107.94,101.77,12325444
2019-02-06,108.5,109.80,106.0,109.19,102.95,11075323
2019-02-07,109.40,110.30,108.0,108.90,102.67,11079690
2019-02-08,108.0,108.5,104.34,104.90,98.90,10370510
2019-02-11,104.69,104.84,102.90,103.90,97.95,7582047
2019-02-12,103.90,105.34,102.30,102.65,96.77,7360166
2019-02-14,102.40,104.40,101.25,103.65,97.72,10652960
2019-02-15,104.25,104.44,100.30,100.84,95.08,10362257
2019-02-18,100.84,101.94,98.5,99.15,93.47,9448271
2019-02-19,99.80,104.30,99.30,102.44,96.59,17163902
2019-02-20,102.5,104.19,102.0,102.94,97.06,11097310
2019-02-21,104.5,104.55,102.5,103.0,97.10,10298813
2019-02-22,103.05,103.65,102.25,102.80,96.92,9600642
2019-02-25,102.75,103.75,102.5,102.90,97.01,10977553
2019-02-26,102.30,102.30,99.34,101.5,95.69,11658555
2019-02-27,101.75,103.59,100.30,101.0,95.22,11698000
2019-02-28,101.19,101.69,100.75,101.0,95.22,18331980
2019-03-01,102.0,108.80,101.59,108.09,101.91,29505475
2019-03-05,108.5,113.69,107.59,112.55,106.11,22697797
2019-03-06,112.5,113.55,111.0,112.09,105.68,11474316
2019-03-07,112.0,116.90,111.15,115.19,108.61,25364521
2019-03-08,115.65,116.84,113.05,113.59,107.10,16938684
2019-03-11,114.5,117.19,114.25,116.05,109.41,11888797
2019-03-12,116.94,117.80,114.44,115.34,108.75,11380491
2019-03-13,115.75,117.65,113.55,115.55,108.94,13704339
2019-03-14,116.0,117.90,114.40,116.55,109.88,15301986
2019-03-15,116.40,119.84,116.0,118.15,111.39,21121349
2019-03-18,118.25,121.40,117.90,120.55,113.65,24863255
2019-03-19,121.19,125.84,121.05,124.40,117.28,32738805
2019-03-20,125.15,127.15,123.09,125.19,118.03,23781774
2019-03-22,126.05,126.94,119.30,120.09,113.23,21842085
2019-03-25,118.90,118.90,116.40,118.19,111.43,11683480
2019-03-26,119.09,122.15,118.75,120.80,113.89,13335846
2019-03-27,122.40,123.44,120.30,121.55,114.59,16800819
2019-03-28,121.75,131.39,121.55,130.10,122.65,44199513
2019-04-01,133.0,137.30,130.25,132.69,125.11,42469408
2019-04-02,133.69,135.39,130.80,133.19,125.58,29686522
2019-04-03,134.39,137.14,131.35,132.05,124.49,31127867
2019-04-04,133.19,134.0,130.19,131.19,123.69,25022512
2019-04-05,131.94,132.85,128.80,130.60,123.13,21264107
2019-04-08,131.30,134.39,129.35,130.0,122.56,25439662
2019-04-09,130.39,132.64,127.75,132.05,124.49,22294096
2019-04-10,131.94,132.69,129.10,129.69,122.28,15717985
2019-04-11,129.55,130.19,127.69,128.69,121.33,13868679
2019-04-12,128.69,132.0,127.90,131.14,123.64,15552675
2019-04-15,131.39,132.19,129.80,130.75,123.27,12867190
2019-04-16,131.10,131.55,130.0,130.89,123.41,10100946
2019-04-18,130.85,131.05,125.75,126.55,119.31,13933866
2019-04-22,126.05,126.40,123.15,123.80,116.71,13597846
2019-04-23,123.80,126.69,122.69,123.09,116.05,16973355
2019-04-24,123.90,125.44,122.69,125.09,117.94,12660017
2019-04-25,125.19,125.75,121.5,122.0,115.02,16646745
2019-04-26,123.19,124.0,121.65,123.25,116.20,12210778
2019-04-30,123.0,123.0,113.75,116.65,109.97,28462786
2019-05-02,116.0,117.94,114.84,115.90,109.27,16270959
2019-05-03,117.05,120.44,116.5,119.05,112.24,21874589
2019-05-06,117.0,118.59,115.55,116.0,109.36,11664203
2019-05-07,117.0,117.44,112.0,112.55,106.11,13550529
2019-05-08,112.59,113.84,110.25,110.94,104.60,17253993
2019-05-09,111.15,112.65,109.90,111.34,104.98,15181417
2019-05-10,112.30,114.94,110.75,113.65,107.15,16554916
2019-05-13,113.19,113.44,104.80,105.80,99.74,22850959
2019-05-14,106.80,110.84,104.25,109.80,103.52,24673541
2019-05-15,110.30,110.30,107.0,107.80,101.63,15300951
2019-05-16,108.15,110.40,105.80,109.80,103.52,13844349
2019-05-17,109.75,113.15,107.69,112.25,105.83,18188023
2019-05-20,117.90,124.69,115.19,122.90,115.87,28831104
2019-05-21,123.19,127.30,122.0,125.80,118.60,36958794
2019-05-22,126.69,128.0,124.94,126.15,118.93,24188827
2019-05-23,129.0,144.0,126.55,127.55,120.25,107991987
2019-05-24,129.39,138.39,128.64,137.35,129.49,55810944
2019-05-27,137.30,141.69,136.39,140.94,132.88,28842316
2019-05-28,140.75,143.5,136.80,139.80,131.80,28207829
2019-05-29,139.05,139.10,135.69,136.35,128.55,16932356
2019-05-30,136.0,137.75,134.25,135.10,127.37,20408134
2019-05-31,137.0,138.14,130.0,133.25,125.62,26941798
2019-06-03,133.89,133.89,129.19,131.55,124.02,25926630
2019-06-04,131.60,135.10,130.69,132.60,125.01,27690204
2019-06-06,132.94,132.94,122.25,124.34,117.23,44472552
2019-06-07,123.0,124.80,120.34,121.30,114.36,26690749
2019-06-10,123.30,124.59,117.30,117.94,111.20,27897842
2019-06-11,119.0,122.0,117.55,121.30,114.36,22557180
2019-06-12,121.30,122.44,119.94,121.30,114.36,16000319
2019-06-13,121.25,122.0,117.09,121.05,114.12,21427393
2019-06-14,121.30,121.84,118.09,119.09,112.28,17291625
2019-06-17,119.34,119.44,116.05,116.59,109.93,16409459
2019-06-18,117.30,118.40,115.09,116.5,109.83,19869838
2019-06-19,118.0,119.19,114.30,115.80,109.17,17739731
2019-06-20,116.19,119.0,115.25,118.5,111.72,17575444
2019-06-21,118.59,119.44,117.19,118.05,111.29,19336018
2019-06-24,118.34,119.94,117.40,118.25,111.48,16957023
2019-06-25,118.19,120.40,117.69,120.0,113.13,14107941
2019-06-26,119.65,121.80,119.15,121.44,114.50,15346189
2019-06-27,122.0,123.0,120.25,121.40,114.45,43164548
2019-06-28,121.0,125.59,120.5,121.59,114.64,36026820
2019-07-01,122.90,123.0,119.84,121.25,114.31,17877613
2019-07-02,121.69,121.94,120.09,120.5,113.60,13541937
2019-07-03,120.90,126.15,119.55,125.5,118.32,36076430
2019-07-04,126.0,131.0,126.0,129.39,121.99,44586582
2019-07-05,130.0,132.85,127.19,130.44,122.98,46003784
2019-07-08,130.19,130.89,123.09,124.65,117.52,31279495
2019-07-09,123.90,126.40,122.75,125.90,118.69,14869226
2019-07-10,126.75,127.25,123.69,124.25,117.14,15786409
2019-07-11,125.0,126.5,123.90,126.0,118.79,14450972
2019-07-12,125.94,127.30,124.94,125.94,118.74,12403617
2019-07-15,125.5,125.69,121.65,122.0,115.02,15285529
2019-07-16,121.0,124.69,120.5,124.19,117.09,19467661
2019-07-17,124.19,128.39,123.25,127.30,120.01,17922297
2019-07-18,127.34,127.34,121.05,121.34,114.40,21215697
2019-07-19,122.25,122.69,116.84,118.0,111.25,19834528
2019-07-22,118.0,119.34,115.84,118.34,111.58,18668714
