Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,104.55,107.15,103.69,106.34,99.08,11779714
2019-01-02,106.25,107.90,103.80,104.80,97.63,16984848
2019-01-03,104.84,107.09,104.0,105.75,98.52,12299077
2019-01-04,106.09,109.30,105.30,108.69,101.27,13165314
2019-01-07,109.59,110.15,105.69,106.40,99.12,8123090
2019-01-08,105.75,109.30,105.09,108.80,101.36,9794700
2019-01-09,109.75,109.75,104.19,105.44,98.24,13267879
2019-01-10,105.44,107.09,105.15,106.09,98.84,6715175
2019-01-11,106.44,106.80,102.65,103.25,96.19,9438958
2019-01-14,102.69,105.15,100.69,104.0,96.89,11068475
2019-01-15,104.59,104.84,103.05,104.09,96.98,5804977
2019-01-16,104.0,106.5,103.65,105.30,98.10,6408689
2019-01-17,105.59,105.84,102.80,104.34,97.21,5644751
2019-01-18,104.40,104.80,102.25,102.65,95.63,5684518
2019-01-21,102.84,104.59,99.65,100.65,93.77,8168459
2019-01-22,99.90,100.59,97.40,97.84,91.16,6434495
2019-01-23,98.0,98.65,96.34,97.09,90.46,5267979
2019-01-24,97.05,97.94,96.34,97.30,90.65,5449282
2019-01-25,97.80,98.94,93.75,94.44,87.99,7123775
2019-01-28,94.90,95.55,85.40,90.59,84.40,9725854
2019-01-29,85.5,100.19,85.5,98.15,91.44,50522736
2019-01-30,98.09,100.19,95.55,99.15,92.37,14637481
2019-01-31,99.40,104.69,97.30,102.80,95.77,13627828
2019-02-01,106.40,106.65,88.84,94.84,88.36,25180357
2019-02-04,94.5,95.30,90.40,93.25,86.87,9729435
2019-02-05,93.44,94.19,89.34,90.94,84.73,8987658
2019-02-06,91.65,92.5,87.34,91.90,85.61,9854021
2019-02-07,91.5,95.19,90.80,92.05,85.75,9023352
2019-02-08,91.40,91.40,85.90,86.55,80.63,12532032
2019-02-11,86.30,87.0,84.05,84.69,78.91,5596055
2019-02-12,84.75,85.69,82.30,82.94,77.28,7317079
2019-02-14,81.05,83.84,79.90,82.80,77.14,10152708
2019-02-15,82.75,82.80,79.30,80.19,74.71,8123327
2019-02-18,80.15,81.40,77.5,78.65,73.27,6787894
2019-02-19,78.90,83.59,78.65,81.09,75.55,11757622
2019-02-20,81.0,82.90,80.75,81.84,76.25,6905288
2019-02-21,85.09,85.80,82.94,83.25,77.56,13401572
2019-02-22,82.55,84.59,82.55,83.0,77.32,6463463
2019-02-25,83.09,83.59,81.94,82.90,77.23,5586375
2019-02-26,81.69,82.09,79.44,81.15,75.60,6563004
2019-02-27,81.59,84.09,80.5,81.65,76.06,10063668
2019-02-28,82.0,83.44,81.59,83.09,77.42,5339038
2019-03-01,83.19,88.25,83.15,87.5,81.51,13952084
2019-03-05,88.30,91.59,87.80,90.75,84.54,11636958
2019-03-06,90.5,92.44,89.19,89.80,83.66,9593204
2019-03-07,90.0,92.30,88.44,90.69,84.50,11420223
2019-03-08,90.84,91.40,88.40,88.80,82.73,8168221
2019-03-11,88.55,92.75,88.55,92.25,85.94,10662535
2019-03-12,93.69,94.5,91.44,92.44,86.13,10690301
2019-03-13,92.44,93.40,90.5,92.05,85.75,7883178
2019-03-14,92.5,93.30,90.84,92.34,86.03,8124067
2019-03-15,92.90,95.0,92.69,93.15,86.78,11633846
2019-03-18,93.19,95.55,92.80,95.05,88.55,8252958
2019-03-19,95.94,103.15,95.30,100.59,93.72,27944350
2019-03-20,100.84,101.75,98.55,100.55,93.67,15540939
2019-03-22,101.30,101.90,98.05,98.59,91.86,8803257
2019-03-25,97.0,99.30,96.44,98.5,91.76,8032860
2019-03-26,99.05,102.5,98.80,101.84,94.88,7946467
2019-03-27,102.40,103.69,101.55,103.15,96.10,11566973
2019-03-28,103.0,106.5,102.80,105.84,98.61,12405815
2019-04-01,104.80,108.15,103.90,104.65,97.49,10096894
2019-04-02,104.90,107.80,103.30,105.59,98.38,11545420
2019-04-03,106.19,107.40,101.34,101.69,94.74,10979283
2019-04-04,101.65,104.59,100.5,101.09,94.19,11702884
2019-04-05,101.69,102.40,99.5,100.80,93.91,6556229
2019-04-08,101.5,103.09,97.90,98.5,91.76,8836550
2019-04-09,98.90,102.84,97.55,102.25,95.26,10873813
2019-04-10,101.90,103.5,100.19,100.5,93.63,8176340
2019-04-11,100.65,101.25,98.69,99.40,92.60,7104380
2019-04-12,99.40,100.09,97.69,99.55,92.74,7444154
2019-04-15,99.59,101.19,98.80,99.05,92.28,5242978
2019-04-16,99.19,99.94,98.55,98.94,92.18,4279945
2019-04-18,99.05,99.59,96.05,96.75,90.13,5875305
2019-04-22,96.15,96.25,91.80,92.5,86.17,5808200
2019-04-23,91.90,93.75,91.25,91.65,85.38,6059894
2019-04-24,92.5,93.55,91.0,93.05,86.69,6643762
2019-04-25,93.05,93.80,91.5,91.90,85.61,6583138
2019-04-26,92.40,92.75,91.25,92.30,85.99,5312132
2019-04-30,92.19,92.19,87.0,88.25,82.21,8356446
2019-05-02,87.15,91.40,87.15,88.94,82.87,8135666
2019-05-03,89.30,90.69,88.94,89.69,83.56,4856188
2019-05-06,87.0,89.25,87.0,87.75,81.75,3474372
2019-05-07,88.25,88.69,84.25,84.75,78.95,5049227
2019-05-08,84.30,85.69,83.34,83.90,78.16,5829503
2019-05-09,83.80,84.94,83.40,84.15,78.39,4983729
2019-05-10,84.30,86.65,84.25,85.5,79.65,7727714
2019-05-13,85.19,85.69,80.05,80.69,75.18,7493263
2019-05-14,80.19,83.59,78.94,82.90,77.23,7552638
2019-05-15,83.0,83.40,79.84,80.15,74.67,6508069
2019-05-16,80.69,83.19,79.30,81.65,76.06,19413943
2019-05-17,81.30,82.34,79.59,81.69,76.11,12824142
2019-05-20,86.0,90.59,84.55,89.90,83.75,15415198
2019-05-21,90.5,91.44,87.15,88.09,82.07,10255781
