Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,243.85,252.75,242.64,251.35,230.50,2285555
2019-01-02,252.25,255.69,244.5,245.85,225.45,3143838
2019-01-03,245.85,249.5,243.85,245.5,225.13,1381076
2019-01-04,248.80,251.25,243.75,249.75,229.03,1958372
2019-01-07,252.89,253.60,245.10,246.94,226.46,1357982
2019-01-08,247.0,258.79,245.89,257.85,236.46,2203536
2019-01-09,259.0,259.39,249.94,253.44,232.42,2913472
2019-01-10,254.0,255.5,251.0,251.64,230.77,914568
2019-01-11,253.0,254.55,250.39,253.60,232.56,1032376
2019-01-14,253.25,258.0,250.39,252.35,231.41,883417
2019-01-15,253.10,254.69,250.14,252.30,231.37,596173
2019-01-16,252.5,259.29,252.5,257.04,235.72,1270955
2019-01-17,257.04,262.29,256.0,260.14,238.57,1252757
2019-01-18,258.60,259.89,244.0,245.94,225.54,1914816
2019-01-21,246.35,250.0,241.85,243.60,223.39,1532754
2019-01-22,243.60,251.0,242.75,248.44,227.84,1661168
2019-01-23,249.44,251.89,246.85,248.5,227.88,733176
2019-01-24,249.0,258.0,247.69,255.94,234.71,1644817
2019-01-25,258.0,258.0,231.0,238.39,218.62,5812134
2019-01-28,236.80,236.80,212.69,218.39,200.28,5100353
2019-01-29,219.89,229.5,218.94,225.35,206.65,3354162
2019-01-30,226.44,228.75,222.64,227.19,208.35,2463501
2019-01-31,228.10,230.0,224.0,225.39,206.70,1244835
2019-02-01,227.0,230.0,220.0,224.0,205.41,1180493
2019-02-04,223.94,223.94,213.05,214.69,196.89,1446292
2019-02-05,217.69,218.14,212.25,214.0,196.24,1368416
2019-02-06,214.89,217.0,207.14,215.80,197.89,1757922
2019-02-07,218.0,220.64,213.55,218.75,200.60,1623329
2019-02-08,218.69,218.69,211.75,213.19,195.51,1900652
2019-02-11,213.64,213.80,204.5,206.35,189.23,1252062
2019-02-12,205.85,206.89,200.0,203.44,186.57,1676121
2019-02-14,219.10,240.0,215.35,231.25,212.06,2755081
2019-02-15,232.0,232.64,211.19,212.85,195.19,2381306
2019-02-18,212.85,216.30,207.39,209.0,191.66,1558054
2019-02-19,210.05,219.5,208.60,214.64,196.84,3531642
2019-02-20,215.89,223.0,215.10,221.35,202.98,2458984
2019-02-21,223.19,224.75,218.85,220.25,201.97,1961072
2019-02-22,219.69,222.19,216.19,220.85,202.53,1325538
2019-02-25,220.85,222.44,216.75,218.30,200.19,1180012
2019-02-26,216.0,222.30,210.0,220.80,202.48,1814034
2019-02-27,221.0,226.5,218.0,220.85,202.53,1792474
2019-02-28,225.0,229.39,219.5,224.60,205.96,2717778
2019-03-01,223.30,233.80,222.0,229.5,210.46,2306295
2019-03-05,230.0,239.25,229.0,237.10,217.43,2046078
2019-03-06,237.10,258.25,237.10,255.10,233.93,6391707
2019-03-07,253.89,253.89,247.69,249.80,229.07,2515167
2019-03-08,249.0,255.0,245.14,253.30,232.28,2124915
2019-03-11,252.0,265.0,251.64,262.39,240.63,3214565
2019-03-12,271.0,275.54,266.0,269.04,246.73,5653519
2019-03-13,266.85,270.45,263.14,268.29,246.04,1962714
2019-03-14,267.0,270.85,264.5,267.10,244.94,1364801
2019-03-15,267.79,272.5,265.60,267.20,245.03,1345326
2019-03-18,267.0,269.5,263.70,268.60,246.31,1492100
2019-03-19,268.60,275.64,267.64,272.75,250.12,2910075
2019-03-20,273.29,273.95,268.35,269.85,247.46,1293861
2019-03-22,269.10,273.35,263.0,264.60,242.65,1529450
2019-03-25,260.95,261.79,252.0,252.69,231.73,1595625
2019-03-26,253.0,262.79,253.0,261.79,240.08,1505255
2019-03-27,263.29,267.75,261.25,264.10,242.19,1732561
2019-03-28,263.89,284.70,261.39,277.35,254.34,2864042
2019-04-01,282.0,288.0,281.0,283.29,259.79,1640272
2019-04-02,284.0,287.45,275.95,281.39,258.05,2300513
2019-04-03,282.0,285.79,272.5,274.45,251.68,1685493
2019-04-04,274.39,282.45,271.70,274.45,251.68,1992897
2019-04-05,276.14,277.95,270.39,273.45,250.76,1667069
2019-04-08,275.39,283.75,267.45,269.35,247.00,3052077
2019-04-09,271.0,273.54,262.85,271.45,248.93,2801658
2019-04-10,270.0,277.5,270.0,271.54,249.02,2406904
2019-04-11,273.20,273.5,266.60,269.64,247.28,1317137
2019-04-12,270.89,276.0,266.75,274.85,252.05,1406051
