Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,14.94,15.14,14.89,15.0,15.0,1497222
2019-01-02,15.05,15.10,14.85,14.89,14.89,562219
2019-01-03,14.69,14.75,14.44,14.55,14.55,415497
2019-01-04,14.60,14.69,14.44,14.55,14.55,514752
2019-01-07,14.64,14.94,14.60,14.60,14.60,320055
2019-01-08,14.64,14.85,14.5,14.80,14.80,318643
2019-01-09,14.85,14.94,14.60,14.64,14.64,241137
2019-01-10,14.64,14.85,14.60,14.69,14.69,230413
2019-01-11,14.89,14.89,14.44,14.55,14.55,360567
2019-01-14,14.69,14.69,14.44,14.5,14.5,202377
2019-01-15,14.5,14.64,14.39,14.44,14.44,303530
2019-01-16,14.5,14.64,14.35,14.55,14.55,431661
2019-01-17,14.5,14.60,14.39,14.39,14.39,245919
2019-01-18,14.5,14.5,14.19,14.30,14.30,238182
2019-01-21,14.30,14.55,14.19,14.25,14.25,328312
2019-01-22,14.35,14.35,13.89,14.0,14.0,417921
2019-01-23,14.0,14.35,13.89,14.0,14.0,355999
2019-01-24,14.14,14.14,13.85,13.89,13.89,253356
2019-01-25,14.0,14.39,13.64,14.0,14.0,1605622
2019-01-28,14.10,14.25,13.5,13.60,13.60,594840
2019-01-29,13.5,13.55,13.14,13.44,13.44,487237
2019-01-30,13.5,13.69,13.35,13.44,13.44,408664
2019-01-31,13.60,13.75,13.60,13.69,13.69,275171
2019-02-01,13.75,14.0,13.64,13.69,13.69,409378
2019-02-04,13.94,13.94,13.10,13.19,13.19,372523
2019-02-05,13.10,13.35,13.0,13.10,13.10,477278
2019-02-06,13.05,13.25,12.60,12.85,12.85,419119
2019-02-07,13.05,13.19,12.69,12.80,12.80,625077
2019-02-08,12.80,13.05,12.69,12.89,12.89,395150
2019-02-11,12.80,12.85,12.30,12.60,12.60,238849
2019-02-12,12.60,12.75,12.19,12.39,12.39,456611
2019-02-14,12.14,12.25,12.10,12.19,12.19,248403
2019-02-15,12.10,12.25,12.10,12.19,12.19,187324
2019-02-18,12.25,12.25,12.0,12.10,12.10,166432
2019-02-19,12.19,12.60,12.14,12.55,12.55,261027
2019-02-20,12.60,12.64,12.19,12.30,12.30,336927
2019-02-21,13.89,13.89,13.05,13.19,13.19,1944800
2019-02-22,13.25,13.30,12.94,13.0,13.0,431357
2019-02-25,13.19,13.19,12.94,13.0,13.0,245253
2019-02-26,12.89,13.0,12.19,12.89,12.89,326033
2019-02-27,13.69,14.39,13.10,13.44,13.44,2362396
2019-02-28,13.44,13.64,13.19,13.30,13.30,292973
2019-03-01,13.30,13.60,13.30,13.55,13.55,534529
2019-03-05,13.5,14.25,13.39,13.94,13.94,967977
2019-03-06,14.05,14.25,13.94,14.19,14.19,850951
2019-03-07,14.30,14.64,14.14,14.39,14.39,749823
2019-03-08,14.44,14.85,14.0,14.5,14.5,954748
2019-03-11,14.64,15.75,14.44,15.05,15.05,3022885
2019-03-12,15.5,15.64,14.94,15.14,15.14,3303259
2019-03-13,15.19,15.19,14.55,14.60,14.60,1129377
2019-03-14,14.64,15.0,14.39,14.55,14.55,1268171
2019-03-15,14.44,14.69,13.44,13.64,13.64,2210925
2019-03-18,13.85,14.10,13.69,13.94,13.94,1241894
2019-03-19,14.10,14.30,13.85,14.14,14.14,870513
2019-03-20,14.14,14.25,13.80,13.85,13.85,1017970
2019-03-22,13.89,14.10,13.80,13.80,13.80,442754
2019-03-25,13.80,13.85,13.44,13.60,13.60,562536
2019-03-26,13.5,13.80,13.5,13.69,13.69,598060
2019-03-27,13.69,14.10,13.69,13.80,13.80,904256
2019-03-28,14.0,14.35,14.0,14.25,14.25,1546237
2019-04-01,14.55,15.44,14.5,15.10,15.10,3794544
2019-04-02,15.25,15.35,14.85,15.14,15.14,1819518
2019-04-03,15.19,15.35,14.89,15.19,15.19,1579914
2019-04-04,15.25,15.30,14.85,14.89,14.89,645848
2019-04-05,14.89,15.25,14.89,15.0,15.0,522783
2019-04-08,15.14,15.30,14.94,15.0,15.0,587773
2019-04-09,15.05,15.10,14.64,14.85,14.85,586452
2019-04-10,14.89,15.0,14.75,14.85,14.85,419401
2019-04-11,14.85,14.94,14.69,14.85,14.85,476532
2019-04-12,14.75,14.85,14.60,14.64,14.64,563726
2019-04-15,14.69,14.85,14.60,14.64,14.64,349347
2019-04-16,14.64,15.10,14.64,14.85,14.85,662217
2019-04-18,14.85,14.94,14.64,14.69,14.69,663572
2019-04-22,14.64,14.69,14.35,14.39,14.39,455932
2019-04-23,14.30,14.69,14.30,14.5,14.5,343222
2019-04-24,14.5,14.64,14.39,14.60,14.60,276406
2019-04-25,14.60,15.35,14.60,15.0,15.0,1467944
2019-04-26,15.05,15.19,14.94,15.0,15.0,396126
2019-04-30,15.14,15.19,13.85,14.10,14.10,1412066
2019-05-02,14.10,14.25,13.80,13.89,13.89,1572235
2019-05-03,14.0,14.19,13.94,14.0,14.0,528208
2019-05-06,13.89,14.10,13.39,13.60,13.60,883462
2019-05-07,14.0,14.05,13.0,13.14,13.14,1788201
2019-05-08,13.14,13.5,12.94,13.14,13.14,1139430
2019-05-09,13.14,13.60,13.10,13.25,13.25,1381143
2019-05-10,13.30,13.30,13.05,13.14,13.14,711460
2019-05-13,13.10,13.19,12.39,12.55,12.55,1193831
2019-05-14,12.55,13.0,12.30,12.55,12.55,890374
2019-05-15,12.75,12.89,11.85,12.10,12.10,1764830
2019-05-16,11.94,12.5,11.94,12.0,12.0,974416
2019-05-17,12.0,12.14,11.69,11.85,11.85,1202443
2019-05-20,12.19,12.5,12.05,12.35,12.35,1364601
2019-05-21,12.35,12.5,11.64,11.80,11.80,1640071
2019-05-22,11.85,12.14,11.44,11.89,11.89,1314010
2019-05-23,11.94,12.35,11.60,11.69,11.69,1963426
2019-05-24,11.80,12.05,11.80,11.94,11.94,878070
2019-05-27,12.0,12.14,11.89,11.94,11.94,1126747
2019-05-28,12.0,12.10,11.89,11.94,11.94,714402
2019-05-29,11.94,12.10,11.69,11.89,11.89,809609
2019-05-30,11.94,12.0,11.89,12.0,12.0,335554
2019-05-31,12.10,12.25,11.94,12.05,12.05,1283800
2019-06-03,12.05,12.05,11.89,11.94,11.94,533556
2019-06-04,12.0,12.19,11.89,12.14,12.14,720914
2019-06-06,12.14,12.14,11.89,11.89,11.89,762584
2019-06-07,11.94,12.0,11.80,11.85,11.85,544535
2019-06-10,12.10,12.10,11.64,11.64,11.64,519678
2019-06-11,11.69,11.85,11.64,11.80,11.80,359051
2019-06-12,11.94,12.0,11.69,11.75,11.75,479140
2019-06-13,11.75,11.85,11.60,11.64,11.64,398523
2019-06-14,11.69,11.80,11.60,11.69,11.69,530605
2019-06-17,11.75,11.75,11.55,11.60,11.60,401029
2019-06-18,11.64,11.69,11.55,11.60,11.60,304139
2019-06-19,11.64,11.69,11.35,11.39,11.39,424288
2019-06-20,11.39,11.44,11.19,11.30,11.30,475234
2019-06-21,11.35,11.60,11.14,11.44,11.44,573792
2019-06-24,11.35,11.5,11.19,11.30,11.30,415665
2019-06-25,11.30,11.44,11.25,11.30,11.30,317200
2019-06-26,11.30,11.5,11.25,11.39,11.39,495025
2019-06-27,11.39,11.80,11.39,11.69,11.69,898956
2019-06-28,12.69,12.69,12.05,12.14,12.14,2245298
2019-07-01,12.5,12.5,12.0,12.10,12.10,692176
2019-07-02,12.14,12.30,11.89,11.94,11.94,780969
2019-07-03,11.94,12.19,11.94,12.14,12.14,602755
2019-07-04,12.44,12.75,12.39,12.64,12.64,2484617
2019-07-05,12.69,12.94,12.69,12.75,12.75,2701073
2019-07-08,12.75,12.75,12.05,12.19,12.19,731821
2019-07-09,12.14,12.30,12.0,12.05,12.05,450899
2019-07-10,12.39,12.64,12.0,12.10,12.10,1401242
2019-07-11,12.19,12.35,12.14,12.19,12.19,323853
2019-07-12,12.05,12.5,12.05,12.25,12.25,676606
2019-07-15,12.19,12.35,11.94,12.0,12.0,283023
2019-07-16,12.0,12.14,11.89,12.0,12.0,343527
2019-07-17,12.14,12.25,12.0,12.10,12.10,521235
2019-07-18,12.05,12.14,11.94,12.0,12.0,220866
2019-07-19,12.0,12.05,11.64,11.69,11.69,441886
2019-07-22,11.69,11.80,11.5,11.69,11.69,637105
2019-07-23,11.69,11.94,11.55,11.69,11.69,1957929
2019-07-24,11.60,11.69,11.35,11.39,11.39,469815
2019-07-25,11.39,11.55,11.30,11.35,11.35,470186
2019-07-26,11.35,11.5,11.30,11.39,11.39,320893
2019-07-29,11.39,11.5,11.19,11.25,11.25,898704
2019-07-30,11.30,11.39,11.05,11.10,11.10,683351
2019-07-31,11.10,11.25,11.05,11.19,11.19,342174
2019-08-01,11.14,11.19,11.0,11.05,11.05,431516
2019-08-02,11.05,11.05,10.85,10.89,10.89,561837
