Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,78.59,80.0,78.05,79.80,77.08,18609031
2019-01-02,79.55,80.40,77.30,77.84,75.20,27192314
2019-01-03,78.09,78.94,77.05,77.84,75.20,18780736
2019-01-04,78.0,81.90,77.65,81.30,78.53,35324306
2019-01-07,82.44,82.90,80.0,80.55,77.81,21061552
2019-01-08,80.55,81.94,79.75,81.69,78.92,17598981
2019-01-09,82.0,82.15,79.80,80.69,77.95,18063915
2019-01-10,80.30,81.65,80.09,81.25,78.48,15125630
2019-01-11,81.25,81.55,80.34,80.65,77.90,12150994
2019-01-14,80.34,82.90,79.09,82.5,79.69,22990328
2019-01-15,82.84,83.40,81.5,81.94,79.16,14499042
2019-01-16,82.0,85.0,81.84,84.25,81.38,30560868
2019-01-17,84.30,85.05,82.94,84.55,81.67,22181000
2019-01-18,84.55,84.84,82.5,82.84,80.03,16185024
2019-01-21,82.84,83.55,79.65,80.25,77.52,20063465
2019-01-22,80.19,80.5,78.30,78.59,75.92,17346423
2019-01-23,78.59,79.40,77.30,77.75,75.10,12687561
2019-01-24,77.75,78.55,77.25,78.09,75.44,13272022
2019-01-25,78.34,80.44,75.90,76.59,73.99,19763289
2019-01-28,77.0,78.15,75.75,76.09,73.51,19106196
2019-01-29,76.15,78.5,75.55,77.30,74.67,17793292
2019-01-30,77.75,78.25,76.69,77.25,74.62,11238545
2019-01-31,77.69,77.80,75.44,77.5,74.86,16757529
2019-02-01,78.0,78.40,73.55,73.90,71.38,25916009
2019-02-04,74.05,74.09,71.05,73.15,70.66,22905988
2019-02-05,74.5,76.5,72.0,73.40,70.90,70132820
2019-02-06,74.09,75.65,72.80,75.19,72.64,27503709
2019-02-07,75.65,76.59,74.84,75.65,73.07,23866199
2019-02-08,75.0,75.0,70.65,71.19,68.78,31290303
2019-02-11,71.40,71.44,70.30,70.84,68.44,18322730
2019-02-12,71.19,72.25,70.84,71.34,68.92,13405209
2019-02-14,69.5,72.65,68.69,72.25,69.79,18981245
2019-02-15,72.0,73.19,69.40,70.05,67.66,22508284
2019-02-18,70.25,71.09,68.69,69.0,66.65,17183987
2019-02-19,69.30,71.5,69.09,69.94,67.57,18800655
2019-02-20,70.40,71.44,70.25,71.09,68.68,14646666
2019-02-21,76.0,76.0,72.65,73.15,70.66,47884317
2019-02-22,72.94,73.94,72.5,73.19,70.71,17255280
2019-02-25,73.40,73.75,72.90,73.5,71.00,10143437
2019-02-26,72.80,72.80,70.09,71.84,69.40,24903931
2019-02-27,72.5,73.59,70.94,71.5,69.07,24053517
2019-02-28,71.55,72.69,71.44,72.30,69.84,16139027
2019-03-01,73.0,77.0,72.69,76.65,74.04,37660508
2019-03-05,77.0,83.34,76.25,82.65,79.84,50845208
2019-03-06,82.69,83.80,81.40,82.40,79.59,27381377
2019-03-07,82.44,86.19,81.30,85.44,82.54,48792690
2019-03-08,85.34,85.84,83.59,83.80,80.95,26190794
2019-03-11,84.09,86.44,84.09,85.84,82.93,23446148
2019-03-12,86.75,87.34,84.75,85.40,82.49,28275260
2019-03-13,85.19,85.94,83.30,84.84,81.96,26167126
2019-03-14,85.05,85.75,83.69,84.44,81.58,23309588
2019-03-15,85.30,87.30,85.09,86.05,83.12,47765635
2019-03-18,86.44,87.09,85.05,86.65,83.70,28960560
2019-03-19,87.65,91.94,87.5,90.5,87.42,76686943
2019-03-20,91.0,94.15,89.34,93.55,90.37,65416389
2019-03-22,95.94,95.94,90.59,91.55,88.43,69603817
2019-03-25,89.55,91.25,89.19,90.30,87.23,30226076
2019-03-26,91.19,93.09,90.69,92.5,89.35,24611358
2019-03-27,93.5,95.05,92.80,93.40,90.22,44404743
2019-03-28,93.90,95.80,93.34,95.34,92.10,43461013
2019-04-01,96.09,99.90,96.09,97.5,94.18,51690683
2019-04-02,97.65,99.80,96.05,98.30,94.95,52878919
2019-04-03,99.40,99.80,93.90,94.44,91.24,52523325
2019-04-04,94.0,95.75,92.84,93.65,90.46,45741687
2019-04-05,94.30,94.75,92.0,93.09,89.93,30275193
2019-04-08,93.75,95.0,92.30,93.09,89.93,34248451
2019-04-09,93.19,94.65,91.59,94.34,91.14,35537791
2019-04-10,94.0,94.94,93.05,93.34,90.17,24772662
2019-04-11,93.40,93.55,92.0,92.69,89.54,20082380
2019-04-12,92.80,93.59,92.19,93.34,90.17,20151855
2019-04-15,93.80,94.44,93.0,93.84,90.66,17833602
2019-04-16,93.5,93.94,92.34,92.80,89.64,16776973
2019-04-18,92.55,92.80,89.69,90.05,86.98,24453025
2019-04-22,89.90,90.0,86.15,86.65,83.70,22607916
2019-04-23,86.55,89.0,86.5,87.19,84.23,26099019
2019-04-24,87.69,88.80,86.75,88.34,85.34,20354853
2019-04-25,88.0,89.15,86.05,86.75,83.80,20631056
2019-04-26,87.44,88.40,86.44,88.15,85.15,20387608
2019-04-30,88.15,88.15,83.59,84.90,82.01,26321705
2019-05-02,84.25,87.84,84.0,86.09,83.17,27331709
2019-05-03,86.94,87.80,86.30,87.15,84.18,20112657
2019-05-06,86.34,87.55,85.59,86.25,83.31,17151414
2019-05-07,86.69,87.15,83.40,83.94,81.09,16356567
2019-05-08,83.75,85.40,83.25,83.94,81.09,23380690
2019-05-09,84.09,85.34,82.80,84.25,81.38,22934344
2019-05-10,85.0,87.25,84.40,86.25,83.31,21821500
2019-05-13,86.15,86.19,79.05,79.80,77.08,34293332
2019-05-14,79.25,83.59,78.25,82.94,80.13,31711482
2019-05-15,82.94,83.44,81.90,82.30,79.50,21976945
2019-05-16,82.94,82.94,79.40,81.0,78.24,23116401
2019-05-17,80.59,83.40,79.34,82.75,79.93,26209661
2019-05-20,86.5,89.34,85.55,88.34,85.34,34758878
2019-05-21,88.44,89.0,84.90,86.09,83.17,23867211
2019-05-22,85.59,85.69,82.65,84.59,81.72,31628934
2019-05-23,87.0,89.75,83.0,83.69,80.85,47589021
2019-05-24,84.40,88.84,84.05,88.19,85.20,32158634
2019-05-27,87.90,91.19,87.65,89.25,86.21,34857012
