Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,33.25,33.34,32.0,32.84,31.66,105689
2019-01-02,33.29,33.29,32.70,32.84,31.66,68896
2019-01-03,32.29,32.79,32.29,32.40,31.22,55901
2019-01-04,32.5,32.54,31.54,32.20,31.03,70674
2019-01-07,32.45,32.65,31.85,32.04,30.89,54426
2019-01-08,32.04,33.5,31.89,33.25,32.04,190546
2019-01-09,34.04,34.90,33.5,33.75,32.52,517154
2019-01-10,33.75,33.75,32.65,32.75,31.56,85773
2019-01-11,32.79,32.95,31.29,31.64,30.50,203283
2019-01-14,31.35,31.54,31.14,31.25,30.11,57307
2019-01-15,31.0,31.64,31.0,31.39,30.26,46826
2019-01-16,31.14,31.95,31.10,31.60,30.45,69016
2019-01-17,31.10,31.75,31.04,31.29,30.16,63507
2019-01-18,31.45,31.45,30.5,30.60,29.49,56933
2019-01-21,30.60,30.70,30.04,30.20,29.10,36127
2019-01-22,29.54,30.20,29.54,29.70,28.62,33789
2019-01-23,29.64,29.79,29.25,29.45,28.38,32149
2019-01-24,29.45,29.64,28.64,28.89,27.85,51372
2019-01-25,29.0,29.39,28.5,28.75,27.70,38791
2019-01-28,28.5,28.64,27.5,27.89,26.89,63228
2019-01-29,27.60,28.29,27.39,27.85,26.84,71875
2019-01-30,27.85,28.29,27.75,27.89,26.89,56231
2019-01-31,27.89,28.25,27.85,28.14,27.13,58464
2019-02-01,28.35,28.35,27.89,28.0,26.98,72632
2019-02-04,28.0,28.0,27.14,27.25,26.26,31268
2019-02-05,27.5,27.5,26.39,26.60,25.63,53076
2019-02-06,26.70,26.79,26.14,26.5,25.54,69714
2019-02-07,26.25,27.0,25.25,25.70,24.77,156292
2019-02-08,25.75,26.39,25.39,26.04,25.10,65506
2019-02-11,26.10,26.10,25.14,25.64,24.72,109772
2019-02-12,25.70,25.89,25.29,25.54,24.62,82805
2019-02-14,25.5,26.0,25.29,25.95,25.01,51260
2019-02-15,25.95,26.04,25.35,25.5,24.57,44154
2019-02-18,25.5,25.54,24.64,24.79,23.90,126752
2019-02-19,24.79,25.20,24.75,24.95,24.04,49512
2019-02-20,25.04,25.45,25.0,25.39,24.48,43795
2019-02-21,25.89,26.29,25.60,25.79,24.86,77813
2019-02-22,25.85,25.95,25.64,25.79,24.86,44484
2019-02-25,25.79,25.85,25.45,25.54,24.62,38962
2019-02-26,25.5,25.5,24.85,25.25,24.33,35397
2019-02-27,25.25,25.85,25.14,25.29,24.38,46263
2019-02-28,25.45,25.89,25.29,25.70,24.77,32216
2019-03-01,25.89,26.75,25.54,26.35,25.39,90577
2019-03-05,26.45,28.95,26.45,28.60,27.56,211560
2019-03-06,28.85,28.85,27.5,27.64,26.64,189904
2019-03-07,27.89,27.95,27.35,27.64,26.64,110585
2019-03-08,27.54,28.35,27.54,28.0,26.98,108022
2019-03-11,27.89,30.45,27.64,30.20,29.10,271647
2019-03-12,32.25,34.0,32.09,32.65,31.46,1074684
2019-03-13,32.65,32.70,30.79,31.04,29.92,178911
2019-03-14,31.29,31.29,30.20,30.39,29.30,110191
2019-03-15,30.70,30.75,30.04,30.29,29.20,84992
2019-03-18,30.45,31.5,29.85,30.25,29.15,89505
2019-03-19,30.75,31.60,30.70,31.14,30.02,203159
2019-03-20,31.20,31.20,30.54,30.75,29.63,55299
2019-03-22,31.0,31.0,30.20,30.25,29.15,47868
2019-03-25,30.0,30.29,29.0,29.10,28.04,76861
2019-03-26,29.29,29.45,29.0,29.10,28.04,100008
2019-03-27,29.29,30.89,29.10,30.60,29.49,239437
2019-03-28,31.20,31.79,30.95,31.35,30.21,426886
2019-04-01,31.29,33.70,31.29,32.70,31.51,368913
2019-04-02,32.59,33.04,31.89,32.04,30.89,200335
2019-04-03,32.34,32.5,31.75,31.85,30.69,81590
2019-04-04,31.64,31.85,30.60,30.79,29.68,79633
2019-04-05,30.79,31.60,30.79,31.35,30.21,96550
2019-04-08,31.39,31.95,30.70,30.85,29.73,80230
2019-04-09,30.79,31.5,30.35,31.10,29.97,73599
