Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,297.5,300.70,293.85,299.60,286.72,11837127
2019-01-02,299.10,302.5,293.10,293.89,281.27,25559853
2019-01-03,295.0,295.54,290.10,291.10,278.59,17548347
2019-01-04,292.10,299.0,291.5,297.64,284.85,19514041
2019-01-07,301.04,301.5,295.20,296.29,283.56,14579399
2019-01-08,295.79,306.0,294.75,305.29,292.18,22949961
2019-01-09,306.0,307.10,300.75,305.29,292.18,21109911
2019-01-10,305.10,307.5,303.5,305.54,292.42,16295468
2019-01-11,305.39,306.20,300.95,302.75,289.74,12702551
2019-01-14,301.0,303.60,299.54,300.39,287.49,10372933
2019-01-15,302.0,303.60,301.10,301.64,288.68,9444374
2019-01-16,303.0,306.64,302.10,303.14,290.12,12111480
2019-01-17,303.89,304.35,295.60,297.39,284.62,15974634
2019-01-18,298.75,299.85,294.25,294.95,282.27,9082501
2019-01-21,295.89,296.75,291.45,292.45,279.88,10188647
2019-01-22,293.0,293.0,288.20,290.25,277.77,11297989
2019-01-23,290.45,292.95,285.5,286.64,274.33,10304608
2019-01-24,286.64,289.89,285.5,288.04,275.67,11532528
2019-01-25,289.60,291.0,283.20,285.39,273.13,11121223
2019-01-28,285.64,286.60,277.29,281.60,269.49,18905470
2019-01-29,281.0,286.0,276.54,280.60,268.54,17435611
2019-01-30,281.20,289.39,280.25,287.45,275.09,18908654
2019-01-31,290.0,294.79,288.0,293.64,281.03,25546487
2019-02-01,296.89,302.70,282.0,284.39,272.17,60015958
2019-02-04,282.39,285.20,277.85,283.95,271.74,20642919
2019-02-05,284.20,287.0,283.0,284.64,272.41,13291133
2019-02-06,285.85,289.75,283.5,289.04,276.62,12149759
2019-02-07,289.39,294.0,286.60,287.39,275.05,19733315
2019-02-08,285.60,288.0,282.20,286.0,273.71,19781908
2019-02-11,285.95,285.95,280.0,280.5,268.44,15420017
2019-02-12,280.64,282.20,274.64,275.39,263.56,15326106
2019-02-14,268.0,268.35,263.64,267.10,255.62,26372671
2019-02-15,268.85,268.85,261.29,262.95,251.65,23366091
2019-02-18,264.39,265.5,258.79,259.95,248.77,14781744
2019-02-19,260.89,267.5,260.29,262.89,251.60,19064306
2019-02-20,264.5,268.29,264.29,267.70,256.19,15514595
2019-02-21,270.29,271.0,267.29,268.0,256.48,13760702
2019-02-22,267.89,271.89,267.60,270.95,259.30,12536918
2019-02-25,271.29,271.39,267.89,270.14,258.54,20793897
2019-02-26,266.79,268.20,263.25,266.35,254.90,15274303
2019-02-27,268.0,272.70,266.54,267.64,256.14,20571652
2019-02-28,267.70,270.79,267.64,269.04,257.48,31636468
2019-03-01,270.54,274.60,270.10,272.95,261.22,20024726
2019-03-05,271.70,277.85,271.20,276.45,264.57,21533972
2019-03-06,277.29,282.54,276.45,278.10,266.14,22161376
2019-03-07,279.45,282.5,277.64,281.75,269.64,14899105
2019-03-08,281.85,284.25,279.60,281.20,269.11,19943319
2019-03-11,285.29,289.0,283.5,287.35,275.00,22931245
2019-03-12,289.20,289.89,285.75,286.89,274.57,20828136
2019-03-13,288.10,294.39,284.70,293.14,280.55,23725641
2019-03-14,294.5,294.70,290.75,291.89,279.35,16164017
2019-03-15,292.60,301.29,292.5,298.39,285.57,37928480
2019-03-18,298.89,300.89,294.64,298.95,286.10,23782967
2019-03-19,300.14,306.60,299.14,303.04,290.02,27218691
2019-03-20,302.79,304.64,300.04,303.79,290.74,18820555
2019-03-22,304.29,306.39,296.95,298.04,285.24,17865957
2019-03-25,294.0,295.45,292.20,294.0,281.36,16895511
2019-03-26,294.75,305.0,294.75,303.5,290.45,18303791
2019-03-27,305.25,310.85,304.35,308.79,295.53,35956450
2019-03-28,310.10,339.64,309.04,319.0,305.29,63244736
2019-04-01,321.79,327.64,321.04,322.75,308.88,22372357
2019-04-02,323.64,331.0,322.10,329.0,314.86,27897583
2019-04-03,331.0,332.45,319.5,320.5,306.72,30552104
2019-04-04,321.5,325.75,318.29,321.79,307.97,27832294
2019-04-05,323.70,323.70,315.0,317.04,303.42,23117232
2019-04-08,318.25,319.25,311.10,312.79,299.35,17394139
2019-04-09,313.95,315.70,308.10,314.75,301.22,25556039
2019-04-10,314.85,317.04,310.0,310.89,297.54,19237974
2019-04-11,311.0,315.39,308.70,314.89,301.36,14897935
2019-04-12,314.60,316.39,311.20,315.25,301.70,14751964
2019-04-15,315.5,318.70,313.75,315.60,302.03,13864791
2019-04-16,316.60,319.39,314.70,315.75,302.18,14940726
2019-04-18,315.79,315.79,308.04,310.79,297.44,15691168
2019-04-22,308.79,312.29,306.35,310.04,296.72,15665440
2019-04-23,310.04,313.75,304.60,305.25,292.13,17324274
2019-04-24,305.85,311.95,303.60,310.75,297.39,15228591
2019-04-25,311.0,312.0,305.39,306.20,293.04,30842477
2019-04-26,306.89,313.5,306.60,312.5,299.07,14987906
2019-04-30,312.0,312.0,305.0,309.95,296.63,18178758
2019-05-02,308.04,311.39,305.64,308.14,294.90,16640100
2019-05-03,309.0,311.79,308.79,310.0,296.67,12452689
2019-05-06,306.79,310.29,305.89,308.75,295.48,10639216
2019-05-07,310.70,313.39,303.75,305.45,292.32,15219845
2019-05-08,303.95,305.29,296.75,298.25,285.43,22103678
2019-05-09,297.60,301.0,296.10,299.29,286.43,12654440
2019-05-10,301.79,310.75,292.45,308.04,294.81,60739833
2019-05-13,310.0,314.20,305.29,306.89,293.71,40101505
2019-05-14,307.85,316.75,305.10,314.64,301.12,30521436
2019-05-15,316.20,317.89,311.0,312.10,298.68,27932459
2019-05-16,312.5,317.10,309.54,315.75,302.18,18147559
2019-05-17,315.64,321.95,313.45,319.25,305.53,25838962
2019-05-20,332.0,345.79,331.0,344.70,329.88,53207071
2019-05-21,345.89,347.54,336.25,337.54,323.04,33457162
2019-05-22,338.89,342.60,333.54,341.10,326.44,32002499
2019-05-23,353.0,364.0,339.20,342.20,327.49,74413322
2019-05-24,344.95,357.0,343.5,355.35,340.08,35703403
2019-05-27,355.04,362.5,354.0,361.70,346.15,31374994
2019-05-28,360.95,361.70,356.64,360.04,344.57,23501608
2019-05-29,358.0,359.0,347.14,348.64,333.66,28370210
2019-05-30,349.75,355.0,347.5,353.54,338.35,25712604
2019-05-31,354.35,357.89,344.64,352.5,337.35,32588069
2019-06-03,352.35,356.45,349.64,355.45,340.17,18380919
2019-06-04,354.0,357.20,351.39,352.39,337.25,18130636
2019-06-06,349.0,349.60,335.89,336.89,322.42,41941144
2019-06-07,337.0,342.75,336.0,342.04,327.35,29739710
2019-06-10,346.0,347.29,340.14,344.29,329.50,20500542
2019-06-11,345.04,348.29,342.85,347.10,332.18,16281297
2019-06-12,346.95,346.95,342.29,344.0,329.21,11564970
2019-06-13,343.0,347.45,339.79,346.5,331.61,15509948
2019-06-14,345.5,346.35,342.54,343.79,329.02,10347594
2019-06-17,343.75,343.75,336.95,337.85,323.33,13779496
2019-06-18,335.5,344.0,333.79,340.04,325.43,21957480
2019-06-19,343.10,345.20,335.5,338.85,324.28,16416903
2019-06-20,341.0,346.25,335.60,345.14,330.31,20626861
2019-06-21,344.79,350.70,343.14,349.39,334.38,24749090
2019-06-24,350.0,354.75,349.64,353.20,338.02,17919504
2019-06-25,352.70,357.0,351.25,356.54,341.22,15922634
2019-06-26,355.75,359.0,354.29,358.14,342.75,15835579
2019-06-27,358.10,363.0,357.25,362.14,346.58,29658120
2019-06-28,362.20,365.0,358.70,361.25,345.72,22708464
2019-07-01,362.79,363.0,358.5,361.54,346.01,12348793
2019-07-02,362.14,365.0,360.35,364.5,348.83,14482172
2019-07-03,365.25,366.70,363.0,366.14,350.41,12626285
2019-07-04,367.25,370.89,366.20,367.39,351.61,19252646
2019-07-05,369.45,373.60,366.0,370.64,354.72,30019347
