Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,21.45,23.5,21.04,22.70,22.70,14040027
2019-01-02,22.70,23.04,21.89,22.10,22.10,4000028
2019-01-03,21.75,21.79,20.95,21.10,21.10,1704867
2019-01-04,21.70,22.0,21.35,21.75,21.75,2979116
2019-01-07,22.20,22.20,21.14,21.25,21.25,849720
2019-01-08,21.5,21.70,21.0,21.5,21.5,1780408
2019-01-09,21.64,21.75,21.0,21.14,21.14,755725
2019-01-10,21.14,21.14,20.70,20.79,20.79,609814
2019-01-11,20.89,21.25,20.54,20.85,20.85,812649
2019-01-14,20.79,20.79,20.5,20.60,20.60,427529
2019-01-15,21.0,21.0,20.5,20.54,20.54,328502
2019-01-16,20.54,20.89,20.45,20.60,20.60,561232
2019-01-17,20.75,20.79,20.5,20.54,20.54,406907
2019-01-18,20.89,20.89,20.45,20.5,20.5,391173
2019-01-21,20.60,20.60,20.0,20.04,20.04,398824
2019-01-22,19.89,20.04,19.5,19.54,19.54,318786
2019-01-23,19.54,20.10,19.35,19.85,19.85,371440
2019-01-24,19.45,19.79,19.45,19.70,19.70,225101
2019-01-25,19.70,19.95,19.0,19.14,19.14,347742
2019-01-28,19.14,19.25,18.5,18.54,18.54,394554
2019-01-29,18.60,18.85,18.04,18.75,18.75,314916
2019-01-30,18.64,19.10,18.64,18.79,18.79,270395
2019-01-31,18.89,19.29,18.70,19.04,19.04,334017
2019-02-01,19.04,19.5,18.85,19.0,19.0,383347
2019-02-04,18.64,18.79,18.45,18.54,18.54,223380
2019-02-05,18.39,18.60,17.60,18.10,18.10,345865
2019-02-06,18.10,18.20,17.60,17.85,17.85,342422
2019-02-07,17.95,18.5,17.75,18.10,18.10,333838
2019-02-08,18.35,18.35,16.89,17.79,17.79,1315865
2019-02-11,17.10,17.64,17.10,17.5,17.5,355504
2019-02-12,17.60,17.64,17.10,17.25,17.25,208419
2019-02-14,16.89,17.39,16.89,17.25,17.25,215837
2019-02-15,17.25,17.45,17.04,17.14,17.14,183029
2019-02-18,17.14,17.29,16.70,16.95,16.95,230757
2019-02-19,17.10,17.35,16.89,17.04,17.04,199185
2019-02-20,17.14,17.35,17.0,17.25,17.25,258873
2019-02-21,19.70,19.70,18.20,18.54,18.54,2133161
2019-02-22,18.64,19.0,18.5,18.85,18.85,723635
2019-02-25,19.20,19.45,18.89,19.04,19.04,590148
2019-02-26,18.85,18.85,18.0,18.35,18.35,487755
2019-02-27,18.75,19.39,18.5,18.85,18.85,1069520
2019-02-28,18.89,18.89,18.5,18.64,18.64,372196
2019-03-01,18.79,19.39,18.70,19.04,19.04,618129
2019-03-05,19.25,19.39,19.04,19.29,19.29,580814
2019-03-06,19.39,19.85,19.25,19.35,19.35,504653
2019-03-07,19.45,19.54,19.25,19.5,19.5,550731
2019-03-08,19.5,19.5,19.10,19.25,19.25,293797
2019-03-11,19.35,19.85,19.14,19.25,19.25,1081286
2019-03-12,19.29,19.60,19.14,19.20,19.20,598843
2019-03-13,19.20,19.20,18.79,18.95,18.95,409426
2019-03-14,19.04,19.35,18.70,18.79,18.79,576455
2019-03-15,18.79,18.95,18.20,18.39,18.39,1050635
2019-03-18,18.5,18.75,18.29,18.5,18.5,547216
2019-03-19,18.54,19.14,18.54,18.89,18.89,685973
2019-03-20,18.89,19.04,18.64,18.75,18.75,301568
2019-03-22,18.85,18.89,18.45,18.5,18.5,352775
2019-03-25,18.5,18.5,18.25,18.35,18.35,227316
2019-03-26,18.35,18.54,18.29,18.45,18.45,194043
2019-03-27,19.95,20.0,18.5,18.70,18.70,2565664
2019-03-28,19.10,19.29,18.79,18.95,18.95,1549596
2019-04-01,18.95,20.45,18.89,19.70,19.70,4422064
2019-04-02,19.95,20.10,19.0,19.14,19.14,1930099
2019-04-03,19.25,19.60,18.89,19.0,19.0,1047931
