Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,38.72,39.71,38.55,39.47,37.89,148158800
2019-01-03,35.99,36.43,35.5,35.54,34.11,365248800
2019-01-04,36.13,37.13,35.95,37.06,35.57,234428400
2019-01-07,37.17,37.20,36.47,36.98,35.49,219111200
2019-01-08,37.38,37.95,37.13,37.68,36.17,164101200
2019-01-09,37.82,38.63,37.40,38.32,36.78,180396400
2019-01-10,38.12,38.49,37.71,38.45,36.90,143122800
2019-01-11,38.22,38.42,37.87,38.07,36.54,108092800
2019-01-14,37.71,37.81,37.30,37.5,35.99,129756800
2019-01-15,37.56,38.34,37.51,38.26,36.72,114843600
2019-01-16,38.27,38.97,38.25,38.73,37.17,122278800
2019-01-17,38.54,39.41,38.31,38.96,37.39,119284800
2019-01-18,39.37,39.47,38.99,39.20,37.62,135004000
2019-01-22,39.10,39.18,38.15,38.32,36.78,121576000
2019-01-23,38.53,38.78,37.92,38.47,36.93,92522400
2019-01-24,38.52,38.61,37.93,38.17,36.64,101766000
2019-01-25,38.86,39.53,38.58,39.43,37.85,134142000
2019-01-28,38.94,39.08,38.41,39.07,37.50,104768400
2019-01-29,39.06,39.53,38.52,38.66,37.11,166348800
2019-01-30,40.81,41.53,40.05,41.31,39.65,244439200
2019-01-31,41.52,42.25,41.13,41.61,39.93,162958400
2019-02-01,41.74,42.24,41.48,41.63,39.95,130672400
2019-02-04,41.85,42.91,41.81,42.81,41.09,125982000
2019-02-05,43.21,43.77,43.08,43.54,41.79,144406400
2019-02-06,43.66,43.89,43.21,43.56,41.80,112958400
2019-02-07,43.09,43.48,42.58,42.73,41.01,126966800
2019-02-08,42.24,42.66,42.10,42.60,41.06,95280000
2019-02-11,42.76,42.80,42.31,42.35,40.82,83973600
2019-02-12,42.52,42.75,42.42,42.72,41.18,89134000
2019-02-13,42.84,43.11,42.47,42.54,41.01,89960800
2019-02-14,42.42,42.81,42.34,42.70,41.15,87342800
2019-02-15,42.81,42.92,42.43,42.60,41.06,98507200
2019-02-19,42.42,42.86,42.37,42.73,41.19,75891200
2019-02-20,42.79,43.33,42.74,43.00,41.45,104457600
2019-02-21,42.95,43.09,42.57,42.76,41.22,68998800
2019-02-22,42.89,43.25,42.84,43.24,41.68,75652800
2019-02-25,43.54,43.96,43.48,43.55,41.98,87493600
2019-02-26,43.42,43.82,43.29,43.58,42.01,68280800
2019-02-27,43.30,43.75,43.18,43.71,42.14,111341600
2019-02-28,43.58,43.72,43.22,43.28,41.72,112861600
2019-03-01,43.56,43.78,43.22,43.74,42.16,103544800
2019-03-04,43.92,44.43,43.49,43.96,42.37,109744800
2019-03-05,43.98,44.0,43.63,43.88,42.29,78949600
2019-03-06,43.66,43.87,43.48,43.63,42.05,83241600
2019-03-07,43.46,43.61,43.00,43.12,41.56,99185600
2019-03-08,42.58,43.26,42.37,43.22,41.66,95997600
2019-03-11,43.87,44.77,43.83,44.72,43.11,128044000
2019-03-12,45.0,45.66,44.84,45.22,43.59,129870400
2019-03-13,45.56,45.82,45.22,45.42,43.78,124130000
2019-03-14,45.97,46.02,45.63,45.93,44.27,94318000
2019-03-15,46.21,46.83,45.93,46.52,44.85,156171600
2019-03-18,46.45,47.09,46.44,47.00,45.30,104879200
2019-03-19,47.08,47.24,46.47,46.63,44.95,126585600
2019-03-20,46.55,47.37,46.18,47.04,45.34,124140800
2019-03-21,47.50,49.08,47.45,48.77,47.01,204136800
2019-03-22,48.83,49.42,47.69,47.76,46.03,169630800
2019-03-25,47.87,47.99,46.65,47.18,45.48,175381200
2019-03-26,47.91,48.22,46.14,46.69,45.01,199202000
2019-03-27,47.18,47.43,46.63,47.11,45.41,119393600
2019-03-28,47.23,47.38,46.88,47.18,45.47,83121600
2019-03-29,47.45,47.52,47.13,47.48,45.77,94256000
2019-04-01,47.90,47.91,47.09,47.81,46.08,111448000
2019-04-02,47.77,48.61,47.76,48.50,46.75,91062800
2019-04-03,48.31,49.12,48.28,48.83,47.07,93087200
2019-04-04,48.69,49.09,48.28,48.92,47.15,76457200
2019-04-05,49.11,49.27,48.98,49.25,47.47,74106400
2019-04-08,49.10,50.05,49.08,50.02,48.22,103526800
2019-04-09,50.08,50.71,49.80,49.87,48.07,143072800
2019-04-10,49.66,50.18,49.54,50.15,48.34,86781200
2019-04-11,50.21,50.25,49.61,49.73,47.94,83603200
2019-04-12,49.79,50.03,49.05,49.71,47.92,111042800
2019-04-15,49.64,49.96,49.50,49.80,48.01,70146400
2019-04-16,49.86,50.34,49.63,49.81,48.01,102785600
2019-04-17,49.88,50.84,49.65,50.78,48.95,115627200
2019-04-18,50.77,51.03,50.63,50.96,49.12,96783200
2019-04-22,50.70,51.23,50.58,51.13,49.28,77758000
2019-04-23,51.10,51.93,50.97,51.86,49.99,93292000
2019-04-24,51.84,52.11,51.76,51.79,49.92,70162400
2019-04-25,51.70,51.93,51.27,51.31,49.46,74172800
2019-04-26,51.22,51.25,50.52,51.07,49.23,74596400
2019-04-29,51.09,51.49,50.96,51.15,49.30,88818800
2019-04-30,50.76,50.84,49.77,50.16,48.35,186139600
2019-05-01,52.47,53.82,52.30,52.63,50.73,259309200
2019-05-02,52.45,53.16,52.03,52.28,50.40,127985200
2019-05-03,52.72,52.95,52.55,52.93,51.02,83569600
2019-05-06,51.07,52.20,50.87,52.11,50.23,129772400
2019-05-07,51.47,51.85,50.20,50.71,48.88,155054800
2019-05-08,50.47,51.33,50.43,50.72,48.89,105358000
2019-05-09,50.09,50.41,49.16,50.18,48.36,139634400
2019-05-10,49.35,49.71,48.19,49.29,47.69,164834800
2019-05-13,46.92,47.36,45.71,46.43,44.92,229722400
2019-05-14,46.60,47.42,46.35,47.16,45.63,146118800
2019-05-15,46.56,47.93,46.50,47.72,46.18,106178800
2019-05-16,47.47,48.11,47.20,47.52,45.98,132125600
2019-05-17,46.73,47.72,46.68,47.25,45.72,131516400
2019-05-20,45.88,46.08,45.06,45.77,44.29,154449200
2019-05-21,46.30,47.0,46.17,46.65,45.14,113459200
2019-05-22,46.16,46.42,45.63,45.69,44.21,118994400
2019-05-23,44.95,45.13,44.45,44.91,43.46,146118800
2019-05-24,45.04,45.53,44.65,44.74,43.29,94858800
2019-05-28,44.72,45.14,44.47,44.55,43.11,111792800
2019-05-29,44.10,44.83,44.0,44.34,42.90,113924800
2019-05-30,44.48,44.80,44.16,44.57,43.13,84873600
2019-05-31,44.05,44.49,43.74,43.76,42.35,108174400
2019-06-03,43.90,44.47,42.56,43.32,41.92,161584400
2019-06-04,43.86,44.95,43.63,44.90,43.45,123872000
2019-06-05,46.06,46.24,45.28,45.63,44.15,119093600
2019-06-06,45.77,46.36,45.53,46.30,44.80,90105200
2019-06-07,46.62,47.97,46.44,47.53,45.99,122737600
2019-06-10,47.95,48.84,47.90,48.14,46.58,104883600
2019-06-11,48.71,49.0,48.40,48.70,47.12,107731600
2019-06-12,48.48,48.99,48.34,48.54,46.97,73012800
2019-06-13,48.67,49.19,48.40,48.53,46.96,86698400
2019-06-14,47.88,48.39,47.57,48.18,46.62,75046000
2019-06-17,48.22,48.74,48.04,48.47,46.90,58676400
2019-06-18,49.01,50.07,48.80,49.61,48.00,106204000
2019-06-19,49.91,49.97,49.32,49.46,47.86,84496800
2019-06-20,50.09,50.15,49.50,49.86,48.25,86056000
2019-06-21,49.70,50.21,49.53,49.69,48.08,191202400
2019-06-24,49.63,50.04,49.54,49.64,48.03,72881600
2019-06-25,49.60,49.81,48.82,48.89,47.31,84281200
2019-06-26,49.44,50.24,49.33,49.95,48.33,104270000
2019-06-27,50.07,50.39,49.89,49.93,48.31,83598800
2019-06-28,49.66,49.87,49.26,49.47,47.87,124442400
2019-07-01,50.79,51.12,50.16,50.38,48.75,109012000
2019-07-02,50.35,50.78,50.34,50.68,49.04,67740800
2019-07-03,50.81,51.11,50.67,51.10,49.44,45448000
2019-07-05,50.83,51.27,50.72,51.05,49.40,69062000
2019-07-08,50.20,50.34,49.60,50.00,48.38,101354400
2019-07-09,49.79,50.37,49.70,50.31,48.68,82312000
2019-07-10,50.46,50.93,50.38,50.80,49.16,71588400
2019-07-11,50.82,51.09,50.42,50.43,48.80,80767200
2019-07-12,50.61,51.0,50.54,50.82,49.18,70380800
2019-07-15,51.02,51.46,51.0,51.30,49.64,67789600
2019-07-16,51.14,51.52,50.87,51.12,49.47,67467200
2019-07-17,51.01,51.27,50.81,50.83,49.19,56430000
2019-07-18,51.0,51.47,50.92,51.41,49.75,74162400
2019-07-19,51.44,51.62,50.59,50.64,49.00,83717200
2019-07-22,50.91,51.80,50.90,51.80,50.12,89111600
2019-07-23,52.11,52.22,51.82,52.20,50.52,73420800
2019-07-24,51.91,52.28,51.79,52.16,50.47,59966400
2019-07-25,52.22,52.31,51.68,51.75,50.08,55638400
2019-07-26,51.86,52.43,51.78,51.93,50.25,70475600
2019-07-29,52.11,52.65,52.11,52.41,50.72,86693600
2019-07-30,52.18,52.54,51.82,52.19,50.50,135742800
2019-07-31,54.10,55.34,52.82,53.25,51.53,277125600
2019-08-01,53.47,54.50,51.68,52.10,50.42,216071600
2019-08-02,51.38,51.60,50.40,51.00,49.35,163448400
2019-08-05,49.49,49.66,48.14,48.33,46.77,209572000
2019-08-06,49.07,49.51,48.50,49.25,47.65,143299200
2019-08-07,48.85,49.88,48.45,49.75,48.14,133457600
2019-08-08,50.04,50.88,49.84,50.85,49.21,108038000
2019-08-09,50.32,50.68,49.82,50.24,48.80,98478800
2019-08-12,49.90,50.51,49.78,50.11,48.68,89927600
2019-08-13,50.25,53.03,50.11,52.24,50.74,188874000
