Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,73.26,77.66,73.04,76.95,76.95,159662000
2019-01-03,76.00,76.90,74.85,75.01,75.01,139512000
2019-01-04,76.5,79.69,75.91,78.76,78.76,183652000
2019-01-07,80.11,81.72,79.45,81.47,81.47,159864000
2019-01-08,83.23,83.83,80.83,82.82,82.82,177628000
2019-01-09,82.64,83.38,82.06,82.97,82.97,126976000
2019-01-10,82.05,83.16,81.08,82.81,82.81,130154000
2019-01-11,82.02,83.01,81.81,82.02,82.02,93724000
2019-01-14,80.75,82.41,79.75,80.86,80.86,120118000
2019-01-15,81.59,83.75,81.30,83.72,83.72,119970000
2019-01-16,84.21,85.25,83.79,84.18,84.18,127338000
2019-01-17,84.0,85.00,83.87,84.66,84.66,84178000
2019-01-18,85.59,85.80,84.57,84.80,84.80,120410000
2019-01-22,84.05,84.09,80.51,81.60,81.60,128336000
2019-01-23,82.80,82.87,80.59,82.00,82.00,104504000
2019-01-24,82.05,82.86,81.58,82.74,82.74,81798000
2019-01-25,83.52,84.17,83.08,83.52,83.52,98918000
2019-01-28,82.17,82.25,80.70,81.89,81.89,96754000
2019-01-29,81.56,81.61,79.53,79.69,79.69,92656000
2019-01-30,81.15,83.84,80.98,83.52,83.52,115676000
2019-01-31,84.64,86.82,83.95,85.93,85.93,218206000
2019-02-01,81.94,83.65,81.10,81.31,81.31,230124000
2019-02-04,81.15,82.48,80.67,81.66,81.66,98582000
2019-02-05,82.16,83.26,82.12,82.94,82.94,89062000
2019-02-06,83.53,83.61,81.66,82.01,82.01,78798000
2019-02-07,81.25,81.27,79.64,80.71,80.71,92532000
2019-02-08,79.30,79.42,78.33,79.41,79.41,113150000
2019-02-11,80.04,80.46,79.30,79.55,79.55,66346000
2019-02-12,80.19,81.97,79.94,81.90,81.90,97172000
2019-02-13,82.34,82.81,81.85,82.0,82.0,71206000
2019-02-14,81.22,81.89,80.30,81.13,81.13,82410000
2019-02-15,81.39,81.44,80.22,80.39,80.39,86878000
2019-02-19,80.05,81.69,80.02,81.37,81.37,73634000
2019-02-20,81.5,81.74,80.50,81.10,81.10,66752000
2019-02-21,80.99,81.17,80.04,80.97,80.97,69668000
2019-02-22,81.17,81.74,81.05,81.57,81.57,61924000
2019-02-25,82.07,82.73,81.51,81.65,81.65,63690000
2019-02-26,81.29,81.99,80.80,81.81,81.81,53316000
2019-02-27,81.40,82.09,80.75,82.05,82.05,62976000
2019-02-28,81.76,82.58,81.69,81.99,81.99,60518000
2019-03-01,82.75,83.71,82.55,83.58,83.58,99498000
2019-03-04,84.25,85.47,83.71,84.80,84.80,123348000
2019-03-05,85.14,85.38,84.45,84.62,84.62,73630000
2019-03-06,84.79,84.88,83.41,83.44,83.44,79920000
2019-03-07,83.36,83.48,81.02,81.29,81.29,99140000
2019-03-08,80.20,81.13,79.32,81.04,81.04,93340000
2019-03-11,81.30,83.61,81.30,83.53,83.53,77528000
2019-03-12,83.44,84.21,83.04,83.65,83.65,72290000
