Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,316.19,323.95,313.70,323.80,314.64,3292200
2019-01-03,319.48,319.73,309.39,310.89,302.10,5705600
2019-01-04,316.69,328.44,316.07,327.07,317.82,4448800
2019-01-07,330.51,330.69,323.35,328.10,318.82,4030300
2019-01-08,334.10,341.25,332.64,340.52,330.89,4736500
2019-01-09,342.95,347.20,340.86,343.82,334.09,4213900
2019-01-10,346.51,353.47,343.0,352.60,342.63,5358100
2019-01-11,348.55,354.35,348.08,352.89,342.91,3158900
2019-01-14,348.20,352.80,347.01,350.35,340.44,2476400
2019-01-15,352.0,353.32,347.98,352.23,342.27,2940900
2019-01-16,352.5,355.0,351.55,352.05,342.09,2731100
2019-01-17,350.75,363.82,350.73,359.08,348.92,4270400
2019-01-18,363.88,367.32,361.32,364.73,354.40,4256500
2019-01-22,362.85,364.20,354.23,357.89,347.77,4336500
2019-01-23,361.91,362.20,353.67,358.60,348.46,2924900
2019-01-24,358.91,363.17,356.89,358.26,348.12,2801300
2019-01-25,362.48,366.94,360.32,364.20,353.89,3185600
2019-01-28,360.64,363.17,357.5,362.97,352.69,3128900
2019-01-29,363.07,367.77,362.41,364.91,354.58,3202700
2019-01-30,387.39,391.97,380.5,387.72,376.74,12705300
2019-01-31,387.16,388.98,382.07,385.61,374.70,6878500
2019-02-01,386.10,392.79,384.73,387.42,376.46,5625700
2019-02-04,388.97,397.07,388.11,397.0,385.76,4256600
2019-02-05,400.75,410.75,399.54,410.17,398.57,7230400
2019-02-06,411.51,413.88,405.66,411.10,399.47,5356000
2019-02-07,407.92,410.35,402.29,405.17,395.68,5211400
2019-02-08,400.0,404.95,397.79,404.91,395.42,4570900
2019-02-11,408.10,409.82,402.69,403.95,394.48,3046900
2019-02-12,407.0,411.20,405.39,410.72,401.10,3263300
2019-02-13,412.51,412.72,407.67,410.57,400.96,3078700
2019-02-14,408.92,412.22,407.79,409.82,400.22,2724300
2019-02-15,412.48,418.04,411.42,417.97,408.18,4017300
2019-02-19,415.5,417.94,414.54,416.26,406.51,3051500
2019-02-20,417.14,421.83,417.10,421.54,411.67,3990100
2019-02-21,421.57,422.41,415.67,417.57,407.79,2880500
2019-02-22,419.70,424.47,419.14,424.04,414.11,3132300
2019-02-25,427.48,429.92,426.51,426.86,416.87,3276100
2019-02-26,426.0,429.0,424.25,426.76,416.77,2503700
2019-02-27,427.17,436.32,427.14,435.44,425.24,4603800
2019-02-28,438.70,441.42,437.07,439.95,429.65,5063100
2019-03-01,446.01,446.01,440.19,440.61,430.29,5124200
2019-03-04,443.22,444.5,426.63,432.69,422.55,5971000
2019-03-05,431.04,433.85,428.64,430.11,420.04,2844300
2019-03-06,429.70,432.0,422.07,424.45,414.51,4159400
2019-03-07,423.35,434.35,416.44,422.55,412.66,4893600
2019-03-08,416.76,423.42,415.5,422.54,412.64,3794900
2019-03-11,371.26,402.67,365.54,400.01,390.64,34742200
2019-03-12,384.70,390.0,368.0,375.41,366.61,36922600
2019-03-13,378.42,381.76,363.32,377.14,368.30,32662300
2019-03-14,374.98,380.39,372.10,373.29,364.55,13514100
2019-03-15,370.88,385.70,366.45,378.98,370.11,26697700
2019-03-18,370.0,373.07,367.20,372.27,363.56,13119200
2019-03-19,371.14,378.76,371.01,373.42,364.68,9856100
2019-03-20,374.70,380.79,373.67,376.16,367.34,8737600
2019-03-21,374.04,377.0,372.23,372.70,363.97,6951000
2019-03-22,368.79,369.85,361.52,362.17,353.68,10143900
2019-03-25,365.0,371.20,362.89,370.45,361.78,7939600
2019-03-26,375.57,375.60,367.60,370.38,361.70,6479700
2019-03-27,371.89,376.66,365.54,374.20,365.44,9600000
2019-03-28,376.60,376.66,372.32,374.44,365.66,4921300
2019-03-29,376.51,382.17,374.73,381.42,372.48,7694700
2019-04-01,385.79,392.89,383.10,391.54,382.36,7735700
2019-04-02,388.5,394.82,388.5,390.75,381.59,6401000
2019-04-03,389.67,391.54,384.07,384.73,375.72,7350300
2019-04-04,385.98,397.05,385.10,395.85,386.58,9388100
2019-04-05,398.07,398.66,390.95,391.92,382.75,6857200
2019-04-08,376.20,379.79,371.85,374.51,365.74,14482600
2019-04-09,370.29,372.23,367.75,369.04,360.39,7980100
2019-04-10,368.39,368.79,362.92,364.94,356.39,8285000
2019-04-11,364.61,371.07,364.20,370.16,361.49,6598400
2019-04-12,375.75,379.95,372.0,379.64,370.74,7334600
2019-04-15,376.70,377.89,373.67,375.45,366.66,3822100
2019-04-16,376.51,384.64,375.02,381.72,372.77,7083800
2019-04-17,384.10,384.19,377.48,377.51,368.67,4424400
2019-04-18,377.51,382.17,377.51,380.07,371.16,4703100
2019-04-22,375.69,378.95,374.89,375.17,366.38,4147700
2019-04-23,375.54,376.86,372.60,374.01,365.25,4894500
2019-04-24,377.89,381.14,373.66,375.45,366.66,9855100
2019-04-25,376.01,384.79,372.76,382.79,373.83,6615000
2019-04-26,383.89,384.0,378.14,380.79,371.87,4259600
2019-04-29,378.48,385.29,376.76,379.04,370.17,5457300
2019-04-30,379.5,381.14,375.04,377.69,368.84,3732800
2019-05-01,378.52,381.20,376.38,376.79,367.97,2765600
2019-05-02,375.5,377.64,373.25,375.79,366.99,2438800
2019-05-03,376.07,377.89,374.22,376.45,367.64,2953800
2019-05-06,367.88,372.48,365.63,371.60,362.89,4747600
2019-05-07,366.32,367.70,355.01,357.23,348.86,9740300
2019-05-08,357.76,361.51,353.32,359.75,351.32,6030000
2019-05-09,354.76,355.64,347.47,354.13,347.82,6075200
2019-05-10,351.86,355.54,347.54,354.67,348.35,4574100
2019-05-13,344.51,346.63,337.0,337.36,331.36,7757800
2019-05-14,339.89,346.10,337.23,343.04,336.93,4747800
2019-05-15,339.79,348.79,337.64,345.64,339.48,4810000
2019-05-16,348.64,356.5,345.82,353.80,347.50,6036500
2019-05-17,351.5,359.98,351.16,355.01,348.69,5282900
2019-05-20,353.0,355.94,350.52,352.79,346.50,3219900
2019-05-21,358.02,360.76,354.88,358.75,352.36,4022600
2019-05-22,357.22,357.57,351.75,352.77,346.49,3841400
2019-05-23,345.92,351.47,341.14,350.54,344.30,5305400
2019-05-24,355.0,361.39,353.0,354.89,348.57,5387500
2019-05-28,355.29,359.30,354.88,354.88,348.55,3504300
2019-05-29,352.58,352.79,346.04,348.79,342.58,4160500
2019-05-30,350.0,351.92,347.94,349.86,343.63,2183900
2019-05-31,345.85,345.85,341.35,341.60,335.52,3217600
2019-06-03,338.20,339.10,330.67,338.89,332.85,5148000
2019-06-04,342.57,346.41,340.11,344.61,338.48,3592300
2019-06-05,346.22,353.25,332.48,348.75,342.53,3188400
2019-06-06,348.17,351.64,345.57,350.64,344.39,2582300
2019-06-07,352.29,355.27,352.29,353.70,347.40,2470700
2019-06-10,356.0,357.39,353.54,353.79,347.49,2560800
2019-06-11,355.42,355.47,348.13,349.32,343.10,2702700
2019-06-12,349.0,349.26,342.79,347.02,340.84,2738300
2019-06-13,347.25,349.05,344.10,348.85,342.64,2621300
2019-06-14,348.0,349.17,345.89,347.16,340.97,2258400
2019-06-17,348.61,356.04,347.04,354.89,348.57,3746400
2019-06-18,357.60,374.64,357.60,373.95,367.29,9199200
2019-06-19,375.39,379.30,368.35,368.55,361.99,5716000
2019-06-20,373.0,375.79,368.95,374.88,368.20,3794500
2019-06-21,374.39,376.10,371.72,371.83,365.21,4923700
2019-06-24,372.95,375.48,372.10,373.98,367.32,2323200
2019-06-25,374.75,375.25,368.02,369.32,362.74,3005400
2019-06-26,371.01,378.98,370.0,374.94,368.26,4542000
2019-06-27,367.54,369.92,362.35,364.01,357.53,8980000
2019-06-28,363.92,366.23,361.57,364.01,357.52,4737100
2019-07-01,364.88,365.23,353.32,356.45,350.11,6392600
2019-07-02,355.63,356.77,352.69,354.16,347.85,3774700
2019-07-03,354.5,354.85,352.26,354.47,348.15,2164900
2019-07-05,354.0,357.25,351.42,355.85,349.52,3208200
2019-07-08,350.41,352.95,349.39,351.11,344.86,3262300
2019-07-09,349.04,353.85,347.89,353.08,346.80,4828200
2019-07-10,354.48,356.51,351.25,352.29,346.02,2946700
2019-07-11,352.61,359.26,350.70,359.0,352.60,5059200
2019-07-12,360.0,365.45,358.14,365.32,358.82,3592800
2019-07-15,360.5,362.85,359.01,361.60,355.16,4814600
2019-07-16,361.26,365.35,361.20,362.75,356.28,2960400
2019-07-17,362.75,369.75,362.0,369.51,362.93,4010000
2019-07-18,367.60,368.45,359.75,361.10,354.67,4582800
2019-07-19,370.67,378.39,368.5,377.35,370.63,9504000
2019-07-22,376.94,382.48,371.89,373.42,366.76,4265100
2019-07-23,374.26,376.42,370.67,373.07,366.42,3354900
2019-07-24,370.27,371.35,360.02,361.42,354.99,7447900
2019-07-25,356.17,357.69,345.70,348.08,341.89,9663700
2019-07-26,346.20,348.42,342.0,345.0,338.85,4441100
2019-07-29,344.98,346.07,339.10,340.20,334.15,4116600
2019-07-30,339.83,347.48,336.55,347.45,341.27,4528000
2019-07-31,348.48,351.29,341.04,341.17,335.10,5219700
2019-08-01,341.91,344.29,333.0,334.29,328.33,6465300
2019-08-02,334.55,340.54,332.32,339.55,333.51,4675400
2019-08-05,332.45,333.36,326.95,331.05,325.16,5876100
2019-08-06,333.98,335.70,329.14,332.45,326.52,3653300
2019-08-07,328.60,333.64,324.57,331.38,325.47,4187600
2019-08-08,331.29,336.42,328.85,336.35,332.42,3673000
2019-08-09,334.05,339.07,333.17,337.54,333.60,3102900
2019-08-12,333.67,336.01,331.36,332.94,329.05,2683400
2019-08-13,331.82,337.39,330.5,332.85,328.97,3689700
2019-08-14,328.35,329.54,320.41,320.42,316.67,5110400
2019-08-15,323.0,328.07,319.54,328.0,324.16,4721800
2019-08-16,330.22,331.16,326.48,330.45,326.58,3866600
2019-08-19,334.17,335.91,331.39,333.77,329.88,2335600
2019-08-20,332.47,333.5,328.88,331.75,327.87,2039000
2019-08-21,335.48,342.57,333.20,339.98,336.01,3265600
2019-08-22,342.42,356.44,341.01,354.41,350.26,8320900
2019-08-23,355.35,369.69,354.35,356.01,351.85,11518700
2019-08-26,365.04,367.33,356.89,359.04,354.84,4661100
2019-08-27,359.42,361.30,353.61,354.73,350.58,3740300
2019-08-28,353.30,360.19,351.17,359.97,355.76,2402000
2019-08-29,363.85,366.04,360.17,362.73,358.50,2717500
2019-08-30,364.36,366.36,362.39,364.08,359.83,3147000
2019-09-03,354.10,355.32,350.60,354.42,350.27,4272200
2019-09-04,357.67,358.02,354.42,356.52,352.36,2737100
2019-09-05,360.14,364.70,359.13,360.29,356.09,3643300
2019-09-06,361.60,364.91,359.11,363.0,358.75,3022600
2019-09-09,357.98,360.92,354.73,358.77,354.58,4183300
2019-09-10,359.0,369.48,358.54,369.48,365.17,4547200
2019-09-11,368.73,383.5,368.0,382.94,378.46,8437000
2019-09-12,383.70,384.0,374.30,375.63,371.24,4495300
2019-09-13,377.39,381.75,377.04,379.76,375.32,3628900
2019-09-16,378.14,381.63,375.0,378.85,374.42,3055500
2019-09-17,378.41,385.30,377.79,384.20,379.71,3269500
2019-09-18,383.25,386.73,379.79,386.41,381.89,4186400
2019-09-19,386.14,388.51,382.89,384.44,379.94,2928800
2019-09-20,384.10,384.73,377.92,379.39,374.95,6643000
2019-09-23,376.60,380.10,374.42,377.02,372.62,2674900
2019-09-24,379.54,381.89,375.30,381.64,377.19,3533300
2019-09-25,384.91,391.0,383.10,386.20,381.68,4705500
2019-09-26,387.10,388.23,383.32,386.89,382.37,2520400
2019-09-27,388.19,389.69,381.30,382.85,378.38,2730800
2019-09-30,383.0,383.76,376.69,380.47,376.02,3183300
2019-10-01,381.70,382.85,374.63,374.94,370.55,2943800
2019-10-02,371.85,372.98,363.76,367.35,363.06,3698300
2019-10-03,366.20,372.25,363.23,372.07,367.72,2623900
2019-10-04,372.25,376.13,371.72,375.70,371.31,2008400
2019-10-07,374.05,378.14,373.05,376.54,372.14,1931800
2019-10-08,371.04,377.33,368.64,374.10,369.72,4030200
2019-10-09,376.0,377.85,373.5,374.95,370.57,2774100
2019-10-10,373.70,374.54,370.32,371.0,366.66,2723700
2019-10-11,373.0,376.94,370.07,374.92,370.54,3935400
2019-10-14,374.25,378.70,372.67,373.17,368.82,2124500
2019-10-15,372.57,373.52,370.52,370.95,366.62,2836600
2019-10-16,370.22,377.42,369.23,372.42,368.07,3657100
2019-10-17,372.42,373.79,369.05,369.05,364.74,2397100
2019-10-18,369.0,369.35,344.0,344.0,339.98,13544300
2019-10-21,332.89,334.23,324.39,331.05,327.19,15493100
2019-10-22,336.07,341.48,334.45,337.0,333.06,7949700
2019-10-23,345.0,350.79,336.5,340.5,336.52,10960800
2019-10-24,341.70,345.73,337.76,344.54,340.52,5382700
2019-10-25,342.92,343.36,338.89,339.82,335.86,4058000
2019-10-28,341.5,344.98,339.48,340.88,336.89,3234500
2019-10-29,340.19,349.72,339.22,348.92,344.85,6113600
2019-10-30,346.63,350.0,343.26,346.05,342.01,3997600
2019-10-31,344.70,346.05,339.45,339.91,335.93,3868400
2019-11-01,340.58,345.19,339.5,345.19,341.15,3538200
