Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,133.39,136.83,133.05,135.55,135.55,4783900
2019-01-03,133.47,134.77,130.10,130.39,130.39,6365700
2019-01-04,133.5,139.32,132.22,137.96,137.96,6650600
2019-01-07,141.02,143.38,138.78,142.22,142.22,9064800
2019-01-08,144.72,146.46,142.88,145.72,145.72,9057300
2019-01-09,146.88,147.5,144.52,145.99,145.99,5445900
2019-01-10,143.77,147.21,143.75,147.03,147.03,5116900
2019-01-11,146.55,148.02,145.61,147.55,147.55,5185200
2019-01-14,145.75,146.72,144.69,146.05,146.05,5815500
2019-01-15,146.35,149.86,145.80,149.19,149.19,5350400
2019-01-16,149.14,149.78,147.80,148.53,148.53,3936800
2019-01-17,148.53,150.72,147.69,149.82,149.82,3743200
2019-01-18,151.83,153.27,150.24,152.50,152.50,6151200
2019-01-22,150.33,151.38,147.39,148.94,148.94,5203300
2019-01-23,149.72,150.80,147.64,149.75,149.75,3335400
2019-01-24,149.94,150.5,146.52,146.86,146.86,6734700
2019-01-25,148.52,149.88,147.55,149.74,149.74,4600800
2019-01-28,148.16,148.19,146.10,147.33,147.33,4054700
2019-01-29,147.07,148.0,144.63,145.17,145.17,3915100
2019-01-30,147.19,149.69,146.08,149.16,149.16,4653400
2019-01-31,149.02,153.38,148.71,151.97,151.97,8615900
2019-02-01,152.39,155.94,151.07,155.86,155.86,5959200
2019-02-04,156.02,158.89,155.41,157.72,157.72,5264700
2019-02-05,158.33,159.88,157.82,158.99,158.99,4575600
2019-02-06,159.0,159.10,155.08,158.13,158.13,4205100
2019-02-07,155.96,157.05,153.36,154.92,154.92,4545500
2019-02-08,152.91,156.69,152.71,156.66,156.66,3018700
2019-02-11,158.19,161.5,157.57,159.91,159.91,7125500
2019-02-12,161.25,163.38,160.02,162.78,162.78,5631700
2019-02-13,163.44,163.57,160.27,160.39,160.39,5296000
2019-02-14,159.47,160.44,156.71,159.47,159.47,5061100
2019-02-15,160.99,161.22,158.08,159.05,159.05,5282000
2019-02-19,159.66,161.47,159.13,160.61,160.61,3883200
2019-02-20,160.33,161.49,157.21,158.53,158.53,7047200
2019-02-21,157.69,160.47,157.30,159.63,159.63,4463000
2019-02-22,160.47,161.71,160.19,161.30,161.30,4175000
2019-02-25,162.50,163.05,160.92,161.36,161.36,5076700
