Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,42.27,43.20,42.20,42.95,36.90,23833500
2019-01-03,42.29,42.40,40.95,41.06,35.56,29606700
2019-01-04,41.84,43.0,41.52,42.91,37.16,27515000
2019-01-07,42.86,43.65,42.75,43.20,37.41,19488100
2019-01-08,43.56,43.93,43.09,43.56,37.72,22071400
2019-01-09,43.86,43.86,43.16,43.31,37.51,22640000
2019-01-10,43.11,43.29,42.58,43.24,37.44,23277600
2019-01-11,43.11,43.54,42.88,43.49,37.65,17378400
2019-01-14,43.08,43.38,43.0,43.20,37.41,16243600
2019-01-15,43.33,44.04,43.15,44.02,38.11,17744100
2019-01-16,44.11,44.24,43.75,43.95,38.06,17262500
2019-01-17,43.86,44.52,43.79,44.20,38.28,18826200
2019-01-18,44.47,45.34,44.31,45.02,38.99,24416500
2019-01-22,44.88,45.24,44.38,44.77,38.77,21338400
2019-01-23,45.13,45.88,45.02,45.45,39.36,24770400
2019-01-24,45.63,45.75,45.22,45.61,39.49,17360600
2019-01-25,46.11,46.65,45.95,46.13,39.94,24196600
2019-01-28,45.72,45.77,45.22,45.75,39.61,18296700
2019-01-29,45.81,46.04,45.65,45.95,39.79,14470100
2019-01-30,45.93,46.93,45.91,46.70,40.44,18329300
2019-01-31,46.72,47.38,46.52,47.29,40.95,23693600
2019-02-01,47.36,47.56,47.04,47.34,40.99,16266500
2019-02-04,47.22,47.47,47.11,47.34,41.00,15743100
2019-02-05,47.41,47.45,47.08,47.25,40.92,16946300
2019-02-06,47.11,47.59,46.95,47.47,41.11,18160500
2019-02-07,47.18,47.31,46.49,46.70,40.43,20331200
2019-02-08,46.40,47.20,46.29,47.18,40.86,18407100
2019-02-11,47.34,47.70,47.13,47.58,41.20,19363600
2019-02-12,47.27,48.15,47.15,47.88,41.46,23909200
2019-02-13,47.86,47.95,47.11,47.5,41.13,28325600
2019-02-14,48.84,49.68,48.34,48.40,41.91,47598600
2019-02-15,48.83,49.59,48.43,49.43,42.80,30189600
2019-02-19,49.20,49.93,49.20,49.65,42.99,20204500
2019-02-20,49.70,49.79,49.34,49.63,42.97,17550900
2019-02-21,49.54,49.72,49.20,49.40,42.78,17120600
2019-02-22,49.70,50.22,49.58,50.11,43.39,22008100
2019-02-25,50.34,51.0,50.34,50.79,43.98,24264300
2019-02-26,50.50,51.40,50.47,51.18,44.31,19382500
2019-02-27,51.20,51.65,50.88,51.59,44.67,19940900
2019-02-28,51.54,51.95,51.34,51.77,44.82,30708500
2019-03-01,52.0,52.09,51.27,51.40,44.51,23683700
2019-03-04,51.65,51.91,50.63,51.15,44.30,18725900
2019-03-05,51.11,51.50,50.97,51.29,44.42,14994200
2019-03-06,51.36,51.79,50.91,51.66,44.74,19686900
2019-03-07,51.54,51.97,51.20,51.29,44.41,22209200
2019-03-08,50.72,51.13,50.50,51.06,44.22,18182200
2019-03-11,51.13,52.09,51.09,51.91,44.95,17859300
2019-03-12,52.00,52.27,51.68,52.15,45.15,19485300
2019-03-13,52.40,52.86,52.13,52.59,45.53,20568000
2019-03-14,52.63,52.95,52.50,52.74,45.66,19215900
2019-03-15,52.93,53.61,52.93,53.20,46.06,43670700
2019-03-18,53.27,53.93,53.09,53.50,46.33,19073800
2019-03-19,53.79,54.0,53.13,53.31,46.16,20596400
2019-03-20,53.15,53.86,52.86,53.25,46.12,21140800
2019-03-21,53.08,54.22,53.04,53.93,46.70,20082700
2019-03-22,53.90,54.13,52.70,52.74,45.66,23938500
2019-03-25,52.70,52.93,52.25,52.72,45.66,18774900
2019-03-26,53.18,53.49,53.0,53.22,46.09,17742700
2019-03-27,53.29,53.65,52.74,53.13,46.01,20447500
2019-03-28,53.18,53.68,53.02,53.36,46.20,13095000
2019-03-29,53.70,54.0,53.36,53.99,46.75,19582300
2019-04-01,54.47,55.02,54.38,54.97,47.60,19741700
2019-04-02,55.0,55.40,54.97,55.29,47.87,17264000
2019-04-03,55.45,55.79,55.06,55.63,48.17,21110400
2019-04-04,55.36,55.68,54.86,55.13,48.05,16412100
2019-04-05,55.25,55.61,55.13,55.20,48.11,13817500
2019-04-08,55.20,55.56,54.79,55.49,48.35,13862800
2019-04-09,55.08,55.41,54.86,55.18,48.08,15508400
2019-04-10,55.11,55.84,55.11,55.81,48.64,13460200
2019-04-11,55.93,55.95,55.31,55.59,48.45,13186000
2019-04-12,55.93,56.36,55.79,56.29,49.05,14331700
2019-04-15,56.40,56.61,56.24,56.56,49.28,12198400
2019-04-16,56.61,57.52,56.61,56.95,49.62,19718300
2019-04-17,57.18,57.31,56.29,56.31,49.06,26093600
2019-04-18,56.63,56.70,56.11,56.40,49.14,18332000
2019-04-22,56.15,56.59,56.09,56.34,49.09,11951500
2019-04-23,56.43,56.70,56.20,56.68,49.40,18796600
2019-04-24,56.63,57.15,56.58,56.88,49.56,13212000
2019-04-25,56.45,56.77,56.00,56.33,49.08,15526900
2019-04-26,56.02,56.36,55.68,55.88,48.69,18010900
