Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,107.33,111.68,107.09,110.69,88.83,6384800
2019-01-03,111.05,111.29,108.06,108.56,87.13,6496200
2019-01-04,110.27,110.98,109.47,110.81,88.93,7952500
2019-01-07,111.05,112.93,109.91,112.26,90.09,5712700
2019-01-08,113.40,113.79,111.66,111.76,89.70,5674900
2019-01-09,112.69,114.0,112.44,113.26,90.90,7097000
2019-01-10,112.51,113.62,111.70,113.44,91.04,6078300
2019-01-11,113.0,113.05,111.66,112.54,90.31,4491700
2019-01-14,111.33,112.33,111.08,111.72,89.66,6121700
2019-01-15,111.98,113.06,111.51,112.12,89.98,4226100
2019-01-16,111.43,112.31,111.22,111.40,89.40,5624100
2019-01-17,110.75,112.29,110.16,111.95,89.85,4442700
2019-01-18,113.98,114.65,113.05,114.37,91.78,9382000
2019-01-22,113.12,113.44,111.94,112.33,90.15,7242000
2019-01-23,112.37,112.66,110.41,111.38,89.39,6082300
2019-01-24,111.02,113.81,110.91,113.51,91.09,8470700
2019-01-25,114.05,114.77,112.98,113.22,90.86,6261800
2019-01-28,111.91,112.56,111.06,112.16,90.02,6886600
2019-01-29,113.02,113.34,111.76,111.83,89.74,5359900
2019-01-30,112.52,113.65,111.98,113.01,90.69,7941700
2019-01-31,113.80,115.41,113.37,114.65,92.01,11225600
2019-02-01,116.65,119.25,116.59,118.37,94.99,10934300
2019-02-04,117.5,119.75,116.30,119.73,96.09,7987900
2019-02-05,119.62,119.86,118.69,119.48,95.88,6887400
2019-02-06,119.0,119.58,118.69,118.87,95.40,4990400
2019-02-07,118.01,118.51,116.51,118.23,94.88,7281900
2019-02-08,117.73,117.88,115.91,117.58,94.36,5671000
2019-02-11,116.93,117.36,116.38,116.94,93.85,4859600
2019-02-12,118.33,118.87,117.61,118.72,95.27,5400700
2019-02-13,119.16,120.38,118.69,119.56,95.96,5935900
2019-02-14,118.37,119.52,117.66,118.16,95.78,5406500
2019-02-15,119.62,119.86,118.58,119.34,96.74,6209800
2019-02-19,118.90,119.86,118.45,119.30,96.71,4277800
2019-02-20,119.30,120.72,119.0,120.27,97.50,5940600
2019-02-21,120.06,120.31,118.38,119.13,96.57,5139400
2019-02-22,120.27,120.45,118.84,119.38,96.78,4517600
2019-02-25,119.41,120.41,119.37,119.62,96.96,5196600
2019-02-26,119.80,120.97,119.68,119.94,97.22,5445600
2019-02-27,120.29,121.29,119.88,120.08,97.33,5289800
2019-02-28,120.0,120.16,118.48,119.58,96.93,6406500
2019-03-01,120.38,122.04,120.16,122.02,98.92,7743600
2019-03-04,122.66,122.83,120.55,122.12,98.99,7499500
2019-03-05,121.87,123.34,121.58,123.29,99.94,7345200
2019-03-06,123.16,124.69,122.30,123.52,100.13,7599900
2019-03-07,123.41,123.5,121.69,121.94,98.84,7201100
