Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,164.33,172.25,163.35,172.02,154.00,3999400
2019-01-03,170.66,171.77,168.28,169.50,151.75,4060200
2019-01-04,172.99,176.0,171.10,175.05,156.71,3788300
2019-01-07,175.22,177.83,172.27,176.02,157.57,3152100
2019-01-08,177.77,178.10,172.89,175.36,156.99,2692700
2019-01-09,176.10,177.69,174.91,176.47,157.98,3321400
2019-01-10,175.66,178.07,175.5,176.0,157.56,2808700
2019-01-11,175.10,177.03,172.41,176.92,158.39,3182700
2019-01-14,174.52,179.53,174.10,178.72,159.99,3361700
2019-01-15,178.32,179.99,176.39,179.91,161.06,2911800
2019-01-16,187.0,198.14,185.60,197.08,176.43,15194200
2019-01-17,195.94,199.80,192.83,199.08,178.23,8177000
2019-01-18,200.38,203.0,196.91,202.53,181.32,5650900
2019-01-22,200.5,201.47,195.91,197.67,176.96,4648500
2019-01-23,197.55,198.08,194.52,196.89,176.27,3410700
2019-01-24,196.22,199.67,195.75,197.80,177.07,2631800
2019-01-25,199.83,201.19,199.41,200.74,179.70,3275000
2019-01-28,197.99,200.07,197.10,199.72,178.79,2369600
2019-01-29,199.0,201.97,197.86,200.5,179.49,2694100
2019-01-30,200.89,203.28,199.64,202.47,181.26,2773300
2019-01-31,200.10,202.35,196.94,198.00,177.26,5604500
2019-02-01,198.0,199.63,196.53,196.53,175.94,3174200
2019-02-04,195.80,197.75,194.78,197.72,177.00,2400200
2019-02-05,198.11,199.33,196.86,198.00,177.26,2601000
2019-02-06,197.17,199.05,195.83,196.61,176.02,2063100
2019-02-07,195.27,195.88,191.05,193.07,172.84,2948800
2019-02-08,191.72,192.61,188.22,191.66,171.58,2757500
2019-02-11,192.88,193.32,191.07,191.33,171.28,2056500
2019-02-12,193.05,195.64,193.0,194.49,174.11,2392900
2019-02-13,195.91,198.77,194.60,194.69,174.29,2757300
2019-02-14,192.21,194.13,189.44,192.52,172.35,2865000
2019-02-15,193.21,198.88,193.10,198.5,177.70,3065400
2019-02-19,196.66,199.05,195.61,198.66,177.85,2558200
2019-02-20,198.72,199.30,197.50,198.60,177.79,2266000
2019-02-21,198.97,199.44,195.05,196.36,175.78,2785900
2019-02-22,196.60,197.75,195.19,196.0,175.46,2626600
2019-02-25,198.0,201.5,197.71,198.64,177.83,3032200
2019-02-26,198.47,200.55,196.55,198.89,178.06,2499800
2019-02-27,198.5,199.88,197.11,198.10,178.06,1804200
2019-02-28,198.03,198.39,196.00,196.69,176.80,2964300
2019-03-01,198.75,201.44,197.42,198.19,178.15,2580500
2019-03-04,198.80,200.83,194.14,195.97,176.15,2683600
2019-03-05,195.85,196.17,193.0,196.0,176.17,2338600
2019-03-06,195.89,197.55,194.52,194.74,175.04,2247500
2019-03-07,193.13,193.44,190.08,192.77,173.27,3567800
2019-03-08,190.39,195.77,189.71,195.24,175.49,3162700
2019-03-11,197.22,198.97,195.72,195.97,176.14,2669000
2019-03-12,196.0,197.39,195.69,196.63,176.74,1977400
2019-03-13,197.75,198.92,196.52,197.25,177.29,1904500
2019-03-14,197.32,198.5,196.69,197.47,177.49,1482300
2019-03-15,197.16,198.85,196.85,198.25,178.20,2985200
2019-03-18,199.17,203.85,198.91,202.47,181.98,3354900
2019-03-19,204.88,206.44,200.77,201.11,180.77,3284900
2019-03-20,200.33,200.33,193.97,194.32,174.66,5033500
2019-03-21,192.89,195.55,191.75,194.58,174.89,4031500
2019-03-22,192.66,193.71,187.77,188.96,169.84,5703100
2019-03-25,189.33,191.44,186.5,188.50,169.44,3751000
2019-03-26,190.02,192.41,188.69,190.69,171.40,2910100
2019-03-27,190.60,191.61,188.74,190.02,170.80,2343800
2019-03-28,190.74,191.91,189.28,191.17,171.84,2343400
2019-03-29,192.67,193.11,191.13,191.99,172.56,2632800
2019-04-01,194.0,198.08,193.61,196.74,176.83,3562600
2019-04-02,196.24,197.75,195.39,197.5,177.52,2247000
2019-04-03,199.25,201.08,198.53,200.86,180.54,3227900
2019-04-04,200.80,204.28,200.5,202.22,181.77,2582300
2019-04-05,203.38,205.5,202.05,202.38,181.90,2447100
2019-04-08,202.78,203.63,201.17,202.53,182.05,1891500
2019-04-09,201.22,201.58,198.86,200.61,180.32,2400900
2019-04-10,201.80,203.16,200.27,202.97,182.44,1907100
2019-04-11,204.22,205.44,201.57,202.83,182.31,2802100
2019-04-12,207.0,209.97,206.36,207.83,186.81,5096600
2019-04-15,204.11,205.74,199.69,199.91,179.68,6617200
2019-04-16,199.61,202.94,199.24,201.83,181.42,4852600
2019-04-17,201.96,208.5,201.77,207.89,186.87,4195300
2019-04-18,207.08,207.86,205.14,205.91,185.08,2874300
2019-04-22,205.11,205.58,204.13,204.60,183.90,1591400
2019-04-23,204.25,205.19,202.74,204.13,183.49,2120900
2019-04-24,203.0,203.52,199.72,200.53,180.25,4606100
2019-04-25,199.69,202.55,199.10,201.39,181.02,2075300
2019-04-26,201.72,203.11,200.32,203.08,182.53,1543100
2019-04-29,203.5,208.0,203.27,206.91,185.98,2997000
2019-04-30,206.94,207.99,204.14,205.91,185.09,1833000
2019-05-01,206.39,208.41,204.02,204.72,184.02,1981800
2019-05-02,204.42,206.22,203.11,204.99,184.25,1514700
2019-05-03,206.00,208.75,205.66,207.52,186.52,1897600
2019-05-06,202.80,206.97,201.71,206.42,185.54,1927800
2019-05-07,203.33,204.0,201.00,202.63,182.13,2839500
2019-05-08,201.39,203.19,200.80,200.94,180.62,1817600
2019-05-09,199.50,202.22,197.91,201.63,181.23,2333400
2019-05-10,200.97,202.10,198.99,202.05,181.61,2089400
2019-05-13,197.89,197.89,194.0,194.97,175.24,3605600
2019-05-14,194.99,198.13,194.89,196.27,176.42,2463300
2019-05-15,194.63,197.58,193.41,196.39,176.53,2271100
2019-05-16,196.63,200.0,196.61,199.13,178.99,2008100
2019-05-17,196.30,199.08,196.30,197.42,177.45,1928300
2019-05-20,197.08,197.77,195.57,197.24,177.28,2483400
2019-05-21,198.66,199.32,198.0,199.11,178.96,2327600
2019-05-22,197.44,198.47,195.46,195.52,175.74,2427200
2019-05-23,193.0,193.0,189.55,191.97,172.55,3184100
2019-05-24,192.88,194.07,191.67,193.0,173.47,1637200
2019-05-28,192.0,193.30,189.38,189.44,170.27,3040000
2019-05-29,187.74,188.64,184.91,188.05,169.78,2815800
2019-05-30,188.08,189.36,186.00,187.36,169.17,1919300
2019-05-31,184.77,184.88,182.30,182.49,164.76,2640100
2019-06-03,181.69,183.49,180.72,183.19,165.40,2857800
2019-06-04,186.17,189.99,185.71,189.88,171.44,2420800
2019-06-05,190.10,190.16,187.00,188.44,170.14,1967800
2019-06-06,188.05,190.74,187.30,189.80,171.37,1653500
2019-06-07,189.88,190.61,188.52,189.80,171.37,1838600
2019-06-10,191.39,197.0,191.39,194.11,175.27,2372000
2019-06-11,195.30,196.11,193.50,194.72,175.82,1632200
2019-06-12,193.61,194.05,189.83,190.22,171.74,2059400
2019-06-13,190.41,192.25,190.07,191.44,172.85,1411400
2019-06-14,191.28,192.16,189.30,191.66,173.04,1403900
2019-06-17,192.02,193.22,190.74,190.83,172.30,1155600
2019-06-18,190.66,197.13,190.66,194.97,176.04,2363000
2019-06-19,195.35,197.61,194.78,195.63,176.64,2196800
2019-06-20,197.5,198.19,193.61,195.69,176.69,2749300
2019-06-21,195.33,198.33,193.97,195.94,176.91,3365500
2019-06-24,196.52,199.35,196.02,197.49,178.31,2069800
2019-06-25,197.5,197.52,194.00,196.05,177.02,1828300
2019-06-26,196.5,197.86,196.11,197.00,177.87,1649900
2019-06-27,197.57,199.61,196.75,199.32,179.96,2239200
2019-06-28,203.5,205.83,202.94,204.60,184.73,4854900
2019-07-01,208.0,209.85,205.74,206.86,186.77,2465700
2019-07-02,205.39,206.30,204.16,205.97,185.97,1621400
2019-07-03,207.30,207.39,205.22,206.03,186.03,978800
2019-07-05,206.86,208.75,206.19,207.89,187.71,1511400
2019-07-08,206.36,207.25,204.71,205.75,185.77,1853900
2019-07-09,203.75,207.94,203.53,207.77,187.59,1812100
2019-07-10,207.17,208.99,205.64,205.97,185.96,1779800
2019-07-11,206.19,212.58,206.0,211.35,190.82,3691600
2019-07-12,212.0,214.19,210.78,213.94,193.16,2626000
2019-07-15,214.11,214.60,209.78,211.58,191.03,2600200
2019-07-16,214.80,217.33,212.55,215.52,194.59,5283700
2019-07-17,213.83,215.77,213.16,213.30,192.58,2583500
2019-07-18,212.71,215.83,211.75,214.52,193.68,2858100
2019-07-19,214.02,215.77,213.35,213.52,192.78,1822300
2019-07-22,213.39,214.86,212.30,214.0,193.22,1907100
2019-07-23,214.94,220.0,214.94,219.42,198.12,3330600
2019-07-24,219.25,222.08,218.63,222.02,200.47,3180000
2019-07-25,221.77,221.77,218.22,219.97,198.61,2776700
2019-07-26,220.44,222.24,220.36,222.13,200.56,2304500
2019-07-29,221.0,222.13,220.19,220.32,198.92,1372800
2019-07-30,218.49,221.99,217.33,221.39,199.90,1644600
2019-07-31,221.24,221.97,219.00,220.13,198.75,1991100
2019-08-01,219.35,219.94,210.75,211.60,191.05,3070100
2019-08-02,211.58,211.58,205.30,209.36,189.03,2503000
2019-08-05,205.82,205.82,199.58,201.67,182.09,2794200
2019-08-06,203.55,206.07,200.88,206.00,186.00,2349400
2019-08-07,201.11,205.96,199.05,205.74,185.76,2454200
2019-08-08,207.16,207.80,203.53,207.0,186.89,2342200
2019-08-09,205.61,208.30,203.86,206.89,186.80,1790100
2019-08-12,203.27,204.14,200.47,201.52,181.95,1479300
2019-08-13,201.50,206.60,200.22,204.11,184.29,2115900
2019-08-14,199.80,199.91,195.05,195.55,176.57,3025100
2019-08-15,195.91,196.97,193.71,196.17,177.13,1981900
2019-08-16,197.02,200.66,197.0,199.41,180.05,1878700
2019-08-19,203.80,204.44,201.82,202.19,182.56,1646100
2019-08-20,200.21,201.99,199.69,199.97,180.56,1545600
2019-08-21,202.74,203.02,200.16,200.67,181.19,1160800
2019-08-22,202.27,203.44,200.91,202.41,182.76,1275900
2019-08-23,200.80,201.88,195.19,196.19,177.14,2200500
2019-08-26,198.27,199.71,198.0,199.64,180.26,1441900
2019-08-27,200.33,200.86,196.5,198.07,178.83,1513300
2019-08-28,196.57,201.47,196.25,200.41,180.95,1437800
2019-08-29,201.36,204.36,201.36,203.44,184.83,1816800
2019-08-30,204.85,205.21,203.00,203.91,185.26,1529600
2019-09-03,201.10,201.61,196.58,198.97,180.77,2633600
2019-09-04,201.49,202.10,200.05,201.72,183.28,1720600
2019-09-05,205.27,208.92,205.03,207.05,188.11,2237900
2019-09-06,207.05,208.25,205.57,207.21,188.26,1438800
2019-09-09,209.22,213.88,208.44,211.97,192.59,2734500
2019-09-10,213.5,217.08,213.22,215.63,195.91,2615800
2019-09-11,215.21,216.85,213.36,216.80,196.97,1886300
2019-09-12,216.38,220.75,215.14,218.74,198.73,2913800
2019-09-13,220.35,221.5,219.19,219.89,199.79,2722400
