Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,169.71,173.17,169.05,172.41,153.45,4242900
2019-01-03,171.83,171.83,168.21,168.61,150.07,4810500
2019-01-04,170.17,174.74,169.52,173.61,154.53,4762600
2019-01-07,173.83,178.17,173.83,177.03,157.57,4928800
2019-01-08,178.57,179.58,175.61,177.88,158.33,4722400
2019-01-09,177.86,181.27,177.10,179.72,159.97,4922000
2019-01-10,178.02,179.24,176.33,179.05,159.37,3605300
2019-01-11,177.92,180.25,177.11,179.41,159.68,3285100
2019-01-14,177.58,179.22,176.89,178.80,159.15,3871400
2019-01-15,176.08,177.82,175.19,176.47,157.06,5016100
2019-01-16,177.08,177.92,175.86,177.03,157.57,4075400
2019-01-17,174.00,175.46,172.0,174.86,155.64,6499200
2019-01-18,176.97,180.03,176.17,179.58,159.83,6371100
2019-01-22,177.49,178.60,175.36,177.11,157.63,6272700
2019-01-23,176.58,178.05,174.52,176.88,157.44,4910400
2019-01-24,177.0,177.52,175.30,177.28,157.79,3860100
2019-01-25,179.77,180.86,178.61,180.39,160.56,4501800
2019-01-28,178.97,179.99,177.41,179.83,160.05,4091400
2019-01-29,178.96,180.14,178.08,179.69,159.93,3686900
2019-01-30,180.47,184.19,179.77,182.17,162.15,5197700
2019-01-31,181.5,184.66,181.05,183.52,163.35,5138000
2019-02-01,184.02,185.14,182.83,184.36,164.10,4513100
2019-02-04,184.30,186.42,183.83,186.42,165.93,3050200
2019-02-05,186.88,186.99,184.69,186.38,165.89,4135200
2019-02-06,186.69,186.69,184.05,184.72,164.41,3072500
2019-02-07,183.74,184.91,182.44,184.07,163.83,2793400
2019-02-08,183.05,184.58,182.72,184.53,164.25,2792300
2019-02-11,185.0,185.41,182.75,182.91,162.80,3729200
2019-02-12,183.83,186.39,183.52,185.52,165.12,3773200
2019-02-13,186.30,188.67,185.91,188.41,167.69,4146900
2019-02-14,187.5,188.92,186.0,187.71,167.07,2600600
2019-02-15,189.86,192.61,189.05,192.38,171.23,4997900
2019-02-19,191.71,193.19,191.27,192.33,171.18,3828400
2019-02-20,192.38,192.39,191.11,191.85,170.75,3970100
2019-02-21,191.85,192.36,190.61,191.82,170.73,3094200
2019-02-22,191.69,192.53,191.61,192.38,171.23,3321600
2019-02-25,192.75,193.41,189.96,189.97,169.09,6190700
2019-02-26,185.58,188.47,182.80,188.30,167.59,13635100
2019-02-27,187.89,188.5,183.21,183.66,163.47,8766200
2019-02-28,183.60,185.19,183.11,185.13,164.78,8060600
2019-03-01,185.82,186.55,182.86,185.16,164.81,5481300
2019-03-04,186.19,186.24,182.10,183.80,163.60,5046800
2019-03-05,184.24,185.11,183.25,184.0,163.77,3691000
2019-03-06,184.52,184.97,183.83,184.44,164.17,4460900
2019-03-07,184.38,184.61,181.58,182.50,162.44,4122200
2019-03-08,181.49,181.91,179.52,181.22,161.30,3867100
2019-03-11,182.0,183.19,181.19,182.44,162.38,3866200
2019-03-12,183.42,184.27,182.33,184.0,163.77,3777000
2019-03-13,183.24,183.77,181.08,181.13,162.42,4528300
2019-03-14,181.27,181.74,180.5,181.61,162.84,4393000
2019-03-15,182.30,182.49,179.57,182.22,163.40,8059100
2019-03-18,182.52,183.47,182.33,183.41,164.47,4395800
2019-03-19,184.19,185.82,183.47,184.13,165.10,4437100
2019-03-20,184.30,187.11,183.42,186.10,166.87,4772600
2019-03-21,185.5,190.0,185.5,189.97,170.34,4755700
2019-03-22,189.30,192.05,188.66,188.75,169.24,5173600
2019-03-25,188.75,191.71,188.50,189.67,170.08,3845900
2019-03-26,190.69,192.19,188.74,189.33,169.77,4143300
2019-03-27,189.64,191.61,188.38,189.25,169.69,4298400
2019-03-28,189.91,191.39,189.16,190.05,170.42,3326100
2019-03-29,190.85,192.03,190.13,191.88,172.06,4674100
2019-04-01,192.99,195.89,192.85,195.63,175.42,5381400
2019-04-02,195.5,195.5,194.02,194.30,174.23,2717800
2019-04-03,194.97,198.78,194.11,198.61,178.09,4581500
2019-04-04,199.0,200.49,198.02,200.44,179.74,3138400
2019-04-05,200.86,203.13,200.61,202.05,181.18,3615300
2019-04-08,201.36,203.78,201.24,203.55,182.52,3040900
2019-04-09,202.25,202.71,200.46,200.89,180.14,3721700
2019-04-10,201.25,201.60,198.02,199.42,178.82,3587500
2019-04-11,199.89,201.5,199.02,201.47,180.66,2465100
2019-04-12,202.13,204.25,202.13,203.85,182.78,3097900
2019-04-15,204.16,205.13,203.39,204.86,183.69,3049900
2019-04-16,205.25,205.99,204.28,204.47,183.34,3271400
2019-04-17,205.33,206.83,205.32,206.55,185.21,3271900
2019-04-18,206.02,207.77,205.10,205.66,184.41,3162500
2019-04-22,204.11,206.25,204.0,204.77,183.62,2593900
2019-04-23,205.13,207.33,203.42,206.05,184.76,3702600
2019-04-24,206.16,208.30,205.53,206.72,185.36,2750900
2019-04-25,206.00,207.72,205.05,206.5,185.16,3292100
2019-04-26,205.88,206.13,203.33,203.61,182.57,3560300
2019-04-29,203.30,203.80,200.33,202.16,181.27,3785200
2019-04-30,201.55,203.75,200.78,203.69,182.65,3415600
2019-05-01,203.19,203.52,198.66,198.80,178.26,4644700
2019-05-02,199.30,201.05,198.80,201.00,180.24,2810000
2019-05-03,202.0,202.30,200.32,200.55,179.83,3583400
2019-05-06,198.74,199.92,198.30,199.63,179.00,2619400
2019-05-07,196.75,197.64,192.96,194.77,174.64,4622100
2019-05-08,194.49,196.61,193.67,195.16,175.00,3122600
2019-05-09,193.30,195.08,191.58,194.58,174.47,2917700
2019-05-10,193.21,195.49,190.00,194.58,174.47,3863600
2019-05-13,191.0,191.66,189.13,190.33,170.67,3325900
2019-05-14,190.5,192.75,190.00,191.61,171.82,3663600
2019-05-15,190.80,192.80,190.27,191.75,171.94,3355800
2019-05-16,192.47,194.96,192.19,192.38,172.50,3854000
2019-05-17,190.86,194.5,190.75,192.58,172.68,5223800
2019-05-20,191.13,192.86,190.61,190.94,171.22,4782800
2019-05-21,187.13,192.52,186.33,191.44,171.67,8555600
2019-05-22,190.49,192.22,188.05,188.91,169.39,5706000
2019-05-23,188.44,192.53,186.27,192.0,172.16,7754000
2019-05-24,192.53,193.86,190.41,193.58,173.58,3799500
2019-05-28,194.38,196.47,191.35,191.55,171.76,5165800
2019-05-29,190.27,191.88,188.02,189.99,170.36,4569900
2019-05-30,190.13,192.5,190.08,191.08,171.33,3029800
2019-05-31,189.63,190.28,188.66,189.85,170.23,3681500
2019-06-03,189.52,191.86,188.75,189.57,169.98,4620200
2019-06-04,191.58,195.5,191.41,195.25,175.07,5118100
2019-06-05,194.00,196.72,193.08,196.69,177.60,3704600
2019-06-06,196.64,197.64,194.96,197.16,178.03,3732900
2019-06-07,197.19,199.02,196.21,197.30,178.15,3522300
2019-06-10,198.55,199.85,197.32,198.05,178.83,3154500
2019-06-11,199.02,200.83,195.83,198.00,178.79,3708500
2019-06-12,198.80,200.19,197.97,198.94,179.63,2551500
2019-06-13,199.94,202.67,199.44,202.35,182.71,3630900
2019-06-14,201.30,206.5,201.30,205.77,185.80,4898000
2019-06-17,207.0,208.78,206.0,206.97,186.89,4620500
2019-06-18,208.10,210.16,207.11,207.47,187.34,3891300
2019-06-19,207.89,208.47,205.89,207.94,187.76,3648200
2019-06-20,209.57,211.66,209.30,211.25,190.75,5171500
2019-06-21,211.25,211.99,209.08,209.38,189.07,9855000
2019-06-24,208.14,209.25,205.11,205.5,185.56,4943500
2019-06-25,206.30,207.10,204.19,204.74,184.87,3587900
2019-06-26,205.33,207.32,204.64,206.41,186.39,3071200
2019-06-27,207.61,208.0,206.00,207.02,186.93,2286800
2019-06-28,207.77,209.0,207.38,207.97,187.79,11069000
2019-07-01,209.69,212.30,208.16,210.27,189.87,4097700
2019-07-02,210.24,210.25,208.46,210.13,189.75,3160500
2019-07-03,209.82,212.75,209.69,212.10,191.52,2183700
2019-07-05,209.97,212.16,209.72,211.46,190.94,2547800
2019-07-08,210.97,213.44,210.58,212.91,192.25,2705300
2019-07-09,211.92,213.33,211.19,212.0,191.43,2397400
2019-07-10,210.72,211.32,208.83,210.75,190.30,3457400
2019-07-11,212.25,214.08,211.02,214.03,193.27,3450100
2019-07-12,215.0,218.25,214.61,218.22,197.05,4429800
2019-07-15,218.94,219.30,216.80,218.69,197.48,3141300
2019-07-16,217.30,218.35,216.72,217.25,196.18,2657400
2019-07-17,216.72,217.58,215.61,215.61,194.69,3037300
2019-07-18,215.5,216.22,213.00,214.44,193.63,3068000
2019-07-19,214.66,215.22,212.92,213.03,192.36,3254800
2019-07-22,213.0,213.25,210.38,211.27,190.77,2764900
2019-07-23,212.57,214.13,211.72,213.08,192.40,2589900
2019-07-24,213.19,214.78,213.07,214.71,193.87,2207100
2019-07-25,214.27,215.91,213.63,215.55,194.63,2335300
2019-07-26,215.52,217.21,214.10,216.91,195.86,2675500
2019-07-29,216.78,218.27,216.35,218.03,196.88,2407200
2019-07-30,217.52,218.58,216.86,217.36,196.27,2172600
2019-07-31,216.35,217.80,212.16,213.69,192.95,3426400
2019-08-01,214.13,217.61,212.02,212.83,192.18,3431500
2019-08-02,211.86,213.13,211.08,212.14,191.56,2884900
2019-08-05,209.52,209.96,204.08,204.94,185.05,4553200
2019-08-06,205.00,209.08,204.5,208.80,188.54,3646800
2019-08-07,206.03,208.5,203.13,207.91,187.73,3901100
2019-08-08,209.69,211.69,208.72,211.57,191.04,2968000
2019-08-09,211.44,212.41,207.94,210.02,189.64,2912100
2019-08-12,208.10,209.63,206.14,207.00,186.92,2005000
2019-08-13,206.30,211.61,204.77,208.33,188.11,3876700
2019-08-14,204.46,205.36,201.50,201.58,182.03,4582100
2019-08-15,203.0,203.75,199.05,201.78,182.21,4199700
2019-08-16,203.75,204.42,201.66,203.64,183.89,4093600
2019-08-19,206.97,208.82,205.30,207.94,187.77,6413600
2019-08-20,213.5,217.85,212.16,217.08,196.02,12452600
2019-08-21,218.72,220.88,216.75,220.39,199.01,7938600
2019-08-22,220.05,222.66,219.88,221.02,199.57,4544600
2019-08-23,219.89,220.86,216.00,217.47,196.37,5769300
2019-08-26,218.46,219.5,216.17,218.64,197.43,3680200
2019-08-27,219.55,220.41,217.91,218.21,197.03,4311700
2019-08-28,217.88,222.08,217.11,221.94,200.41,3066700
2019-08-29,223.89,227.69,223.75,227.32,205.26,4184200
2019-08-30,228.42,229.27,226.69,227.91,205.79,3768300
2019-09-03,226.44,227.63,223.38,224.07,202.32,4139400
2019-09-04,223.94,224.14,220.66,224.14,203.63,3132900
2019-09-05,226.30,228.77,226.25,228.14,207.27,3373100
2019-09-06,228.69,231.36,227.88,231.13,209.97,3237900
2019-09-09,231.5,233.86,230.08,232.86,211.55,4449100
2019-09-10,232.25,233.02,229.71,233.0,211.67,4210600
2019-09-11,232.92,233.67,231.02,232.66,211.36,2978300
2019-09-12,233.41,235.49,233.11,233.80,212.40,3366100
2019-09-13,234.33,234.97,232.33,233.97,212.56,3805500
2019-09-16,232.72,233.61,230.61,230.99,209.85,3120200
2019-09-17,226.78,230.33,226.47,230.21,209.14,3732500
2019-09-18,230.36,231.52,229.00,230.83,209.70,3341800
2019-09-19,231.14,231.39,227.94,228.11,207.24,3134000
2019-09-20,227.99,230.05,224.22,224.66,204.11,7687700
2019-09-23,224.16,227.13,223.94,226.25,205.54,2754000
2019-09-24,228.13,230.24,224.77,225.41,204.78,4511300
2019-09-25,226.58,228.44,224.5,228.10,207.22,3716700
2019-09-26,229.67,231.11,229.0,229.78,208.76,4200600
2019-09-27,231.61,231.75,229.13,229.86,208.82,3152000
2019-09-30,230.19,232.58,230.11,232.02,210.78,3249200
2019-10-01,233.00,234.50,230.72,231.08,209.93,3335400
2019-10-02,230.60,230.60,224.33,225.55,204.90,4336100
2019-10-03,225.0,226.80,222.11,226.80,206.05,2777700
2019-10-04,227.16,229.21,227.02,227.92,207.07,3163100
2019-10-07,227.50,228.13,226.05,226.74,205.99,2917600
2019-10-08,225.36,228.77,225.10,226.66,205.92,3438500
2019-10-09,228.5,229.55,226.61,228.94,207.98,2657600
2019-10-10,229.33,232.24,229.08,231.61,210.41,2781500
2019-10-11,234.32,236.69,233.75,234.66,213.18,3459200
2019-10-14,234.22,235.49,234.05,234.17,212.75,2183900
2019-10-15,234.69,236.86,234.60,235.61,214.05,2663300
2019-10-16,235.41,236.16,233.83,235.89,214.31,2388100
2019-10-17,236.36,238.16,235.50,236.77,215.10,2250500
2019-10-18,236.99,238.72,235.63,237.92,216.15,3662500
2019-10-21,238.25,238.99,235.61,236.69,215.03,2041700
2019-10-22,237.30,238.30,236.52,237.19,215.49,2003200
2019-10-23,236.66,237.41,234.36,234.66,213.19,2110500
2019-10-24,234.80,236.36,233.07,233.88,212.48,2173900
2019-10-25,233.49,235.41,232.55,234.38,212.93,2210900
2019-10-28,234.94,236.96,234.55,236.80,215.13,2705000
2019-10-29,236.83,237.5,233.91,234.13,212.71,2558000
2019-10-30,233.50,236.60,232.88,236.24,214.62,1956700
2019-10-31,236.86,237.38,233.22,234.58,213.11,2824100
2019-11-01,236.07,237.44,235.05,237.33,215.62,2197400
2019-11-04,238.27,238.38,233.88,234.91,213.42,2542400
2019-11-05,234.74,234.91,230.27,232.19,210.95,3624600
2019-11-06,232.83,234.03,231.88,234.00,212.59,2631900
2019-11-07,234.0,235.78,231.75,232.94,211.62,2832500
2019-11-08,232.80,233.25,231.63,232.83,211.53,2088400
2019-11-11,230.5,232.27,230.17,231.80,210.58,2309600
2019-11-12,232.14,234.63,232.0,233.11,211.78,2991100
2019-11-13,232.08,234.89,230.85,234.80,213.31,2399600
2019-11-14,235.0,236.94,234.03,236.55,214.90,2282200
2019-11-15,237.69,238.05,236.36,237.28,215.57,3524700
2019-11-18,238.44,239.30,236.75,238.85,216.99,5747400
2019-11-19,230.60,233.11,225.39,225.86,205.19,14972200
2019-11-20,224.55,225.0,220.57,220.89,200.68,10225400
2019-11-21,221.94,222.30,218.5,218.53,198.54,7823700
2019-11-22,218.5,219.13,217.80,218.02,198.07,5786500
2019-11-25,218.0,218.52,216.88,218.39,198.41,8865400
2019-11-26,218.75,220.96,218.38,220.75,200.55,9981400
2019-11-27,221.67,223.44,220.66,223.0,202.59,6687500
2019-11-29,223.30,223.33,220.28,220.50,200.33,2952900
2019-12-02,220.89,221.19,217.46,217.61,197.70,4416300
2019-12-03,216.44,216.44,212.92,214.0,194.41,6505400
2019-12-04,213.5,214.96,213.19,214.10,195.75,4256200
2019-12-05,214.36,214.5,211.77,213.0,194.74,4580500
2019-12-06,214.21,215.36,213.89,214.27,195.91,4193700
2019-12-09,214.28,217.88,214.17,216.52,197.97,5111100
2019-12-10,216.52,216.69,215.10,215.89,197.39,4663000
2019-12-11,211.02,213.64,210.61,212.0,193.83,8284800
2019-12-12,212.5,214.13,210.72,212.03,193.86,9915100
2019-12-13,212.11,214.22,210.66,214.08,195.73,6869200
2019-12-16,214.42,216.72,214.30,215.52,197.05,5850300
2019-12-17,216.02,219.44,215.86,217.72,199.06,7574400
2019-12-18,218.21,219.58,217.63,218.0,199.31,6677400
2019-12-19,218.47,220.77,218.27,220.22,201.34,5405000
2019-12-20,220.58,221.57,219.80,221.19,202.23,7778200
2019-12-23,222.0,222.0,219.13,219.21,200.42,3943700
2019-12-24,219.5,221.03,219.22,220.66,201.75,2260700
2019-12-26,220.74,221.14,219.58,220.82,201.89,2649200
2019-12-27,221.19,221.78,219.77,219.97,201.11,3082800
2019-12-30,220.36,220.49,216.55,217.30,198.68,3952400
2019-12-31,217.10,218.50,216.44,218.38,199.66,3789900
2020-01-02,219.08,219.75,217.83,219.66,200.83,3935700
2020-01-03,217.13,219.67,216.75,218.92,200.16,3423200
2020-01-06,216.49,220.0,216.39,219.96,201.10,5682800
2020-01-07,219.5,220.55,216.89,218.52,199.79,5685400
2020-01-08,218.80,222.97,218.66,221.78,202.78,4916200
2020-01-09,222.63,225.55,221.85,225.19,205.89,4843600
2020-01-10,224.75,225.49,223.02,224.22,205.00,4226600
2020-01-13,224.5,224.50,222.67,223.33,204.19,6060900
2020-01-14,222.47,224.94,222.30,222.80,203.71,3915100
2020-01-15,222.27,224.97,222.13,224.58,205.34,3444300
2020-01-16,225.92,228.86,225.39,228.82,209.21,5390800
2020-01-17,229.61,232.60,228.91,231.91,212.03,7979200
2020-01-21,231.52,233.66,231.05,232.94,212.98,4873500
2020-01-22,233.78,236.52,232.88,232.89,212.94,4030800
2020-01-23,232.13,234.82,230.63,233.64,213.62,4617900
2020-01-24,234.46,235.42,230.55,232.0,212.11,4467500
2020-01-27,228.19,232.47,228.19,231.19,211.37,3595600
2020-01-28,231.82,235.25,231.35,233.86,213.81,3621900
2020-01-29,234.89,235.88,233.39,234.02,213.96,2564000
2020-01-30,232.0,233.30,231.57,232.78,212.83,4685700
2020-01-31,232.96,233.22,227.88,228.10,208.55,5304700
2020-02-03,230.30,233.52,229.35,231.53,211.69,5100900
2020-02-04,234.02,236.36,234.02,235.0,214.86,3505100
2020-02-05,237.10,238.32,235.86,238.11,217.70,3868600
2020-02-06,238.0,239.41,237.47,238.83,218.37,3930300
2020-02-07,238.83,239.52,236.52,237.30,216.96,2456100
2020-02-10,236.60,240.61,236.17,240.61,219.98,2568000
2020-02-11,240.61,242.44,240.19,241.63,220.93,2692400
2020-02-12,242.13,242.30,238.83,241.58,220.88,3592100
2020-02-13,240.97,243.60,240.39,242.36,221.58,2468100
2020-02-14,243.44,245.19,242.63,245.02,224.03,2841600
2020-02-18,244.83,246.11,243.16,243.94,223.03,2892600
2020-02-19,244.91,245.5,243.00,243.63,222.76,2713300
2020-02-20,243.69,247.11,242.14,247.02,225.85,3701800
2020-02-21,246.5,247.36,244.0,245.33,224.31,3881100
2020-02-24,238.47,243.11,237.69,239.69,219.15,5350100
2020-02-25,246.10,246.97,236.47,237.38,217.03,8061500
2020-02-26,239.10,241.03,234.32,235.27,215.11,6963000
2020-02-27,231.07,234.82,224.57,224.72,205.47,7612800
2020-02-28,218.63,221.05,212.33,217.83,199.17,11809600
2020-03-02,219.97,230.0,218.49,229.94,210.23,7150800
2020-03-03,230.02,235.82,225.57,227.94,208.40,8432500
2020-03-04,233.00,241.32,231.80,241.08,220.41,6770000
2020-03-05,236.60,239.61,233.14,234.80,214.68,6473900
2020-03-06,227.57,230.28,222.25,228.50,208.92,7399900
2020-03-09,213.86,216.17,207.25,210.46,192.42,10120500
2020-03-10,217.21,225.83,211.0,225.69,206.35,7206600
2020-03-11,217.30,219.14,210.5,212.88,195.94,7253900
2020-03-12,195.41,206.58,184.83,190.58,175.42,10928700
2020-03-13,200.44,205.82,190.0,205.66,189.30,10292300
2020-03-16,181.97,186.10,163.11,164.96,151.83,12536600
2020-03-17,168.21,174.77,155.30,173.63,159.82,16234400
2020-03-18,159.80,162.33,140.63,155.63,143.24,14681900
2020-03-19,153.16,162.91,142.0,161.13,148.30,13499100
2020-03-20,162.77,170.22,151.80,152.14,140.04,12602400
2020-03-23,150.05,164.92,146.33,162.38,149.46,12241600
2020-03-24,173.38,185.66,172.00,184.72,170.01,14676600
2020-03-25,184.41,191.55,180.0,181.75,167.29,11497400
2020-03-26,183.49,198.19,182.5,195.21,179.67,10170300
2020-03-27,188.49,196.38,186.5,190.55,175.38,7121700
2020-03-30,190.57,198.19,187.61,196.10,180.49,6936700
2020-03-31,194.80,195.49,185.44,186.71,171.85,7335400
2020-04-01,175.91,182.75,175.0,178.63,164.41,7858200
2020-04-02,174.94,182.72,174.0,181.30,166.88,6353900
2020-04-03,179.55,181.35,174.94,178.69,164.47,7299800
2020-04-06,188.0,192.41,185.13,191.33,176.10,7454000
2020-04-07,202.91,204.11,191.85,192.28,176.98,6438800
2020-04-08,194.21,196.77,191.53,194.82,179.31,6094700
2020-04-09,199.80,205.99,196.5,201.52,185.49,7125100
2020-04-13,200.44,200.44,195.36,198.78,182.96,4415600
2020-04-14,201.88,209.72,200.13,207.16,190.68,5655400
2020-04-15,198.66,202.24,196.61,198.47,182.68,5693900
2020-04-16,199.11,202.21,196.82,199.85,183.94,7262800
2020-04-17,207.16,210.25,206.16,209.41,192.75,6717600
2020-04-20,206.13,211.02,205.36,206.05,189.65,4753100
2020-04-21,200.75,204.33,199.50,200.61,184.64,4845000
2020-04-22,201.88,205.71,201.13,204.16,187.92,4067700
2020-04-23,203.32,206.97,202.19,202.32,186.21,3565500
2020-04-24,204.72,212.92,203.85,212.17,195.29,5025200
2020-04-27,215.03,220.94,214.00,217.75,200.43,5472800
2020-04-28,223.99,224.22,216.91,217.63,200.31,5080700
2020-04-29,221.33,224.16,219.82,221.80,204.15,4381100
2020-04-30,216.78,222.11,216.52,219.83,202.33,5152700
2020-05-01,216.77,219.69,215.77,218.57,201.17,3819300
2020-05-04,216.67,222.66,215.21,221.83,204.18,4090900
2020-05-05,224.94,228.85,223.61,225.61,207.65,4655200
2020-05-06,227.36,228.44,223.80,223.91,206.09,3321100
2020-05-07,226.50,231.63,226.41,229.44,211.18,4501300
2020-05-08,232.69,235.55,231.14,234.42,215.77,4365200
2020-05-11,231.77,238.77,231.25,236.55,217.73,4378300
2020-05-12,238.57,239.25,232.89,232.89,214.36,4399600
2020-05-13,233.03,236.30,228.53,230.10,211.78,6237200
2020-05-14,226.36,234.66,226.19,234.47,215.81,6434500
2020-05-15,232.78,243.22,232.69,239.33,220.28,16176300
2020-05-18,245.83,248.32,244.03,245.35,225.82,8314800
2020-05-19,240.44,242.46,237.80,238.10,219.15,9387000
2020-05-20,242.0,242.27,234.94,238.19,219.23,7534200
2020-05-21,237.61,241.17,235.78,240.88,221.71,4772700
2020-05-22,240.69,242.33,238.66,241.88,222.63,3041800
2020-05-26,248.14,248.22,242.07,242.47,223.18,4535200
2020-05-27,242.69,247.38,240.77,247.36,227.67,4664800
2020-05-28,249.52,252.22,244.42,245.13,225.63,5259300
2020-05-29,245.05,249.71,244.72,248.47,228.70,5341600
2020-06-01,249.41,249.77,245.86,247.28,227.61,3407800
2020-06-02,248.63,252.72,247.0,252.71,232.59,5301000
2020-06-03,251.80,252.83,250.38,251.0,232.40,4638100
2020-06-04,249.77,252.16,247.47,248.94,230.50,4759400
2020-06-05,252.33,255.85,250.38,254.89,236.01,5054300
2020-06-08,252.49,256.80,252.25,256.76,237.74,3811900
2020-06-09,255.33,258.29,253.86,256.76,237.73,3716100
2020-06-10,257.45,259.29,254.22,254.44,235.59,3589800
2020-06-11,248.86,250.61,238.74,239.47,221.72,6563700
2020-06-12,243.07,246.38,237.05,242.44,224.48,5238500
2020-06-15,237.61,242.22,234.30,241.36,223.47,6250900
2020-06-16,249.39,251.64,242.86,249.94,231.43,5291600
2020-06-17,252.77,254.61,250.08,250.85,232.26,4234000
2020-06-18,249.36,251.75,247.13,249.21,230.74,3347800
2020-06-19,253.10,254.30,246.38,246.64,228.37,11114600
2020-06-22,245.69,250.05,245.50,249.16,230.70,3815200
2020-06-23,253.0,253.44,250.13,250.30,231.76,3105300
2020-06-24,247.80,250.28,242.72,246.13,227.89,3873000
2020-06-25,244.80,246.35,242.19,245.38,227.20,2938400
2020-06-26,245.35,246.10,240.25,241.00,223.15,5002700
2020-06-29,242.66,246.5,240.33,246.11,227.88,3468300
2020-06-30,247.0,251.64,246.08,250.50,231.95,4524600
2020-07-01,249.64,250.33,246.92,248.14,229.76,3677300
2020-07-02,251.94,252.30,247.91,248.5,230.08,3369800
2020-07-06,250.27,251.5,247.03,249.55,231.06,3133800
2020-07-07,247.36,250.77,247.07,247.35,229.02,2927800
2020-07-08,247.86,249.78,246.22,249.16,230.70,2294000
2020-07-09,249.66,250.50,246.35,247.96,229.58,2994700
2020-07-10,248.28,250.33,246.63,250.11,231.58,2745300
2020-07-13,251.91,257.85,249.08,249.61,231.12,4437500
2020-07-14,249.0,258.17,248.46,257.79,238.69,4614200
2020-07-15,260.14,261.29,255.14,257.79,238.70,4343700
2020-07-16,256.76,260.5,256.0,258.07,238.95,2511200
2020-07-17,260.02,260.64,257.72,260.38,241.08,3091300
2020-07-20,259.04,261.20,258.01,260.17,240.89,2451100
2020-07-21,261.61,263.86,260.72,262.42,242.97,2439900
2020-07-22,262.58,265.58,262.0,265.17,245.52,2750000
2020-07-23,267.79,267.79,261.79,263.80,244.26,2680100
2020-07-24,265.04,266.89,262.98,265.30,245.65,2984500
2020-07-27,265.08,268.67,265.08,267.42,247.60,2412500
2020-07-28,268.55,269.07,264.67,265.27,245.62,2227000
2020-07-29,264.79,267.10,264.17,264.66,245.05,2874100
2020-07-30,263.33,267.35,261.54,266.30,246.57,2347800
2020-07-31,265.0,267.17,260.60,265.48,245.82,3640600
2020-08-03,266.73,268.57,265.67,266.17,246.45,2363500
2020-08-04,266.63,267.89,263.83,267.86,248.02,2224000
2020-08-05,268.39,268.39,265.89,267.48,247.66,1959900
2020-08-06,266.60,270.44,266.52,269.36,249.41,2203400
2020-08-07,270.60,274.92,269.80,271.64,251.51,2846300
2020-08-10,272.42,275.0,271.79,274.73,254.37,2393100
2020-08-11,277.69,279.36,274.41,274.92,254.55,3321300
2020-08-12,279.75,282.97,276.95,281.57,260.71,3867900
2020-08-13,281.16,282.64,279.73,281.66,260.79,2202400
2020-08-14,281.14,282.0,279.19,280.54,259.76,2490400
2020-08-17,284.39,289.22,283.57,288.23,266.88,5584400
2020-08-18,288.89,290.57,283.04,285.0,263.88,6934300
2020-08-19,287.45,287.97,281.92,282.85,261.90,4986800
2020-08-20,280.54,281.91,279.44,280.67,259.88,3530000
2020-08-21,279.97,283.54,278.42,283.23,262.24,5519100
2020-08-24,284.98,286.85,281.92,286.75,265.50,4430900
2020-08-25,287.26,287.48,283.89,286.13,264.93,2854500
2020-08-26,287.73,292.11,286.26,291.92,270.30,4001900
2020-08-27,292.22,292.95,286.55,288.63,267.24,3430900
2020-08-28,288.30,288.82,284.76,286.29,265.07,3100100
2020-08-31,285.0,286.69,282.86,285.04,263.92,4105400
2020-09-01,284.02,286.67,283.5,285.94,264.75,3235100
2020-09-02,284.85,288.04,283.60,287.20,267.32,3464600
2020-09-03,287.29,287.70,272.17,274.63,255.62,5380100
2020-09-04,275.54,276.76,264.67,269.66,250.99,5253500
2020-09-08,267.10,271.04,262.80,269.26,250.62,5241200
2020-09-09,272.45,279.73,271.75,277.04,257.86,4754700
2020-09-10,278.01,280.98,271.17,272.70,253.82,3156300
2020-09-11,273.98,277.98,273.45,276.32,257.20,3729200
2020-09-14,278.54,282.45,278.01,280.64,261.22,3055800
2020-09-15,283.04,286.70,282.38,285.57,265.81,4174900
2020-09-16,285.60,286.57,280.67,281.63,262.14,3379100
2020-09-17,277.91,282.72,276.95,279.95,260.58,3166600
2020-09-18,278.41,279.82,270.80,275.19,256.14,6072900
2020-09-21,271.86,272.89,266.52,272.35,253.50,3548000
2020-09-22,271.67,273.51,270.63,273.30,254.39,2972000
